"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","class","order","individualCount","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","preparationType","occurrenceRemarks","geoFlag"
"1","2015-08-10 05:49:00-03","MO","MOBOT","1806175","PreservedSpecimen","Plantae","Lauraceae","Aiouea","macedoana","Aiouea macedoana","Vattimo-Gil","Isotype","Amaro Macedo","Macedo 3876","1955","7","23","South America","Brazil","Goiás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-12 05:00:02-03","US","US","2248952","PreservedSpecimen","Plantae","Lauraceae","Aiouea","macedoana","Aiouea macedoana","Vattimo","Isotype","A. Macedo","3867","1955","3","23","South America - Neotropics","Brazil","Minas Gerais","Dicotyledonae","Laurales","1","US00099419","US00099419_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-02 16:30:17-03","Cenargen","CEN","105029","PreservedSpecimen","Plantae","Lauraceae","Aiouea","macedoana","Aiouea macedoana","Vattimo-Gil",NA,"Luiz Aquino Silva Santos","3499","2017","08","04",NA,"Brasil","TO",NA,NA,"5","CEN00105029","CEN00105029","J. B. Bringel","2017","11","BANDEIRANTES DO TOCANTINS","Conglomerado: TO-104. Subunidade 3, subparcela 7, indivíduo 6.","-48.5835990905762","-7.75639009475708","71635","Exsicatas","Projeto Inventário Florestal Nacional (IFN). Árvore com 25 m de altura e 36,5 cm de DAP. Base reta. Fuste de casca externa grossa, do tipo rugosa, cor cinza, casca interna creme. Fruto imaturo, 3 cm de dimensão, forma oval , consitência externa carnosa , possui polpa.","auto"
"4","2019-11-21 10:07:18-03","IBt","SP","58960","S","Plantae","Lauraceae","Aiouea","macedoana","Aiouea macedoana","Vattimo-Gil","Isotype","Macedo, A","3876","1955","07","23",NA,"Brasil","Tocantins",NA,NA,NA,"SP000816","SP000816","Werff, H van der","1990",NA,"Natividade",NA,"-47.7233009338379","-11.7096996307373","59394",NA,"Árvore do cerrado. Flores brancas","auto"
