"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","county","decimalLongitude","decimalLatitude","imagecode","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","fieldNumber","class","individualCount","typeStatus","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","00191219","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Hochreutinera","hasslerana","Hochreutinera hasslerana","(Hochr.) Krapov.","P. A. Fryxell","N. Soria","4246","1990","05","21","South America","Paraguay","Cordillera","Nueva Colombia-San Bernardino road","sheet","Facultad de Ciencias Quimicas UNA (FCQ) <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1149255' target='other'> <mi>dwc_moreinfo</mi></a>","NY00191219",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","386919","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Hochreutinera","hasslerana","Hochreutinera hasslerana","(Hochr.) Krapov.","A. Krapovickas","S. G. Tressens","3939","1991","02","16","South America","Argentina","Corrientes","Ea. Santa Rita, picada en selva marginal del rio Parana","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=273117' target='other'> <mi>dwc_moreinfo</mi></a>","NY00386919","Ituzaingó","-56.7","-27.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00942279","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Hochreutinera","hasslerana","Hochreutinera hasslerana","(Hochr.) Krapov.","A. Krapovickas","G. G. Hatschbach","49080","1985","03","15","South America","Brazil","Mato Grosso do Sul","3-6 km O.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1030923' target='other'> <mi>dwc_moreinfo</mi></a>","NY00942279","Antônio João","-55.9472","-22.1911","NY00942279_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-09-29 10:07:00-03","NY","NYBG","386918","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Hochreutinera","hasslerana","Hochreutinera hasslerana",NA,"A. Krapovickas","E. M. Zardini","28953","1991","11","25","South America","Paraguay","Paraguarí","National Park Ybyuc'i, NW corner of park along Arroyo Mina","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=273118' target='other'> <mi>dwc_moreinfo</mi></a>","NY00386918",NA,"-56.77","-26.02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-29 10:07:00-03","NY","NYBG","386920","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Hochreutinera","hasslerana","Hochreutinera hasslerana",NA,NA,"A. Krapovickas","38389","1983","01","21","South America","Brazil","Rio Grande do Sul","Km 202 ruta Sta. Maria a Sao Borja(91 km SE de S. Borja)","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=273119' target='other'> <mi>dwc_moreinfo</mi></a>","NY00386920","Unistalda","-55.1503","-29.0472","NY00386920_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-30 12:43:41-03","EAO","IAN","18635","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Malvaceae","Abutilon","hassleranum","Abutilon hassleranum","Hochr.",NA,"Ekman, EL","s.n.",NA,NA,NA,NA,"Paraguai",NA,NA,NA,NA,"IAN018635",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-30 12:43:41-03","EAO","IAN","30766","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Malvaceae","Abutilon","hassleranum","Abutilon hassleranum","Hochr.",NA,"Hassler, E","11524",NA,NA,NA,NA,"Paraguai",NA,NA,NA,NA,"IAN030766",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-11-04 11:12:56-03","ESALQ","ESA","100796","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Malvaceae","Hochreutinera","hasslerana","Hochreutinera hasslerana",NA,"Krapovickas, A.","Paula-Souza, J.","7264.0","2007","01","15",NA,"Argentina",NA,NA,NA,NA,"ESA100796","Província Misiones",NA,NA,NA,"2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-11-19 10:24:12-03","CPAP","CPAP","6220","PreserverdSpecimen","Plantae",NA,NA,"Malvaceae","Hochreutinera","hasslerana","Hochreutinera hasslerana","(Holn.) Krapov.","C. Takeuchi","Pott, A.","4904","1989","05","25",NA,"Brasil","MS","Fazenda Monjolo, a 2 km Sul do entrocamento para Mato Grande, Maria coelho",NA,"Subarbusto ereto 1 m de altura, acinzentado. FLOR: amarela. FRUTO: castanho-cinzento. INTERESSE: Forrageira. FREQUÊNCIA: Frequente. AMBIENTE: Campo (secundária), com impressões de pisoteio de 10 cm profundidade. SUBSTRATO: solo de textura média, raso, so",NA,"Corumbá","-57.583333","-19.3",NA,"2013","09","30","57°35' W","19°18' S","120","120",NA,NA,NA,NA,NA,NA,NA
"10","2021-04-07 11:45:52-03","UFMS","CGMS","42458","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Hochreutinera","hasslerana","Hochreutinera hasslerana","(Hochr.) Krapov.","C. Takeuchi","A. Pott; J. Ker; W. Carvalho; N. Pereira","4904","1989","05","29",NA,"Brasil","Mato Grosso do Sul","Fazenda Monjolo, 2 Km sul do entroncamento para Mato Grande Maria Coelho.",NA,"Flor amarela. Fruto castanho-cinzento. CTES 90. Habitat: Campo (secundário) com impressões de pisoteio de 10 cm de profundidade. Solo de textura média, raso, sobre conglomerado. Relevo ondulado convexo. Habito: Subarbusto ereto, acin","CGMS1072437","Corumbá","-57.5833333","-19.3",NA,"2013","09","26","-57,5833333","-19,3","120","120",NA,NA,NA,NA,NA,NA,NA
