"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","continentOcean","individualCount","barcode","imagecode","occurrenceRemarks","verbatimLongitude","verbatimLatitude","typeStatus","minimumElevationInMeters","maximumElevationInMeters","class","order","relatedCatalogItem"
"1","2015-07-02 14:02:18-03","JBP","HPL","3144","S","Plantae","Gesneriaceae","Sinningia","valsuganensis","Sinningia valsuganensis","A. Chautems","H. Lorenzi","2002","02","19","H. Lorenzi","3157","2002","02","19","Brasil","ES","Santa Tereza","Coletada na localidade de Santa Tereza-ES, cultivada no Instituto Plantarum.","-40.6003","-19.9356","23813","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2009-07-14 15:50:00-03","MO","MOBOT","3449858","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","valsuganensis","Sinningia valsuganensis","Chautems","A. Chautems (G)",NA,NA,NA,"Wilson Boone","Boone 1104","1986","2","18","Brazil","Espírito Santo",NA,"Valsugana Velha, encosta atrás do bairro dois pinheiros.",NA,NA,NA,NA,"South America","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2009-07-14 15:50:00-03","MO","MOBOT","3449861","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","valsuganensis","Sinningia valsuganensis","Chautems","A. Chautems (G)",NA,NA,NA,"Wilson Boone","Boone 1010","1986","1","10","Brazil","Espírito Santo",NA,"Santa Teresa, Valsugana Velha.",NA,NA,NA,NA,"South America","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-07-10 09:46:13-03","MBML","MBML-HERBARIO","38310",NA,"Plantae","Gesneriaceae","Sinningia","valsuganensis","Sinningia valsuganensis","Chautems","A.P. Fontana/17-01-2009",NA,NA,NA,"A. P. Fontana; et al","5818","2009","01","17","Brasil","Espírito Santo","Cariacica","Reserva Biológica de Duas Bocas","-40.4199981689453","-20.2639007568359","18507","auto",NA,NA,"MBML038310","MBML038310",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-07-10 09:46:13-03","MBML","MBML-HERBARIO","28970",NA,"Plantae","Gesneriaceae","Sinningia","valsuganensis","Sinningia valsuganensis","Chautems","L. Kollmann/26-01-2007",NA,NA,NA,"L. Kollmann","9481","2007","01","26","Brasil","Espírito Santo","Santa Leopoldina","Beira de Estrada","-40.5297012329102","-20.1005992889404","23799","auto",NA,NA,"MBML028970","MBML028970","Rupícola no sol, flores alaranjadas.",NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-07-10 09:46:13-03","MBML","MBML-HERBARIO","10184",NA,"Plantae","Gesneriaceae","Sinningia","valsuganensis","Sinningia valsuganensis","Chautems","A. Chautems/11-12-1998",NA,NA,NA,"L. Kollmann; et al","2721","1998","12","09","Brasil","Espírito Santo","Santa Teresa","Country Club","-40.635556","-19.925556",NA,NA,NA,NA,"MBML010184","MBML010184","Arvoreto 6m. Dap 6cm. Fuste 5m. Frutos verdes.","40W38'8","19S55'32",NA,NA,NA,NA,NA,NA
"7","2020-07-10 09:46:13-03","MBML","MBML-HERBARIO","11854",NA,"Plantae","Gesneriaceae","Sinningia","valsuganensis","Sinningia valsuganensis","Chautems","A. Chautems, I.2002",NA,NA,NA,"L. Kollmann","2728","2000","02","10","Brasil","Espírito Santo","Santa Teresa","Valsugana","-40.632778","-19.915",NA,NA,NA,NA,"MBML011854","MBML011854","Mata. Planta de 70cm na sombra em cima de pedras. Flores amarelas com pintas alaranjadas.","40W37'58","19S54'54",NA,NA,NA,NA,NA,NA
"8","2020-07-10 09:46:13-03","MBML","MBML-HERBARIO","15559",NA,"Plantae","Gesneriaceae","Sinningia","valsuganensis","Sinningia valsuganensis","Chautems","Kollmann/2001;Chautems/2002",NA,NA,NA,"L. Kollmann; et al","4502","2001","09","04","Brasil","Espírito Santo","Santa Teresa","Rio Saltinho","-40.506944","-19.936111",NA,NA,NA,NA,"MBML015559","MBML015559","Rupícola na sombra. Flores laranjas. Planta florida em 21/11/2001. Culta/Herb.","40W30'25","19S56'10",NA,NA,NA,NA,NA,NA
"9","2020-07-10 09:46:13-03","MBML","MBML-HERBARIO","23142",NA,"Plantae","Gesneriaceae","Sinningia","valsuganensis","Sinningia valsuganensis","Chautems","J. Rossini/Fev.2005",NA,NA,NA,"J. Rossini; et al","557","2005","02","09","Brasil","Espírito Santo","Santa Teresa","Valão de São Pedro","-40.6275","-19.937778",NA,NA,NA,NA,"MBML023142","MBML023142","Erva rupícola, pubescente, cerca de 50cm, folha abaxial verde clara, folhas adaxial verde escura, pecíolo verde, pedúnculo vermelho, lobos do cálice avermelhados, corola alaranjada.","40W37'39","19S56'16",NA,NA,NA,NA,NA,NA
"10","2020-07-10 09:46:13-03","MBML","MBML-HERBARIO","2524",NA,"Plantae","Gesneriaceae","Sinningia","valsuganensis","Sinningia valsuganensis","Chautems","A. Chautems/1991",NA,NA,NA,"W. Boone","1104","1986","02","18","Brasil","Espírito Santo","Santa Teresa","Valsugana Velha","-40.617778","-19.931111",NA,NA,NA,"2","MBML002524","MBML002524","Erva, pêlos translúcidos, cálice verde com lacínios avermelhados, corola vermelha, heliófila, rupícola.","40W37'4","19S55'52","PARATIPO",NA,NA,NA,NA,NA
"11","2020-07-10 09:46:13-03","MBML","MBML-HERBARIO","2526",NA,"Plantae","Gesneriaceae","Sinningia","valsuganensis","Sinningia valsuganensis","Chautems","A. Chautems/1991",NA,NA,NA,"H. Q. Boudet Fernandes","1756","1986","01","10","Brasil","Espírito Santo","Santa Teresa","Valsugana Velha","-40.617778","-19.931111",NA,NA,NA,"1","MBML002526","MBML002526","Erva pêlos translúcidos, cálice verde e corola vermelha claras interior alvo com pintas e estrias vermelhas, semi-sombra, sobre rocha, capoeirão.","40W37'4","19S55'52","PARATIPO",NA,NA,NA,NA,NA
"12","2020-07-10 09:46:13-03","MBML","MBML-HERBARIO","2528",NA,"Plantae","Gesneriaceae","Sinningia","valsuganensis","Sinningia valsuganensis","Chautems","A. Chautems/1991",NA,NA,NA,"W. Boone","1010","1986","01","10","Brasil","Espírito Santo","Santa Teresa","Valsugana Velha","-40.617778","-19.931111",NA,NA,NA,"2","MBML002528","MBML002528","Sub arbusto 1m, pilosidade translúcida, cálice verde, corola vermelho clara, alva no interior com manchas vermelhos, heliófila, rupestre.","40W37'4","19S55'52","PARATIPO",NA,NA,NA,NA,NA
"13","2020-07-10 09:46:13-03","MBML","MBML-HERBARIO","25425",NA,"Plantae","Gesneriaceae","Sinningia","valsuganensis","Sinningia valsuganensis","Chautems","L. Kollmann/2006",NA,NA,NA,"L. Kollmann; et al","8858","2006","01","24","Brasil","Espírito Santo","Santa Teresa","Canaã","-40.601944","-19.906111",NA,NA,NA,NA,"MBML025425","MBML025425","Rupestre no sol. Flores laranjas.","40W36'7","19S54'22",NA,NA,NA,NA,NA,NA
"14","2020-07-10 09:46:13-03","MBML","MBML-HERBARIO","26258",NA,"Plantae","Gesneriaceae","Sinningia","valsuganensis","Sinningia valsuganensis","Chautems","J. Rossini/30-08-2006",NA,NA,NA,"V. Demuner; L.F.S. Magnago, M. Belizário, Elias Bausen","1684","2006","01","18","Brasil","Espírito Santo","Marilândia","Liberdade (Água.Viva, Pedra do Cruzeiro), Prop.: Aguilar A. Lovucini","-40.551111","-19.348333",NA,NA,NA,NA,"MBML026258","MBML026258","Arbusto 1m, botões florais e flores vermelhas. Solo raso, sobre rocha, (Gruta a base da mata).","40W33'4","19S20'54",NA,"150","150",NA,NA,NA
"15","2020-07-10 09:46:13-03","MBML","MBML-HERBARIO","29096",NA,"Plantae","Gesneriaceae","Sinningia","valsuganensis","Sinningia valsuganensis","Chautems","J. Rossini/Jan.2007",NA,NA,NA,"J. Rossini","580","2007","01","16","Brasil","Espírito Santo","Santa Teresa","Vale do Canaã, paredão rochoso, próximo ao mirante","-40.601944","-19.906111",NA,NA,NA,NA,"MBML029096","MBML029096","Erva rupícola, folhas discolores, cálice verde com ápice dos lobos avermelhados, corola vermelha, fauce creme com máculas.","40W36'7","19S54'22",NA,NA,NA,NA,NA,NA
"16","2020-07-10 09:46:13-03","MBML","MBML-HERBARIO","31931",NA,"Plantae","Gesneriaceae","Sinningia","valsuganensis","Sinningia valsuganensis","Chautems","J. Rossini/ 21/11/07","2007","11","21","J. Rossini; V.G. Demuner, T.A. Cruz, E. Bausen & M. Belisário","611","2007","03","13","Brasil","Espírito Santo","Santa Leopoldina","Colina Verde, propriedade do Sr. Israel Elias Ramos","-40.441667","-20.1",NA,NA,NA,NA,"MBML031931","MBML031931","Erva, rupícola, 35 cm, floração em 15/11/07, cálice verde, corola vermelha.","40W26'30","20S6'0",NA,"320","320",NA,NA,NA
