"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","recordNumber","occurrenceRemarks","phylum","order","typeStatus","continentOcean","preparationType","coordinatePrecision","geoFlag","class","relatedCatalogItem","relationshipType","individualCount","fieldNumber"
"1","2021-04-05 14:24:52-03","UNESC","CRI","11330","PreservedSpecimen","Plantae","Arecaceae","Geonoma","gamiova","Geonoma gamiova","Barb.Rodr.","Guilherme Alves Elias","2015","09","08","Gabriel Waterkemper Girardi; Guilherme Alves Elias, Peterson Teodoro Padilha e Renato Colares Pereira","2015","09","08","Brasil","Santa Catarina","Criciúma","Parque Ecológico Municipal José Milanese.","-49.431944","-28.69","49º25'55''W","28º41'24''S","46","46","CRI000650","CRI000650_1 CRI000650_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:24:52-03","UNESC","CRI","1218","PreservedSpecimen","Plantae","Arecaceae","Geonoma","gamiova","Geonoma gamiova","Barb.Rodr.","Vanilde Citadini- Zanette",NA,NA,NA,"Vanilde Citadini-Zanette; Robson dos Santos","1992","10","15","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300","CRI000652","CRI000652_1 CRI000652_2","1463",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:24:52-03","UNESC","CRI","15048","PreservedSpecimen","Plantae","Arecaceae","Geonoma","gamiova","Geonoma gamiova","Barb.Rodr.","Guilherme A. Elias & Mayara Fernandes","2019","09","10","Débora Padilha; Guilherme A. Elias; Altamir R. Antunes; Aline V. Guislon & Mayara Fernandes","2019","09","10","Brasil","Santa Catarina","Grão Pará","Parque Estadual da Serra Furada","-49.388889","-28.189722","49º23'20''W","28º11'23''S","500","500","CRI014415","CRI014415_1 CRI014415_2 CRI014415_3",NA,"Estágio avançado de regeneração natural",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:24:52-03","UNESC","CRI","12255","PreservedSpecimen","Plantae","Arecaceae","Geonoma","gamiova","Geonoma gamiova","Barb.Rodr.","Guilherme Alves Elias","2017","04","04","Guilherme Alves Elias","2017","03","23","Brasil","Santa Catarina","Grão Pará","Parque Estadual da Serra Furada","-49.212778","-28.186667","49º12'46''W","28º11'12''S","500","500","CRI010436","CRI010436_1 CRI010436_2 CRI010436_3",NA,"Flor Branca. Fruto Preto. Habito: Palmeira",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:24:52-03","UNESC","CRI","12921","PreservedSpecimen","Plantae","Arecaceae","Geonoma","gamiova","Geonoma gamiova","Barb.Rodr.","Renato Colares & Aline Votri Guislon","2018","03","21","Alexandre Medeiros","2017","10","22","Brasil","Santa Catarina","Balneário Camboriú","Barra","-48.595556","-27.006111","48º35'44''W","27º0'22''S",NA,NA,"CRI011529","CRI011529","581","Habitat: Terrestre Habito: Herbácea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:24:52-03","UNESC","CRI","12254","PreservedSpecimen","Plantae","Arecaceae","Geonoma","gamiova","Geonoma gamiova","Barb.Rodr.","Guilherme Alves Elias","2017","04","04","Guilherme Alves Elias","2017","03","23","Brasil","Santa Catarina","Grão Pará","Parque Estadual da Serra Furada","-49.212778","-28.186667","49º12'46''W","28º11'12''S","450","450","CRI010435","CRI010435_1 CRI010435_2 CRI010435_3",NA,"Flor Branca. Fruto Preto. Habito: Palmeira",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:33:13-03","UNESC","CRI","11564","PreservedSpecimen","Plantae","Arecaceae","Geonoma","gamiova","Geonoma gamiova","Barb.Rodr.","Guilherme Alves Elias","2015","12","19","Guilherme Alves Elias; Robson dos Santos & Peterson T. Padilha","2015","12","19","Brasil","Santa Catarina","Itapoá","Reserva Volta Velha.","-48.670556","-26.071667","48º40'14''W","26º4'18''S","10","10","CRI008543","CRI008543_1 CRI008543_2","3","Floresta Ombrófila Densa de Terras Baixas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:33:13-03","UNESC","CRI","12052","PreservedSpecimen","Plantae","Arecaceae","Geonoma","gamiova","Geonoma gamiova","Barb.Rodr.","Guilherme Lodetti","2017","02","28","Guilherme Alves Elias; Guilherme Lodetti; Robson dos Santos & Peterson Teodoro Padilha","2016","07","28","Brasil","Santa Catarina","Grão Pará",NA,"-49.392222","-28.156389","49º23'32''W","28º9'23''S","450","450","CRI010230","CRI010230",NA,"Habito: Palmeira",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:33:13-03","UNESC","CRI","11761","PreservedSpecimen","Plantae","Arecaceae","Geonoma","gamiova","Geonoma gamiova","Barb.Rodr.","Guilherme Alves Elias","2016","05","05","Guilherme Alves Elias","2016","04","29","Brasil","Santa Catarina","Pedras Grandes","Rancho dos bugres.","-49.256667","-28.484444","49º15'24''W","28º29'4''S","200","200","CRI008778","CRI008778",NA,"Floresta Ombrófila Densa Submontana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:24:52-03","UNESC","CRI","10833","PreservedSpecimen","Plantae","Arecaceae","Geonoma","gamiova","Geonoma gamiova","Barb.Rodr.",NA,NA,NA,NA,"Zenaide P. Topanotti",NA,NA,NA,"Brasil","Santa Catarina","Criciúma","Morro Estevão.","-49.37","-28.678056","49º22'12''W","28º40'41''S","46","46","CRI000656","CRI000656_1 CRI000656_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
