"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","infraspecificEpithet","scientificNameAuthorship","identifiedBy","recordNumber","stateProvince","locality","decimalLongitude","decimalLatitude","imagecode","county","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","typeStatus","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2020-09-23 10:40:55-03","E","E","99683","PreservedSpecimen","Plantae","Leguminosae","Swartzia","flaemingii","Swartzia flaemingii","Ratter, J.A., Bridgewater, S., Filho, J. Fonsêca & Dias, T.","1999","08","12","E. Tropical South America","BR","fruit collection/cone collecti","BGBASE:108998","<a href=http://data.rbge.org.uk/herb/E00099683 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00099683",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:40:55-03","E","E","107216","PreservedSpecimen","Plantae","Leguminosae","Swartzia","flaemingii","Swartzia flaemingii","Bridgewater, S., Ratter, J.A., Filho, J.F. & Dias, T.","1999","08","12","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:116127","<a href=http://data.rbge.org.uk/herb/E00107216 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00107216",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","684774","PreservedSpecimen","Plantae","Fabaceae","Swartzia","flaemingii","Swartzia flaemingii flaemingii","D. S. D. de Araújo","1976","10","28","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=880955' target='other'> <mi>dwc_moreinfo</mi></a>","NY00684774","Magnoliophyta","Fabales","flaemingii","Raddi","V. de F. Mansano","1326","Rio de Janeiro","Estr. Vista Chinesa, km 2, prox. ao DECAM","-43.272486","-22.971682","NY00684774_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01055041","PreservedSpecimen","Plantae","Fabaceae","Swartzia","flaemingii","Swartzia flaemingii psilonema","R. de Lemos Fróes","1932","09","05","South America","Brazil","separate fruit",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1178527' target='other'> <mi>dwc_moreinfo</mi></a>","NY01055041","Magnoliophyta","Fabales","psilonema","(Harms) R.S.Cowan","B. M. Torke","1871","Maranhão","Campo de Boa Esperanca, Maracassumé River region","-44.8681","-1.8283",NA,"Cururupu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","02684728","PreservedSpecimen","Plantae","Fabaceae","Swartzia","flaemingii","Swartzia flaemingii arumateuana","A. S. L. da Silva","1977","10","20","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2951025' target='other'> <mi>dwc_moreinfo</mi></a>","NY02684728","Magnoliophyta","Fabales","arumateuana","R.S.Cowan","B. M. Torke","AS80","Para","Jatobal, area to be flooded by Tucurui dam; Municipio de Jacundá; margin of Rio Tocantins,",NA,NA,"NY02684728_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01054967","PreservedSpecimen","Plantae","Fabaceae","Swartzia","flaemingii","Swartzia flaemingii arumateuana","J. M. Pires","1950","05","25","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1178486' target='other'> <mi>dwc_moreinfo</mi></a>","NY01054967","Magnoliophyta","Fabales","arumateuana","R.S.Cowan","B. M. Torke","2127","Maranhão","Ilha dos Botes, perto de Carolina","-47.5408405","-7.2744409","NY01054967_01","Carolina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01054972","PreservedSpecimen","Plantae","Fabaceae","Swartzia","flaemingii","Swartzia flaemingii arumateuana","J. M. Pires","1950","05","25","South America","Brazil","separate fruit",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1178488' target='other'> <mi>dwc_moreinfo</mi></a>","NY01054972","Magnoliophyta","Fabales","arumateuana","R.S.Cowan","B. M. Torke","2127","Maranhão","Ilha dos Botes, perto de Carolina","-47.5408405","-7.2744409",NA,"Carolina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01054968","PreservedSpecimen","Plantae","Fabaceae","Swartzia","flaemingii","Swartzia flaemingii arumateuana","J. M. Pires","1950","05","28","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1178489' target='other'> <mi>dwc_moreinfo</mi></a>","NY01054968","Magnoliophyta","Fabales","arumateuana","R.S.Cowan","B. M. Torke","2364","Tocantins","Veredão do Relampago, duas léguas de Carolina",NA,NA,"NY01054968_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","684778","PreservedSpecimen","Plantae","Fabaceae","Swartzia","flaemingii","Swartzia flaemingii flaemingii","F. Gomes da Silva","1941","03","11","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=880962' target='other'> <mi>dwc_moreinfo</mi></a>","NY00684778","Magnoliophyta","Fabales","flaemingii","Raddi","V. de F. Mansano","s.n.","Rio de Janeiro","Estrada Dona Castorina, perto da reprêsa dos macacos",NA,NA,"NY00684778_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","02684723","PreservedSpecimen","Plantae","Fabaceae","Swartzia","flaemingii","Swartzia flaemingii arumateuana","M. G. da Silva","1977","05","04","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2950994' target='other'> <mi>dwc_moreinfo</mi></a>","NY02684723","Magnoliophyta","Fabales","arumateuana","R.S.Cowan","B. M. Torke","3064","Para","Rio Tecantins, Jacunda, Estagáe da antiga estrada de ferre de Tucurui",NA,NA,"NY02684723_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
