"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","decimalLongitude","decimalLatitude","imagecode","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","infraspecificEpithet","relatedCatalogItem","individualCount","typeStatus","fieldNumber"
"1","2020-09-23 10:41:54-03","E","E","112732","PreservedSpecimen","Plantae","Myrtaceae","Plinia","rivularis","Plinia rivularis","Pedersen, Troels M.","8683","1967","09","02","Temperate South America","AR","Prov. de Corrientes","Dept. Concepcíon","Estancia 'Fortin del Iberá'.","herbarium specimen of unspecif","BGBASE:133917","<a href=http://data.rbge.org.uk/herb/E00112732 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00112732",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","616937","PreservedSpecimen","Plantae","Myrtaceae","Plinia","rivularis","Plinia rivularis","S. A. Mori","13042","1979","11","28","South America","Brazil","Bahia","Santa Cruz Cabrália","Antiga rodovia que liga a Estaçao Ecologica Pau-brasil à Sta. Cruz de Cabralia, a 7 km ao NE da Etaçao. Ca. 12 km ao NW de Porto Seguro","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=566868' target='other'> <mi>dwc_moreinfo</mi></a>","NY00616937","Magnoliophyta","Myrtales","(Cambess.) Rotman","M. Sobral","-39.0244","-16.2783","NY00616937_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","616929","PreservedSpecimen","Plantae","Myrtaceae","Plinia","rivularis","Plinia rivularis","R. C. Marshall","12916","1933","06",NA,"South America","Trinidad and Tobago",NA,NA,"Trinidad. Moruga","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=566859' target='other'> <mi>dwc_moreinfo</mi></a>","NY00616929","Magnoliophyta","Myrtales","(Cambess.) Rotman","M. Sobral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","616941","PreservedSpecimen","Plantae","Myrtaceae","Plinia","rivularis","Plinia rivularis","M. R. dos Santos","213","1978","01","23","South America","Brazil","Amapá",NA,"Perimentral Norte, Munguba","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=566869' target='other'> <mi>dwc_moreinfo</mi></a>","NY00616941","Magnoliophyta","Myrtales","(Cambess.) Rotman","M. Sobral",NA,NA,"NY00616941_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","02715694","PreservedSpecimen","Plantae","Myrtaceae","Plinia","rivularis","Plinia rivularis","A. M. Amorim","2626","1998","11","07","South America","Brazil","Bahia","Jussari","Rod. Jussari-Palmira, entrada ca. 7.5 km de Jussari, Fazenda Teimoso, RPPN Serra do Teimoso","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=623159' target='other'> <mi>dwc_moreinfo</mi></a>","NY02715694","Magnoliophyta","Myrtales","(Cambess.) Rotman","M. Sobral","-39.5286","-15.1581","NY02715694_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01096254","PreservedSpecimen","Plantae","Myrtaceae","Plinia","rivularis","Plinia rivularis","S. J. da Silva Neto","314","1993","10","06","South America","Brazil","Rio de Janeiro","Nova Iguaçú","Estrada para Boa Esperança.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1235832' target='other'> <mi>dwc_moreinfo</mi></a>","NY01096254","Magnoliophyta","Myrtales","(Cambess.) Rotman",NA,"-43.4508","-22.7594","NY01096254_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","616935","PreservedSpecimen","Plantae","Myrtaceae","Plinia","rivularis","Plinia rivularis","J. M. Silva","1662","1997","09","11","South America","Brazil","Paraná","Tunas do Paraná","Estrada para ao Parque das Lauráceas, próximo a sede","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=566864' target='other'> <mi>dwc_moreinfo</mi></a>","NY00616935","Magnoliophyta","Myrtales","(Cambess.) Rotman","M. L. Kawasaki","-49.0856","-24.9744","NY00616935_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-10-19 09:57:00-02","NY","NYBG","616931","PreservedSpecimen","Plantae","Myrtaceae","Plinia","rivularis","Plinia rivularis","L. Aristeguieta","7109","1969","05","01","South America","Venezuela","Distrito Capital",NA,"Cenos de Carnao","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=566870' target='other'> <mi>dwc_moreinfo</mi></a>","NY00616931","Magnoliophyta","Myrtales",NA,"B. K. Holst",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","616938","PreservedSpecimen","Plantae","Myrtaceae","Plinia","rivularis","Plinia rivularis","G. G. Hatschbach","16955","1967","08","24","South America","Brazil","Paraná","Cianorte","Fazenda Lagoa","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=566860' target='other'> <mi>dwc_moreinfo</mi></a>","NY00616938","Magnoliophyta","Myrtales","(Cambess.) Rotman","M. Sobral","-52.6047","-23.6633","NY00616938_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","885364","PreservedSpecimen","Plantae","Myrtaceae","Plinia","rivularis","Plinia rivularis","M. M. Arbo","7746","1997","01","27","South America","Brazil","Espírito Santo",NA,"1 km W de Venda Nova do Imigrante, entrada a Alto Bananeiras, 5-7 km de la rodovia BR-262","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=989187' target='other'> <mi>dwc_moreinfo</mi></a>","NY00885364","Magnoliophyta","Myrtales","(Cambess.) Rotman","C. E. B. Proença","-41.13","-20.3","NY00885364_01","900","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2016-09-28 14:56:00-03","NY","NYBG","616771","PreservedSpecimen","Plantae","Myrtaceae","Plinia","rivularis","Plinia rivularis","E. L. Little Jr.","40034","1984","01","20","South America","Paraguay","Paraguarí",NA,"90 km SE Asunción. Parque Nacional Ybycuí","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=129625' target='other'> <mi>dwc_moreinfo</mi></a>","NY00616771","Magnoliophyta","Myrtales",NA,"G. Jolochin","-57","-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
