"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","scientificNameAuthorship","minimumElevationInMeters","county","identifiedBy","maximumElevationInMeters","typeStatus","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","infraspecificEpithet","relatedCatalogItem","coordinatePrecision","geoFlag","individualCount","fieldNumber"
"1","2016-09-30 20:08:00-03","NY","NYBG","02326431","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Butia","paraguayensis","Butia paraguayensis","E. M. Zardini","43113","1995","06","22","South America","Paraguay","San Pedro","Santa Rosa-Santa Bárbara. 3 km from Santa Bárbara","-56.27","-23.82","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2573372' target='other'> <mi>dwc_moreinfo</mi></a>","NY02326431","NY02326431_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","02326451","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Butia","paraguayensis","Butia paraguayensis","E. M. Zardini","52231","1999","11","10","South America","Paraguay","Amambay","National Park Cerro Corá","-56.017424","-22.654176","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2573463' target='other'> <mi>dwc_moreinfo</mi></a>","NY02326451","NY02326451_01 NY02326451_02 NY02326451_03","(Barb.Rodr.) L.H.Bailey","350",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-09-30 20:08:00-03","NY","NYBG","02326453","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Butia","paraguayensis","Butia paraguayensis","E. M. Zardini","45657A","1996","10","30","South America","Paraguay","San Pedro","Yaguarete Forest (Sustainable Forest Systems site)","-56.1128","-23.8094","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2573473' target='other'> <mi>dwc_moreinfo</mi></a>","NY02326453","NY02326453_01 NY02326453_02 NY02326453_03 NY02326453_04",NA,"180",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-09-30 20:09:00-03","NY","NYBG","02326539","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Butia","paraguayensis","Butia paraguayensis","E. M. Zardini","37226A","1993","11","17","South America","Paraguay","Concepción","Estancia San Fernando","-57.42","-22.83","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2573765' target='other'> <mi>dwc_moreinfo</mi></a>","NY02326539","NY02326539_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-30 20:08:00-03","NY","NYBG","02326456","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Butia","paraguayensis","Butia paraguayensis","E. M. Zardini","46416","1997","01","22","South America","Paraguay","Misiones","Ayolas: coast of Paraná River","-56.9","-27.4","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2573476' target='other'> <mi>dwc_moreinfo</mi></a>","NY02326456","NY02326456_01 NY02326456_02 NY02326456_03 NY02326456_04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","02326422","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Butia","paraguayensis","Butia paraguayensis","A. L. Bernardi","20497","1980","04","04","South America","Paraguay","Ñeembucú","De Paso de Patria ad Gen Diaz",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2573026' target='other'> <mi>dwc_moreinfo</mi></a>","NY02326422","NY02326422_01","(Barb.Rodr.) L.H.Bailey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-09-30 20:08:00-03","NY","NYBG","02326420","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Butia","paraguayensis","Butia paraguayensis","T. M. Pedersen","9655","1970","02","26","South America","Argentina","Corrientes","Estancia Esperanza",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2572995' target='other'> <mi>dwc_moreinfo</mi></a>","NY02326420","NY02326420_01",NA,NA,"Bella Vista",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00878055","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Butia","paraguayensis","Butia paraguayensis","S. A. Mori","16669","1984","07","10","South America","Brazil","Distrito Federal","On road to Gama, DF16, 3-7 km from junction with BR040","-48.03","-15.97","separate fruit","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=947435' target='other'> <mi>dwc_moreinfo</mi></a>","NY00878055","NY00878055_01","(Barb.Rodr.) L.H.Bailey","1100","Brasília","A. J. Henderson","1100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-09-30 20:08:00-03","NY","NYBG","01137209","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Butia","paraguayensis","Butia paraguayensis","L. R. Noblick","5123","1996","02","17","South America","Paraguay","San Pedro","Lima, N of Rio Jequi-Gauzu along the main north/south road between Cnel Oveido and Pedro Juan Cabellero, ca. 12 km S of the turnoff to Lima.","-56.48719","-23.9764","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2573469' target='other'> <mi>dwc_moreinfo</mi></a>","NY01137209","NY01137209_01 NY01137209_02 NY01137209_03 NY01137209_04",NA,"420",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-09-30 20:08:00-03","NY","NYBG","02326454","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Butia","paraguayensis","Butia paraguayensis","E. M. Zardini","51073","1999","09","22","South America","Paraguay","Canendiyu","Mbaracayú, Natural Reserve administered by Fundación Moisés Bertoni: Aguará-ñu","-55.28","-24.1836","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2573474' target='other'> <mi>dwc_moreinfo</mi></a>","NY02326454","NY02326454_01 NY02326454_02 NY02326454_03 NY02326454_04 NY02326454_05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
