"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","typeStatus","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","minimumElevationInMeters","maximumElevationInMeters","individualCount","coordinatePrecision","geoFlag","dayIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","686177","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Nicotiana","mutabilis","Nicotiana mutabilis","Stehmann & Semir","J. R. Stehmann","1523","1994","11","02","South America","Brazil","Rio Grande do Sul","Barra do Ouro, Riozinho","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=829715' target='other'> <mi>dwc_moreinfo</mi></a>","NY00686177","NY00686177_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-01 16:41:34-03","UNICAMP","UEC","77648","S","Plantae","Magnoliopsida",NA,"Solanaceae","Nicotiana","mutabilis","Nicotiana mutabilis","Stehmann & Semir","Stehmann, JR; Borba, EL; Ippolito, A; Reis, C","1840","1995","12","09",NA,"Brazil","Rio Grande do Sul","Estrada para Riozinho, ca. 5 km do entroncamento para São Francisco de Paula",NA,"Erva em barranco na beira da estrada, ocorrendo também como invasora de lavoura; flores inicialmente brancas, passando a magenta claro","UEC060879","UEC060879","Stehmann, JR","paratypus","Barra do Ouro","-50.36075","-29.557972","-50.36075","-29.557972",NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-01 16:41:34-03","UNICAMP","UEC","69245","S","Plantae","Magnoliopsida",NA,"Solanaceae","Nicotiana","mutabilis","Nicotiana mutabilis","Stehmann & Semir","Stehmann, JR; Borba, EL; Ippolito, A; Reis, C","1841","1995","12","09",NA,"Brazil","Rio Grande do Sul","Estrada para Riozinho, ca. 5 km do entroncamento para São Francisco de Paula",NA,"Erva em barranco na beira da estrada, ocorrendo também como invasora de lavoura; flores inicialmente brancas, passando a magenta - claro","UEC060886","UEC060886","Stehmann, JR","paratypus","Barra do Ouro","-50.36075","-29.557972","-50.36075","-29.557972",NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-01 16:41:34-03","UNICAMP","UEC","77647","S","Plantae","Magnoliopsida",NA,"Solanaceae","Nicotiana","mutabilis","Nicotiana mutabilis","Stehmann & Semir","Stehmann, JR; Borba, EL; Ippolito, A; Reis, C","1842","1995","12","09",NA,"Brazil","Rio Grande do Sul","Estrada para Riozinho, ca. 5 km do entroncamento para São Francisco de Paula",NA,"Erva em barranco na beira da estrada, ocorrendo também como invasora de lavoura; flores inicialmente brancas, passando a magenta - claro","UEC060888","UEC060888","Stehmann, JR","holotypus","Barra do Ouro","-50.36075","-29.557972","-50.36075","-29.557972","2000","04",NA,NA,NA,NA,NA,NA
"5","2021-03-01 16:41:34-03","UNICAMP","UEC","69244","S","Plantae","Magnoliopsida",NA,"Solanaceae","Nicotiana","mutabilis","Nicotiana mutabilis","Stehmann & Semir","Stehmann, JR; Borba, EL; Ippolito, A; Reis, C","1844","1995","12","09",NA,"Brazil","Rio Grande do Sul","Estrada para Riozinho, ca. 5 km do entroncamento para São Francisco de Paula",NA,"Erva em barranco na beira da estrada, ocorrendo também como invasora de lavoura; flores inicialmente brancas, passando a magenta - claro","UEC060885","UEC060885","Stehmann, JR","paratypus","Barra do Ouro","-50.36075","-29.557972","-50.36075","-29.557972",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-01 16:41:34-03","UNICAMP","UEC","69821","S","Plantae","Magnoliopsida",NA,"Solanaceae","Nicotiana","mutabilis","Nicotiana mutabilis","Stehmann & Semir","Stehmann, JR; Dutilh, JHA; Sobral, M","1523","1994","11","02",NA,"Brazil","Rio Grande do Sul","Riozinho",NA,"Erva ereta; inflorescência com flores brancas e magenta","UEC060882","UEC060882","Stehmann, JR","paratypus","Barra do Ouro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-12-21 16:45:32-03","MBM","MBM","304547","PreservedSpecimen","Plantae",NA,NA,"Solanaceae","Nicotiana","mutabilis","Nicotiana mutabilis","Stehmann & Semir","Stehmann, J.R.; Borba, E.L.; Ippolito, A.; Reis, C.; Borba, E.L.; Ippolito, A.; Reis, C.","1841","1995","11","09","Southern America","Brazil","Rio Grande do Sul","Estrada para Riozinho, ca. 5 km do entroncamento para São Francisco de Paula",NA,"Erva em barranco na beira da estrada, ocorrendo também como invasora de lavoura, flores inicialmente brancas, passando para a magenta-claro; Erva, flores inicialmente brancas, passando a magenta-claro.; Em barranco na beira da estrad","MBM304547","MBM304547",NA,"PARATYPE","Barra do Ouro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-12-11 11:41:53-03","UFMG","BHCB","77849","PreservedSpecimen","Plantae","Dicotyledon",NA,"Solanaceae","Nicotiana","mutabilis","Nicotiana mutabilis","Stehmann & Semir","Stehmann, JR; Borba, EL; Ippolito, A; Reis, C dos","1844","1995","12","09","Southern America","Brasil","Rio Grande do Sul","Estrada para Riozinho, Ca 5 km do entroncamento para São Francisco de Paula",NA,"Erva, flores inicialmente brancas, passando a magenta-claro; Barranco em beira de estrada, ocorrendo também como invasora de lavoura","BHCB037409","BHCB037409",NA,"Paratypus","Barra do Ouro","-50.360575","-29.557797","-50.360575","-29.557797","2004","04",NA,NA,NA,NA,NA,NA
"9","2020-12-11 11:41:53-03","UFMG","BHCB","192495","PreservedSpecimen","Plantae","Dicotyledon",NA,"Solanaceae","Nicotiana","mutabilis","Nicotiana mutabilis","Stehmann & Semir","Augsten, M; Stehmann, JR","1097","2018","10","31","Southern America","Brasil","Rio Grande do Sul","Estrada Riozinho - Barra do Ouro",NA,"PLANTA PRENSADA EM ÁLCOOL. Visita de beija-flor observada.; População com ca. 20 indivíduos, ervas de até 2m. Flores brancas e rosas.; Beira de estrada, e entrada de casa de morador local","BHCB192495",NA,NA,NA,"São Francisco de Paula","-50.405278","-29.624722","-50.405278","-29.624722",NA,NA,"750","750",NA,NA,NA,NA
"10","2020-12-11 11:41:53-03","UFMG","BHCB","192497","PreservedSpecimen","Plantae","Dicotyledon",NA,"Solanaceae","Nicotiana","mutabilis","Nicotiana mutabilis","Stehmann & Semir","Augsten, M; Stehmann, JR","1099","2018","10","31","Southern America","Brasil","Rio Grande do Sul","Estrada Riozinho - Barra do Ouro",NA,"PLANTA PRENSADA EM ÁLCOOL; Erva até 50cm. Flores brancas e rosas; Beira da estrada","BHCB192497",NA,NA,NA,"São Francisco de Paula","-50.405278","-29.624722","-50.405278","-29.624722",NA,NA,"690","690",NA,NA,NA,NA
