"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","infraspecificEpithet","fieldNumber","individualCount","typeStatus","relatedCatalogItem"
"1","2020-09-23 10:43:03-03","E","E","295965","PreservedSpecimen","Plantae","Rubiaceae","Declieuxia","oenanthoides","Declieuxia oenanthoides","Brooks, R.R.; Reeves, R.D.","536","1990","06","20","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:312994","<a href=http://data.rbge.org.uk/herb/E00295965 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00295965",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:43:03-03","E","E","187428","PreservedSpecimen","Plantae","Rubiaceae","Declieuxia","oenanthoides","Declieuxia oenanthoides","Sakuragui,C.M., Harley,R.M., Sano,P.T., Roque,N. & Souza,V.C.","15251","1994","03","20","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:194811","<a href=http://data.rbge.org.uk/herb/E00187428 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00187428",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","949963","PreservedSpecimen","Plantae","Rubiaceae","Declieuxia","oenanthoides","Declieuxia oenanthoides","H. S. Irwin","6245","1964","09","19","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1044700' target='other'> <mi>dwc_moreinfo</mi></a>","NY00949963","Magnoliophyta","Gentianales","Mart. & Zucc. ex Schult. & Schult.f.","D. Philcox","Distrito Federal","Brasília","Cia. Fercal, ca. 20 km. E. of Brasília.","-47.88","-15.58","700","1000","NY00949963_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00895866","PreservedSpecimen","Plantae","Rubiaceae","Declieuxia","oenanthoides","Declieuxia oenanthoides","J. M. de Rezende","28","1995","07","31","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=968374' target='other'> <mi>dwc_moreinfo</mi></a>","NY00895866","Magnoliophyta","Gentianales","Mart. & Zucc. ex Schult. & Schult.f.","P. G. Delprete","Distrito Federal","Brasília","Samambaia. Parque Boca Da Mata. Ao norte do campo de Murunduns","-48.05","-15.87","1150","1150","NY00895866_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00895877","PreservedSpecimen","Plantae","Rubiaceae","Declieuxia","oenanthoides","Declieuxia oenanthoides","H. S. Irwin","25216","1970","01","23","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=968136' target='other'> <mi>dwc_moreinfo</mi></a>","NY00895877","Magnoliophyta","Gentianales","Mart. & Zucc. ex Schult. & Schult.f.","P. G. Delprete","Goiás","Catalão","Contraforte Central, ca. 26 km N.E. of Catalão","-47.77624","-18.0006","875","875","NY00895877_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00895886","PreservedSpecimen","Plantae","Rubiaceae","Declieuxia","oenanthoides","Declieuxia oenanthoides","J. A. Ratter","R2791","1976","03","17","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=968182' target='other'> <mi>dwc_moreinfo</mi></a>","NY00895886","Magnoliophyta","Gentianales","Mart. & Zucc. ex Schult. & Schult.f.","P. G. Delprete","Distrito Federal","Brasília","Fazenda Água Limpa (University of Brasilia field station), near Vargem Bonita, c. 18 km SSW of Brasília TV Tower.","-47.9294","-15.7797",NA,NA,"NY00895886_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","949953","PreservedSpecimen","Plantae","Rubiaceae","Declieuxia","oenanthoides","Declieuxia oenanthoides","G. G. Hatschbach","36217","1975","02","17","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1044654' target='other'> <mi>dwc_moreinfo</mi></a>","NY00949953","Magnoliophyta","Gentianales","Mart. & Zucc. ex Schult. & Schult.f.","J. H. Kirkbride Jr.","Distrito Federal","Brasília","BR 60, Km 20","-47.9294","-15.7797",NA,NA,"NY00949953_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","949972","PreservedSpecimen","Plantae","Rubiaceae","Declieuxia","oenanthoides","Declieuxia oenanthoides","H. S. Irwin","13457","1966","03","04","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1044727' target='other'> <mi>dwc_moreinfo</mi></a>","NY00949972","Magnoliophyta","Gentianales","Mart. & Zucc. ex Schult. & Schult.f.","J. H. Kirkbride Jr.","Goiás","Cristalina","Serra dos Cristais, ca. 10 km W. of Cristalina","-47.69379","-16.75","1200","1200","NY00949972_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","949950","PreservedSpecimen","Plantae","Rubiaceae","Declieuxia","oenanthoides","Declieuxia oenanthoides","T. C. Plowman","9444","1980","04","03","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1044645' target='other'> <mi>dwc_moreinfo</mi></a>","NY00949950","Magnoliophyta","Gentianales","Mart. & Zucc. ex Schult. & Schult.f.","J. H. Kirkbride Jr.","Distrito Federal","Brasília","Chapada de Contagem, northeast of Brasilia. Along highway DF 5 about 36 km. west of intersection with BR 020, near television antenna.","-48.08","-15.58","1280","1280","NY00949950_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00895861","PreservedSpecimen","Plantae","Rubiaceae","Declieuxia","oenanthoides","Declieuxia oenanthoides","H. D. Ferreira","3181","1995","09","02","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=968179' target='other'> <mi>dwc_moreinfo</mi></a>","NY00895861","Magnoliophyta","Gentianales","Mart. & Zucc. ex Schult. & Schult.f.","P. G. Delprete","Goiás","São João d'Aliança","Próximo a Alto Paraíso","-47.5244","-14.7058",NA,NA,"NY00895861_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
