"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","continentOcean","country","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","year","month","day","stateProvince","county","imagecode","decimalLongitude","decimalLatitude","typeStatus","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2020-09-23 10:40:34-03","E","E","247204","PreservedSpecimen","Plantae","Leguminosae","Cyclolobium","brasiliense","Cyclolobium brasiliense","Fiebrig, K.","349","E. Tropical South America","PY","Cordillera de Altos.","herbarium specimen of unspecif","BGBASE:266435","<a href=http://data.rbge.org.uk/herb/E00247204 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00247204",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","476795","PreservedSpecimen","Plantae","Fabaceae","Cyclolobium","brasiliense","Cyclolobium brasiliense","O. Handro","835","South America","Brazil","Reserva Florestal (Fazenda Campininha), margem do Rio Moji-Guaçu, perto de Pauda Sales","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=415761' target='other'> <mi>dwc_moreinfo</mi></a>","NY00476795","Magnoliophyta","Fabales","Benth.","M. C. Warwick","1958","11","20","São Paulo","Moji-Guaçu","NY00476795_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","476800","PreservedSpecimen","Plantae","Fabaceae","Cyclolobium","brasiliense","Cyclolobium brasiliense","C. A. Cid Ferreira","8987","South America","Brazil","Linha 64, a 7km da BR-429 em direçao a Costa Marques","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=415774' target='other'> <mi>dwc_moreinfo</mi></a>","NY00476800","Magnoliophyta","Fabales","Benth.","M. C. Warwick","1987","05","01","Rondônia","Alvorada do Oeste","NY00476800_01","-62.5","-11.42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00984728","PreservedSpecimen","Plantae","Fabaceae","Cyclolobium","brasiliense","Cyclolobium brasiliense","L. Riedel","2924","South America","Brazil","S. Luzia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1131115' target='other'> <mi>dwc_moreinfo</mi></a>","NY00984728","Magnoliophyta","Fabales","Benth.","M. C. Warwick","1834","11",NA,"Minas Gerais",NA,"NY00984728_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","6734","PreservedSpecimen","Plantae","Fabaceae","Cyclolobium","brasiliense","Cyclolobium brasiliense","J. B. E. Pohl","3505","South America","Brazil","Ad Fazenda do Lopez","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=415771' target='other'> <mi>dwc_moreinfo</mi></a>","NY00006734","Magnoliophyta","Fabales","Benth.",NA,NA,NA,NA,NA,NA,"NY00006734_01",NA,NA,"isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","586016","PreservedSpecimen","Plantae","Fabaceae","Cyclolobium","brasiliense","Cyclolobium brasiliense","M. Aparecida da Silva","3180","South America","Brazil","Ca. 10km da cidade. Regiao do Parana do Meio em direçao ao povoado de Santa Rosa. Córrego Cangalha","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=415760' target='other'> <mi>dwc_moreinfo</mi></a>","NY00586016","Magnoliophyta","Fabales","Benth.","R. C. Barneby","1996","10","16","Goiás","Formosa","NY00586016_01","-47.3342","-15.5372",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00984117","PreservedSpecimen","Plantae","Fabaceae","Cyclolobium","brasiliense","Cyclolobium brasiliense","B. M. T. Walter","1328","South America","Brazil","Estrada vicinal a GO-237 (Niquelandia/Colinas). Entrada a 600 m da ponte sobre R. Bagagem; 28 km desta. M. direita Bacia de inundaçao da UHE Serra da Mesa","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1120332' target='other'> <mi>dwc_moreinfo</mi></a>","NY00984117","Magnoliophyta","Fabales","Benth.","J. A. Kallunki","1992","04","14","Goiás","Niquelândia","NY00984117_01","-48.22","-14.17",NA,"440","440",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","476794","PreservedSpecimen","Plantae","Fabaceae","Cyclolobium","brasiliense","Cyclolobium brasiliense","M. Kuhlmann","3934","South America","Brazil","Reserva Florestal, margem do Rio Moji-Guaçu","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=415766' target='other'> <mi>dwc_moreinfo</mi></a>","NY00476794","Magnoliophyta","Fabales","Benth.","M. C. Warwick","1956","09","20","São Paulo","Moji-Guaçu","NY00476794_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","476792","PreservedSpecimen","Plantae","Fabaceae","Cyclolobium","brasiliense","Cyclolobium brasiliense","R. P. Belém","2726","South America","Brazil","Plantaçao de Cacau","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=415773' target='other'> <mi>dwc_moreinfo</mi></a>","NY00476792","Magnoliophyta","Fabales","Benth.","M. C. Warwick","1966","10","08","Bahia","Guaratinga","NY00476792_01","-39.78","-16.58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","476799","PreservedSpecimen","Plantae","Fabaceae","Cyclolobium","brasiliense","Cyclolobium brasiliense","B. V. Skvortzov","s.n.","South America","Brazil","Jardim Botânico e Parque do Estado","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=415764' target='other'> <mi>dwc_moreinfo</mi></a>","NY00476799","Magnoliophyta","Fabales","Benth.","M. C. Warwick","1969","10","09","São Paulo","Sao Paulo","NY00476799_01","-46.621883","-23.654505",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
