"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","year","month","day","minimumElevationInMeters","maximumElevationInMeters","imagecode","class","relatedCatalogItem","coordinatePrecision","geoFlag","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","fieldNumber","individualCount","infraspecificEpithet"
"1","2021-03-15 16:37:00-03","NY","NYBG","970479","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Gentianaceae","Schultesia","aptera","Schultesia aptera","Cham.","E. F. Guimarães","E. P. Heringer","11271","South America","Brazil","Distrito Federal","Brasília","Samambaia, Rio Corumbá.","-47.9294","-15.7797","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1049245' target='other'> <mi>dwc_moreinfo</mi></a>","NY00970479",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","970480","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Gentianaceae","Schultesia","aptera","Schultesia aptera","Cham.","E. F. Guimarães","E. P. Heringer","8280/474","South America","Brazil","Distrito Federal","Brasília","Hôrto do Guará.","-47.9294","-15.7797","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1049252' target='other'> <mi>dwc_moreinfo</mi></a>","NY00970480","1961","04","19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01067770","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Gentianaceae","Schultesia","aptera","Schultesia aptera","Cham.","W. Milliken","J. A. Ratter","R1346","South America","Brazil","Mato Grosso","Ribeirão Cascalheira","Córrego de Porco, 240 km N. of Xavantina on Xavantina-São Felix road","-51.8242","-12.9419","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1215915' target='other'> <mi>dwc_moreinfo</mi></a>","NY01067770","1968","05","07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","970478","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Gentianaceae","Schultesia","aptera","Schultesia aptera","Cham.","E. F. Guimarães","D. Philcox","3897","South America","Brazil","Mato Grosso",NA,"Km. 247, Xavantina-Cachimbo road. Expedition Base Camp.","-51.77","-12.82","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1049237' target='other'> <mi>dwc_moreinfo</mi></a>","NY00970478","1968","01","05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","970481","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Gentianaceae","Schultesia","aptera","Schultesia aptera","Cham.","E. F. Guimarães","H. S. Irwin","23280","South America","Brazil","Minas Gerais",NA,"Serra do Espinhaço, ca. 35 km N.E. of Francisco Sá, on road to Salinas","-43.21845","-16.40385","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1049256' target='other'> <mi>dwc_moreinfo</mi></a>","NY00970481","1969","02","14","1100","1100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","970477","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Gentianaceae","Schultesia","aptera","Schultesia aptera","Cham.","E. F. Guimarães","J. M. Pires","9158","South America","Brazil","Distrito Federal","Brasília","Campus, da UNB.","-47.9294","-15.7797","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1049229' target='other'> <mi>dwc_moreinfo</mi></a>","NY00970477","1963","04","17",NA,NA,"NY00970477_01 NY00970477_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 09:21:11-03","NBC","NL-BOTANY","U.1346050","PreservedSpecimen","Plantae",NA,"Gentianales","Gentianaceae","Schultesia","aptera","Schultesia aptera","Cham.","Milliken W","Ratter JA; Santos RR de; Souza R; Ferreira A; Fonseca J",NA,"Southern America","Brazil","Mato Grosso",NA,"Corego de Porco, 240 km. N. of Xavantina on Xavantina-Sao Felix road.",NA,NA,NA,"Growing in wet grassy campo.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1346050 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1346050","1968","05","07",NA,NA,"NL-U1346050","Magnoliopsidae","U 0246752",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-02-15 11:40:15-02","IPA","IPA","10023","S","Plantae","Plantae",NA,"Gentianaceae","Schultesia","aptera","Schultesia aptera","Cham.","Pickel, B.","Pickel, B.","5680","Southern America","Brasil","São Paulo","São Paulo","Indianópolis, no pântano de um regato, em campo alto.","-46.6300010681152","-23.5400009155273",NA,NA,"IPA0010023","1942","05","11",NA,NA,NA,NA,NA,"53584","auto",NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-11-21 14:37:20-03","UFJF","CESJ","8275","PreservedSpecimen","Plantae","Angiosperma",NA,"Gentianaceae","Schultesia","aptera","Schultesia aptera","Cham.","E.F. Guimarães","L. Krieger","CESJ8275","América do Sul","Brasil","Minas Gerais","Entre Rios",NA,NA,NA,NA,"No brejo, flores amarelas.","CESJ008275","1970","03",NA,NA,NA,NA,NA,NA,NA,NA,"2008",NA,NA,NA,NA,NA,NA,NA
"10","2021-04-07 11:44:59-03","UFMS","CGMS","37780","PreservedSpecimen","Plantae",NA,NA,"Gentianaceae","Schultesia","aptera","Schultesia aptera","Cham.","V.J. Pott","V.J. Pott; S.N. Moreira & A. Pott","10731",NA,"Brasil","Mato Grosso do Sul","Terenos","Fazenda Modelo, Embrapa - Varjão próximo a ferrovia, via Campo Grande - Ponta Porã.","-54.7833333","-20.5563889",NA,"Flor amarela. Frequente. Habitat: Campo úmido em nascente com buriti (vereda). Habito: Erva aquática emergente. 0,20-0,40m de altura.","CGMS1067198","2010","01","29","511","511",NA,NA,NA,NA,NA,NA,"-54,7833333","-20,5563889",NA,NA,NA,NA,NA
"11","2019-11-27 13:49:31-03","UFS","ASE","29448","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Gentianaceae","Schultesia","aptera","Schultesia aptera","Cham.","Oliveira, EVS","Oliveira, EVS; Santos, JFL","234","Southern America","Brasil","Sergipe","Pirambu","Rebio de Santa Isabel, Povoado Lagoa Redonda","-36.855833","-10.737778",NA,"Erva. Cerca de de 10 cm.; Restinga","ASE0000992","2013","10","01",NA,NA,"ASE0000992",NA,NA,NA,NA,"2013","-36.855833","-10.737778","07","23",NA,NA,NA
"12","2019-11-27 13:49:31-03","UFS","ASE","20236","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Gentianaceae","Schultesia","aptera","Schultesia aptera","Cham.","Santos, LAS","Santos, LAS; Menezes, IRN","526","Southern America","Brasil","Sergipe","Pacatuba","Povoado Atalho, Próximo ao povoado Ouricuri","-36.651389","-10.453333",NA,"Erva aquática, aprox. 20 cm de altura, flores salmom com a base das pétalas enegrecidas, estames e geneceu amarelos.; Erva aquática, aprox. 20 cm de altura, flores salmom com a base das pétalas enegrecidas, estames e geneceu amarelos.","ASE0026271","2011","03","22",NA,NA,"ASE0026271",NA,NA,NA,NA,"2011","-36.651389","-10.453333","03",NA,NA,NA,NA
"13","2019-11-27 13:49:31-03","UFS","ASE","20237","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Gentianaceae","Schultesia","aptera","Schultesia aptera","Cham.","Santos, LAS","Menezes, IRN; Santos, LAS","198","Southern America","Brasil","Sergipe","Pacatuba","Povoado Atalho, Próximo ao povoado Ouricuri","-36.651389","-10.453333",NA,"Flores salmom, frutos imaturos.; Flores salmom, frutos imaturos.; Brejo.","ASE0026272","2011","03","22",NA,NA,"ASE0026272",NA,NA,NA,NA,"2011","-36.651389","-10.453333","03",NA,NA,NA,NA
"14","2019-12-12 11:16:10-03","UNICAMP","UEC","107659","S","Plantae","Magnoliopsida",NA,"Gentianaceae","Schultesia","aptera","Schultesia aptera","Cham.",NA,"Koehler, S; Belinello, R; Barbosa, A; Pansarin, ER; Filliettaz, AM; Faria, AD","9922",NA,"Brazil","São Paulo","Pedregulho","Estreito","-47.286111","-20.166667",NA,"flor","UEC134623","1999","06","11",NA,NA,"UEC134623",NA,NA,NA,NA,NA,"-47.286111","-20.166667",NA,NA,NA,NA,NA
