"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","recordNumber","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","county","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","individualCount","typeStatus","fieldNumber","infraspecificEpithet"
"1","2020-09-23 10:36:19-03","E","E","102407","PreservedSpecimen","Plantae","Araliaceae","Didymopanax","vinosus","Didymopanax vinosus","Ratter, J.A., Bridgewater, S. & dos Santos, J. Batista","1998","08","05","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:110851","<a href=http://data.rbge.org.uk/herb/E00102407 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00102407",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:36:19-03","E","E","221121","PreservedSpecimen","Plantae","Araliaceae","Schefflera","vinosa","Schefflera vinosa","Ratter, J.A.; Bridgewater, S.; Fonsêca, J.Filho; Aquino, Fabiana; Ferreira, Joice","2000","08","07","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:230862","<a href=http://data.rbge.org.uk/herb/E00221121 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00221121",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01023415","PreservedSpecimen","Plantae","Araliaceae","Didymopanax","vinosum","Didymopanax vinosum","R. M. Harley","1977","03","24","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1191569' target='other'> <mi>dwc_moreinfo</mi></a>","NY01023415","Magnoliophyta","Apiales","Marchal","R. M. Harley","19960","Bahia","Ca. 3km south of small town of Mato Grosso on the road to Vila do Rio de Contas.","-41.82","-13.48","1200","1200","NY01023415_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01023416","PreservedSpecimen","Plantae","Araliaceae","Didymopanax","vinosum","Didymopanax vinosum","R. M. Harley","1977","02","17","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1191571' target='other'> <mi>dwc_moreinfo</mi></a>","NY01023416","Magnoliophyta","Apiales","Marchal","R. M. Harley","19590","Bahia","Lower NE slopes of the Pico das Almas, ca. 25 km WNW of the Vila do Rio de Contas","-41.95","-13.55","1500","1500","NY01023416_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01481925","PreservedSpecimen","Plantae","Araliaceae","Schefflera","vinosa","Schefflera vinosa","W. R. Anderson","1972","03","06","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1104394' target='other'> <mi>dwc_moreinfo</mi></a>","NY01481925","Magnoliophyta","Apiales","(Cham. & Schltdl.) Frodin & Fiaschi","D. G. Frodin","36709","Bahia","Espigao Mestre, ca. 100km WSW of Barreiras.",NA,NA,"750","750","NY01481925_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1581772","PreservedSpecimen","Plantae","Araliaceae","Schefflera","vinosa","Schefflera vinosa","H. S. Irwin","1971","02","24","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1104911' target='other'> <mi>dwc_moreinfo</mi></a>","NY01581772","Magnoliophyta","Apiales","(Cham. & Schltdl.) Frodin & Fiaschi","D. G. Frodin","30913","Bahia","Serra da Agua de Rega. Ca. 23 km N. of Seabra, road to Agua de Rega","-41.7703","-12.4186","1000","1000","NY01581772_01","Seabra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01481921","PreservedSpecimen","Plantae","Araliaceae","Schefflera","vinosa","Schefflera vinosa","W. R. Anderson","1972","02","02","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1104388' target='other'> <mi>dwc_moreinfo</mi></a>","NY01481921","Magnoliophyta","Apiales","(Cham. & Schltdl.) Frodin & Fiaschi","D. G. Frodin","35132","Minas Gerais","Serra do Espinhaço, ca. 35 km SW of Gouveia, km 243 on MG-259","-43.98545","-18.6094","1080","1080","NY01481921_01","Gouveia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1145224","PreservedSpecimen","Plantae","Araliaceae","Schefflera","vinosa","Schefflera vinosa","R. de Mello-Silva","1985","08","01","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1307186' target='other'> <mi>dwc_moreinfo</mi></a>","NY01145224","Magnoliophyta","Apiales","(Cham. & Schltdl.) Frodin & Fiaschi","P. Fiaschi","CFCR7866","Minas Gerais","Pedra Menina. Serra do Ambrósio, Espigão do Meio.","-43.0092","-18.2936",NA,NA,"NY01145224_01","Rio Vermelho",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","617264","PreservedSpecimen","Plantae","Araliaceae","Schefflera","vinosa","Schefflera vinosa","L. B. Smith","1965","01","19","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=33347' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617264","Magnoliophyta","Apiales","(Cham. & Schltdl.) Frodin & Fiaschi",NA,"14851","Paraná","Fazenda Morungava, Rio Funil","-49.37","-24.13","800","800","NY00617264_01","Sengés",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","485091","PreservedSpecimen","Plantae","Araliaceae","Schefflera","vinosa","Schefflera vinosa","A. M. Amorim","1991","11","20","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=738349' target='other'> <mi>dwc_moreinfo</mi></a>","NY00485091","Magnoliophyta","Apiales","(Cham. & Schltdl.) Frodin & Fiaschi","D. G. Frodin","541","Bahia","Ramal a esquerda na estrada Ubaitaba/Itacaré, a 4 km do loteamento da Marambaia","-38.9967","-14.2778",NA,NA,"NY00485091_01","Itacaré",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
