"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class","minimumElevationInMeters","maximumElevationInMeters","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","386788","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Campomanesia","espiritosantensis","Campomanesia espiritosantensis","Landrum","isotype","D. A. Folli","494","1984","01","27","South America","Brazil","Espírito Santo","Reserva Florestal da CVRD. Linhares; Est. Jacaranda, ant. 232, km 3,630, lado esquerdo","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=292720' target='other'> <mi>dwc_moreinfo</mi></a>","NY00386788","NY00386788_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-12-20 21:18:34-03","UFV","VIC","18186","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Campomanesia","espiritosantensis","Campomanesia espiritosantensis","Landrum",NA,"Luiza, A.","s.n.","1995","08","24",NA,"Brasil","Bahia","FLONA Rio Preto",NA,"Altura de 10 metros, P13 nº129.","VIC018186","VIC018186",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-24 17:09:30-03","UFES","SAMES","3652","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Campomanesia","espiritosantensis","Campomanesia espiritosantensis","Landrum",NA,"Menezes,L.F.T.","1834","2008","03","05",NA,"Brasil","Espírito Santo","Degredo. Vegetação de restinga. Estrada ligando Pontal do Ipiranga á Degredo. Floresta alta sobre cordão arenoso.",NA,"Árvore de 6m com frutos verdes.","SAMES03652",NA,"Giaretta,A.","2011","06","30","Linhares","-40.0722007751465","-19.3910999298096","48094","auto",NA,NA,NA,NA,NA,NA
"4","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0019303","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Campomanesia","espiritosantensis","Campomanesia espiritosantensis","Landrum","ISOTYPE","D. A. Folli",NA,"1984",NA,NA,NA,"Brazil","Espirito Santo",NA,NA,"Origin: BRAZI; 8 m, 18.5 DAP. Arvore em Floresta Alta, + or - 15 m de altura e fueste de + or - 8 m, DAP 18,5 cm 0 da copa + or - 7m. Com fruto maduro de cor amerelo ye verde. Fuste achatado e casca escamosa. N.o de Registro 1089",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0019302","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Campomanesia","espiritosantensis","Campomanesia espiritosantensis","Landrum","PARATYPE","D. A. Folli",NA,"1980",NA,NA,NA,"Brazil","Espirito Santo",NA,NA,"Origin: BRAZIL,; 22 m, DAP 34 cm, + or - 22 m de altura e fuste de + or - 15 m, 0 de la copa + or - 8 m. Com flor branca e botao verde. Fuste cylindrico e casca lisa. Nome Vulgar: Araca miudo. N.o de Registro 726.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-06-27 10:25:48-03","UFES","VIES","33309","S","Plantae",NA,NA,"Myrtaceae","Campomanesia","espiritosantensis","Campomanesia espiritosantensis","Landrum",NA,"Moreira, L.N.","71","2007","07","09",NA,"Brasil","Espírito Santo","Floresta Nacional Pacotuba.",NA,NA,"VIES033309","VIES033309",NA,NA,NA,NA,"Cachoeiro de Itapemirim","-41.1128005981445","-20.8488998413086","35694","auto",NA,NA,NA,NA,NA,NA
"7","2020-04-27 16:10:43-03","UFES","VIES","41417","S","Plantae",NA,NA,"Myrtaceae","Campomanesia","espiritosantensis","Campomanesia espiritosantensis","Landrum",NA,"Menezes, L.F.T.","1834","2008","03","05",NA,"Brasil","Espírito Santo","Degredo. Vegetação de restinga. Estrada ligando Pontal do Ipiranga á Degredo. Floresta alta sobre cordão arenoso.",NA,NA,"VIES041417","VIES041417","Giaretta, A.","2011","06","30","Linhares","-40.0722007751465","-19.3910999298096","48094","auto",NA,NA,NA,NA,NA,NA
"8","2020-04-27 16:10:43-03","UFES","VIES","28838","S","Plantae",NA,NA,"Myrtaceae","Campomanesia","espiritosantensis","Campomanesia espiritosantensis","Landrum",NA,"Folli, D.A.","4750","2004","02","02",NA,"Brasil","Espírito Santo","Reserva Natural Vale, estrada Flamengo. Mata de Tabuleiro.",NA,NA,"VIES028838","VIES028838","D.A. Folli","2004","02","02","Linhares","-40.0722007751465","-19.3910999298096","48094","auto",NA,NA,NA,NA,NA,NA
"9","2019-12-19 16:36:57-03","UNESP-IBB","BOTUW","860","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Campomanesia","espiritosantensis","Campomanesia espiritosantensis","Landrum",NA,NA,NA,NA,NA,NA,NA,"Brasil","Espírito Santo","Comp. Vale do Rio Doce",NA,NA,"BOTUW000860",NA,NA,NA,NA,NA,NA,"-40.533333","-19.866667",NA,NA,"40°32'W","19°52'S",NA,NA,NA,NA
"10","2020-06-29 09:31:25-03","UFRRJ","RBR","37726","S","Plantae",NA,NA,"Myrtaceae","Campomanesia","espiritosantensis","Campomanesia espiritosantensis","Landrum","Paratipo","D.A. Folli","301/80","1980","12","09",NA,"Brasil","Espírito Santo","Etrada do Flamengo, antiga X-1, Km 2790, lado esquerdo.",NA,NA,"RBR00037726","RBR00037726","L.R. Landrum","1987",NA,NA,"Linhares","-40.0722007751465","-19.3910999298096","48094","auto",NA,NA,NA,NA,NA,NA
