"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","individualCount","geoFlag","class","imagecode","typeStatus","yearIdentified","monthIdentified","dayIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","1015196","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Gyrostelma","bornmuelleri","Gyrostelma bornmuelleri","Schltr. ex Malme","J. Fontella Pereira","G. G. Hatschbach","22579","1969","10","21","South America","Brazil","Paraná","Guarapuava","Entre Rios.","-51.4581","-25.3956","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1100570' target='other'> <mi>dwc_moreinfo</mi></a>","NY01015196",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-26 18:07:01-03","CPAN-UFMS","COR","2572","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Gyrostelma","bornmuelleri","Gyrostelma bornmuelleri","Schltr. ex Malme","H. A. Keller","H.A.Keller; M. M. Franco",NA,"2013","11","25",NA,"Argentina","Misiones","Candelaria","Ca. De acceso a la cruz de Santa Ana. Pastizal alterado.","-55.545833","-27.404167",NA,"Sufrútice con látex; Com Flor: flores crema con interior morado",NA,"55º32'45''W","27º24'15''S","151","151",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2010-08-24 16:22:00-03","MO","MOBOT","2458153","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Gyrostelma","bornmuelleri","Gyrostelma bornmuelleri","Schltr. ex Malme",NA,"Gert G. Hatschbach","Hatschbach 22579","1969","10","21","South America","Brazil","Paraná","Entre Rios do Oeste","Guarapuava. Entre Rios","-54.2341995239258","-24.7043991088867",NA,NA,NA,NA,NA,NA,NA,"14706","1","auto",NA,NA,NA,NA,NA,NA
"4","2016-11-15 05:15:00-02","MO","MOBOT","1204529","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Gyrostelma","bornmuelleri","Gyrostelma bornmuelleri","Schltr. ex Malme",NA,"Carmen L. Cristóbal|Antonio C. Krapovickas","Cristóbal 1789","1978","9","11","South America","Argentina","Corrientes",NA,"Depto. Ituzaingó, Ruta 12, 2 km antes del límite con Misiones",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-06-15 15:28:26-03","UNESP-RC","HRCB","44381","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Gyrostelma","bornmuelleri","Gyrostelma bornmuelleri","Schltdl.","Pivetta","Pivetta","732","1954","01","03",NA,"Brasil","Rio Grande do Sul","Pejuçara",NA,"-53.6557998657227","-28.4232997894287",NA,"Erva perene, escandescente, flor branca",NA,NA,NA,"500","500","23308",NA,"auto",NA,NA,NA,NA,NA,NA
"6","2020-06-15 15:28:26-03","UNESP-RC","HRCB","44408","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Gyrostelma","bornmuelleri","Gyrostelma bornmuelleri","Schltdl.","Pivetta","Pivetta",NA,"1956","02","16",NA,"Brasil","Rio Grande do Sul","Augusto Pestana",NA,"-53.9921989440918","-28.5168991088867",NA,"Erva escandescente, flor roxa",NA,NA,NA,"500","500","15366",NA,"auto",NA,NA,NA,NA,NA,NA
"7","2020-09-12 05:00:02-03","US","US","3117041","PreservedSpecimen","Plantae",NA,"Gentianales","Asclepiadaceae","Gyrostelma","bornmuelleri","Gyrostelma bornmuelleri","Schltr. ex Malme",NA,"G. Hatschbach","22579","1969","10","21","South America","Brazil","Paraná",NA,"Entre Rios (mun. Guarapuava).",NA,NA,NA,NA,"US03263943",NA,NA,NA,NA,NA,"1",NA,"Dicotyledonae","US03263943_01",NA,NA,NA,NA
"8","2019-09-04 19:23:16-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Asclepiadaceae","Gyrostelma","bornmuelleri","Gyrostelma bornmuelleri",NA,NA,"A. Bornmüller","229","1904","10","18","South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,"Type [status unknown]",NA,NA,NA
"9","2019-07-09 14:16:43-03","F","FMNH-SEEDPLANTS","V0419579F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Asclepiadaceae","Gyrostelma","bornmuelleri","Gyrostelma bornmuelleri",NA,NA,"C. L. Cristóbal","1789","1978","9","11","South America","Argentina",NA,NA,NA,"-64.9208","-35.3869",NA,NA,"V0419579F",NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae","V0419579F_01",NA,NA,NA,NA
"10","2021-02-08 12:33:01-03","UFRGS","ICN","035697","S","Plantae","Dicotyledon",NA,"Apocynaceae","Gyrostelma","bornmuelleri","Gyrostelma bornmuelleri","Schltr. ex Malme","Fontella, J","Waechter, JL","645b","1977","11","13","América do Sul","Brasil","RS","Passo Fundo","Entre Passo Fundo e Ronda Alta","-52.4067001342773","-28.2628002166748",NA,"Flores beges, no centro arroxeadas.; Erva em campo.","ICN00011189",NA,NA,NA,NA,"25060",NA,"auto",NA,"ICN00011189",NA,"1987","08","28"
