"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","typeStatus","coordinatePrecision","geoFlag","class","verbatimLongitude","verbatimLatitude","individualCount","monthIdentified","dayIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","01141858","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Ravenia","pseudalterna","Ravenia pseudalterna","Ducke","J. A. Kallunki","C. A. Cid Ferreira","1165","1980","06","28","South America","Brazil","Pará","Oriximiná","Rio Mapuera, lado esquerdo","-58.088665","-0.4916751","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1505532' target='other'> <mi>dwc_moreinfo</mi></a>","NY01141858","NY01141858_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01141857","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Ravenia","pseudalterna","Ravenia pseudalterna","Ducke",NA,"J. M. Pires","403","1947","04","18","South America","Brazil","Amazonas",NA,"Rio Negro. Ilha das Flores","-67.3019055","0.076046","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1505531' target='other'> <mi>dwc_moreinfo</mi></a>","NY01141857","NY01141857_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-30 12:48:31-03","EAO","IAN","28362","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Rutaceae","Ravenia","pseudalterna","Ravenia pseudalterna","Ducke","Albuquerque, BWP de","Pires, JM","403","1947","04","18","Southern America","Brasil","Amazonas",NA,"Rio Negro, Ilha das flores, fóz do rio Vaupés; mata virgem.",NA,NA,NA,"Arbusto.","IAN028362","IAN028362","1975",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-30 12:48:31-03","EAO","IAN","102133","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Rutaceae","Ravenia","pseudalterna","Ravenia pseudalterna","Ducke",NA,"Rodrigues, JS","112",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN102133",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-30 12:48:31-03","EAO","IAN","111044","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Rutaceae","Ravenia","pseudalterna","Ravenia pseudalterna","Ducke",NA,"Rodrigues, W","926","1959","02","17","Southern America","Brasil","Amazonas",NA,"Rio Negro, catinga da Ilha das Flores.",NA,NA,NA,"Arvoreta, cationga arenosa. Flores verdes.","IAN111044",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-30 12:48:31-03","EAO","IAN","50578","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Rutaceae","Ravenia","pseudalterna","Ravenia pseudalterna","Ducke",NA,"Ducke, A","s.n.","1932","01","04","Southern America","Brasil","Amazonas",NA,"Rio Negro; São Gabriel; mata ao redor da Serra Cabarí.",NA,NA,NA,"Árvore pequena; flor verde.","IAN050578",NA,NA,"isotipo",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-30 12:48:31-03","EAO","IAN","141121","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Rutaceae","Ravenia","pseudalterna","Ravenia pseudalterna","Ducke","Albuquerque, B","Ribeiro, BGS","249","1973","01","10","Southern America","Brasil","Amazonas","São Gabriel da Cachoeira","Rio Negro, Vaupés. Mata alta de terra firme.","-67.0892028808594","-0.130278006196022",NA,"Árvore de 10m de altura e 11cm de diâmetro; flor, cálice verde, corola e estames esverdeado.","IAN141121",NA,"1975",NA,"377621","auto",NA,NA,NA,NA,NA,NA
"8","2020-02-08 10:31:36-03","NBC","NL-BOTANY","U 0111489","PreservedSpecimen","Plantae",NA,"Sapindales","Rutaceae","Ravenia","pseudalterna","Ravenia pseudalterna","Ducke","Ducke A","Ducke A",NA,"1932","01","04","Southern America","Brazil","Amazonas",NA,"Circa Serra Cabary prope Sao Gabriel, Rio Negro super., civ. Amazonas.",NA,NA,NA,"In silvis humidis.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200111489 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0111489","NL-U0111489",NA,"isotype",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"9","2015-09-04 19:37:33-03","MNHN","RECOLNAT_MNHN_P","P06679628","PreservedSpecimen",NA,NA,NA,"Rutaceae","Ravenia","pseudalterna","Ravenia pseudalterna","Ducke",NA,"Ducke, A.",NA,"1932","1","4",NA,"Brasil","Amazonas","São Gabriel da Cachoeira","Rio Negro.","-67.0892028808594","-0.130278006196022","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p06679628' target='other'> <mi>dwc_moreinfo</mi></a>","P06679628","P06679628_01",NA,NA,"377621","auto",NA,NA,NA,NA,NA,NA
"10","2014-01-06 20:25:00-02","MO","MOBOT","2859219","PreservedSpecimen","Plantae",NA,NA,"Rutaceae","Ravenia","pseudalterna","Ravenia pseudalterna","Ducke","J. Kallunki","C.A. Cid Ferreira|J. Ramos","Cid Ferreira 1165","1980","6","28","South America","Brazil","Pará",NA,"Município de Oriximiná, rio mapuere, lado esquerdo. Mata de terra firme, solo argiloso úmido.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-08-31 09:09:53-03","INPA","INPA","2323","S","Plantae","Dicotyledon Com-Clade","Sapindales","Rutaceae","Ravenia","pseudalterna","Ravenia pseudalterna","Ducke",NA,"Rodrigues, WA","1010","1959","02",NA,"Southern America","Brasil","Amazonas",NA,"Ilha das Flores., Alto Rio Negro. Ilha das Flores. Q. 7-23.","-67.273889","0.035833",NA,NA,"INPA0002323",NA,NA,NA,NA,NA,NA,"-67.273889","0.035833",NA,NA,NA
"12","2020-08-31 09:09:53-03","INPA","INPA","7162","S","Plantae","Dicotyledon Com-Clade","Sapindales","Rutaceae","Ravenia","pseudalterna","Ravenia pseudalterna","Ducke","Albuquerque, BWP de","Rodrigues, WA","926","1959","02","17","Southern America","Brasil","Amazonas","São Gabriel da Cachoeira","Ilha das Flores., Rio Negro. Caatinga da Ilha das Flores.","-67.273889","0.035833",NA,NA,"INPA0007162",NA,"1975",NA,NA,NA,NA,"-67.273889","0.035833",NA,NA,NA
"13","2020-08-31 09:09:53-03","INPA","INPA","7329","S","Plantae","Dicotyledon Com-Clade","Sapindales","Rutaceae","Ravenia","pseudalterna","Ravenia pseudalterna","Ducke","Albuquerque, BWP de","Rodrigues, WA","1010","1959","02",NA,"Southern America","Brasil","Amazonas",NA,"Ilha das Flores., Alto Rio Negro. Ilha das Flores. Q. 7-23.",NA,NA,NA,NA,"INPA0007329",NA,"1975",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-08-31 09:09:53-03","INPA","INPA","94365","S","Plantae","Dicotyledon Com-Clade","Sapindales","Rutaceae","Ravenia","pseudalterna","Ravenia pseudalterna","Ducke","Albuquerque, BWP de","Ferreira, CAC","1165","1980","06","28","Southern America","Brasil","Pará","Oriximiná","Rio Trombetas, Rio Mapuera, lado esquerdo.","-58.088665","-0.491675",NA,NA,"INPA0094365",NA,"1981",NA,NA,NA,NA,"-58.088665","-0.491675",NA,NA,NA
