"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","class","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","777859","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Dimorphandra","exaltata","Dimorphandra exaltata","Schott","H. C. de Lima","H. C. de Lima","5718","2000","10","30","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Horto Florestal, início da estrada Dona Castorina, em frente ao n.","-43.2075","-22.9031","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=684102' target='other'> <mi>dwc_moreinfo</mi></a>","NY00777859","NY00777859_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","4355","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Dimorphandra","exaltata","Dimorphandra exaltata","Schott",NA,"H. W. Schott","s.n.",NA,NA,NA,"South America","Brazil",NA,NA,"Brasilia",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=684103' target='other'> <mi>dwc_moreinfo</mi></a>","NY00004355","NY00004355_01","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","470725","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Dimorphandra","exaltata","Dimorphandra exaltata","Schott","H. C. de Lima","H. C. de Lima","2623","1985","11","18","South America","Brazil","Rio de Janeiro",NA,"Horto Florestal, próximo a estrada Dona Castorina",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=684100' target='other'> <mi>dwc_moreinfo</mi></a>","NY00470725","NY00470725_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","470727","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Dimorphandra","exaltata","Dimorphandra exaltata","Schott","M. F. da Silva","E. P. Heringer","2459","1946","11","06","South America","Brazil","Minas Gerais",NA,"Sitio do Balbino, Municipio de Piau",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=684099' target='other'> <mi>dwc_moreinfo</mi></a>","NY00470727","NY00470727_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","470726","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Dimorphandra","exaltata","Dimorphandra exaltata","Schott","H. C. de Lima","H. C. de Lima","2623","1985","11","18","South America","Brazil","Rio de Janeiro",NA,"Horto Florestal, próximo a estrada Dona Castorina",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=684101' target='other'> <mi>dwc_moreinfo</mi></a>","NY00470726","NY00470726_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","470724","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Dimorphandra","exaltata","Dimorphandra exaltata","Schott","M. F. da Silva","P. Occhioni",NA,"1921","11","19","South America","Brazil","Rio de Janeiro",NA,"Horto Florestal",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=684098' target='other'> <mi>dwc_moreinfo</mi></a>","NY00470724","NY00470724_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-08 17:39:44-03","EAO","IAN","25257","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Caesalp.","Dimorphandra","exaltata","Dimorphandra exaltata","Schott",NA,"Allens","s.n.",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,"IAN025257","IAN025257_f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-02-22 11:44:32-03","IPA","IPA","24636","S","Plantae","Plantae",NA,"Leguminosae-Caes.","Dimorphandra","exaltata","Dimorphandra exaltata","Schott",NA,"Foli, D.A.","51","1978","11","13","Southern America","Brasil","Espírito Santo","Linhares","Reserva Florestal da CVRD","-40.0722007751465","-19.3910999298096",NA,"Árvore em floresta alta com aproximadamente 26m de altura. Flor branca e botão marrom.","IPA0024636",NA,NA,"48094","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-12-20 21:17:22-03","UFV","VIC","40541","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Dimorphandra","exaltata","Dimorphandra exaltata","Schott","Fernandes, J.M.","Simão, M.V.R.C.","340","2012","10","16",NA,"Brasil","Minas Gerais","Viçosa","Mata do Paraíso","-42.8819007873535","-20.7539005279541",NA,"Árvore, 14 m, botão floral ferrugíneo, fruto imaturo marrom enegrecido.","VIC040541","VIC040541 VIC040541_1",NA,"13937","auto","2013","06","13",NA,NA,NA,NA,NA,NA,NA
"10","2020-12-20 21:17:22-03","UFV","VIC","37852","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Dimorphandra","exaltata","Dimorphandra exaltata","Schott",NA,"Kuhlmann, J.G.","s.n.","1926",NA,NA,NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Horto Florestal","-43.2075004577637","-22.9027996063232",NA,"Arvoreta grande, flores amarelas, tronco e copa se assemelham bastante ao Barurubu.","VIC037852","VIC037852",NA,"57442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
