"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","continentOcean","country","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","year","month","day","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","imagecode","geoFlag","scientificNameAuthorship","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","fieldNumber","individualCount"
"1","2020-09-23 10:43:26-03","E","E","259312","PreservedSpecimen","Plantae","Scrophulariaceae","Buddleja","speciosissima","Buddleja speciosissima","isosyntype","Glaziou, M.A.","4926","E. Tropical South America","BR","R.J. Itatiaia.","herbarium specimen of unspecif","BGBASE:267680","<a href=http://data.rbge.org.uk/herb/E00259312 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00259312",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2017-05-17 10:20:00-03","NY","NYBG","02681732","PreservedSpecimen","Plantae","Scrophulariaceae","Buddleja","speciosissima","Buddleja speciosissima",NA,"P. Occhione",NA,"South America","Brazil","Alto do Itatiaia. Itatiaia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2942626' target='other'> <mi>dwc_moreinfo</mi></a>","NY02681732","Magnoliophyta","Lamiales","1927","04","01","Rio de Janeiro","Itatiaia","-44.5633010864258","-22.4960994720459","19648","NY02681732_01","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","441543","PreservedSpecimen","Plantae","Scrophulariaceae","Buddleja","speciosissima","Buddleja speciosissima",NA,"D. R. Hunt","6454","South America","Brazil","Itatiaia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=535782' target='other'> <mi>dwc_moreinfo</mi></a>","NY00441543","Magnoliophyta","Lamiales","1966","07","27","Rio de Janeiro","Itatiaia","-44.5631","-22.4961",NA,"NY00441543_01",NA,"Taub.","A. J. M. Leeuwenberg","2200","2200",NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","441541","PreservedSpecimen","Plantae","Scrophulariaceae","Buddleja","speciosissima","Buddleja speciosissima",NA,"M. Rolla","6712","South America","Brazil","Planalto de Itatiáia (mountain), 150 km west-northwest of Rio de Janeiro","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=535783' target='other'> <mi>dwc_moreinfo</mi></a>","NY00441541","Magnoliophyta","Lamiales","1965","11","05","Rio de Janeiro","Itatiaia","-44.5631","-22.4961",NA,"NY00441541_01",NA,"Taub.",NA,"2300","2300",NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","441538","PreservedSpecimen","Plantae","Scrophulariaceae","Buddleja","speciosissima","Buddleja speciosissima",NA,"Dionisio","148732","South America","Brazil","Itatiaia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=535781' target='other'> <mi>dwc_moreinfo</mi></a>","NY00441538","Magnoliophyta","Lamiales","1935","08","12","Rio de Janeiro","Itatiaia","-44.5631","-22.4961",NA,"NY00441538_01",NA,"Taub.","E. M. Norman",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","441540","PreservedSpecimen","Plantae","Scrophulariaceae","Buddleja","speciosissima","Buddleja speciosissima",NA,"G. Martinelli","10844","South America","Brazil","Parque Nacional de Itatiaia, estrada para Agulhas Negras","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=535784' target='other'> <mi>dwc_moreinfo</mi></a>","NY00441540","Magnoliophyta","Lamiales","1985","05","02","Minas Gerais","Itamonte","-44.65833","-22.35833",NA,"NY00441540_01",NA,"Taub.",NA,"2000","2450",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","441542","PreservedSpecimen","Plantae","Scrophulariaceae","Buddleja","speciosissima","Buddleja speciosissima",NA,"H. Veloso",NA,"South America","Brazil","Parque de Itatiaia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=535779' target='other'> <mi>dwc_moreinfo</mi></a>","NY00441542","Magnoliophyta","Lamiales","1961","01","04","Rio de Janeiro","Itatiaia","-44.5631","-22.4961",NA,"NY00441542_01",NA,"Taub.","A. J. M. Leeuwenberg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","441539","PreservedSpecimen","Plantae","Scrophulariaceae","Buddleja","speciosissima","Buddleja speciosissima",NA,"P. J. M. Maas","3211","South America","Brazil","Parque Nacional do Itatiaia, Abrigo Rebouças","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=535780' target='other'> <mi>dwc_moreinfo</mi></a>","NY00441539","Magnoliophyta","Lamiales","1977","10","11","Rio de Janeiro","Itatiaia","-44.678895","-22.385269",NA,"NY00441539_01",NA,"Taub.","A. J. M. Leeuwenberg","2350","2350",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","945303","PreservedSpecimen","Plantae","Scrophulariaceae","Buddleja","speciosissima","Buddleja speciosissima",NA,"K. Kubitzki","84-28","South America","Brazil","Serra da Mantiqueira, nahe Serra das Agulhas Negras.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1030395' target='other'> <mi>dwc_moreinfo</mi></a>","NY00945303","Magnoliophyta","Lamiales","1984","02","28",NA,NA,"-44.658333","-22.384444",NA,"NY00945303_01",NA,"Taub.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-06-29 11:32:36-03","UFRJ","RFA","42253","PreservedSpecimen","Plantae","Scrophulariaceae","Buddleja","speciosissima","Buddleja speciosissima",NA,"Leonardo Pacheco; L. Albuquerque; R. Martins","11",NA,"Brasil","Parque Nacional do Itatiaia, parte alta na trilha para as Prateleiras.",NA,NA,"Árvore com aproximadamente 3 metros com flor laranja.","RFA35832",NA,NA,"2017","12","06","Rio de Janeiro","Itatiaia","-44.701667","-22.373333",NA,NA,NA,"Taub.",NA,"2449","2449","44º42'6''W","22º22'24''S",NA,NA,NA,NA,NA,NA
