"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","recordNumber","coordinatePrecision","geoFlag","phylum","order","continentOcean","preparationType","class","relatedCatalogItem","relationshipType","fieldNumber","individualCount","typeStatus","previousCatalogNumber"
"11","2021-03-15 16:37:00-03","NY","NYBG","01096282","PreservedSpecimen","Plantae","Malpighiaceae","Bunchosia","fluminensis","Bunchosia fluminensis","Griseb.","M. C. H. Mamede",NA,NA,NA,"F. de Barros","1983","06","07","Brazil","São Paulo","Cananéia","Ilha do Cardoso, Ipanema, proximo Morro das Pedras.","-47.966514","-25.140513",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1236114' target='other'> <mi>dwc_moreinfo</mi></a>","NY01096282","NY01096282_01",NA,NA,"812",NA,NA,"Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","01096276","PreservedSpecimen","Plantae","Malpighiaceae","Bunchosia","fluminensis","Bunchosia fluminensis","Griseb.","M. C. H. Mamede",NA,NA,NA,"F. de Barros","1986","04","09","Brazil","São Paulo","Cananéia","Ilha do Cardoso. Proximidades da Praia do Ipanema, Morro do Tassuva.","-47.966514","-25.140513",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1236099' target='other'> <mi>dwc_moreinfo</mi></a>","NY01096276","NY01096276_01",NA,NA,"1260",NA,NA,"Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","1016310","PreservedSpecimen","Plantae","Malpighiaceae","Bunchosia","fluminensis","Bunchosia fluminensis","Griseb.",NA,NA,NA,NA,"T. S. Nunes","2004","01","24","Brazil","Bahia","Uruçuca","4.6 km de Serra Grand em direção a Itacaré.","-39.0536","-14.4306",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1145152' target='other'> <mi>dwc_moreinfo</mi></a>","NY01016310","NY01016310_01",NA,NA,"996",NA,NA,"Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","442350","PreservedSpecimen","Plantae","Malpighiaceae","Bunchosia","fluminensis","Bunchosia fluminensis","Griseb.","F. J. Niedenzu",NA,NA,NA,"P. K. H. Dusén","1912","04","27","Brazil","Paraná","Morretes","Praedium Marumby","-48.8342","-25.4769",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=458071' target='other'> <mi>dwc_moreinfo</mi></a>","NY00442350","NY00442350_01 NY00442350_02",NA,NA,"14095",NA,NA,"Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","01096273","PreservedSpecimen","Plantae","Malpighiaceae","Bunchosia","fluminensis","Bunchosia fluminensis","Griseb.","C. Martínez; M. C. H. Mamede",NA,NA,NA,"S. Romaniuc Neto","1983","09","15","Brazil","São Paulo","Cananéia","Reserva Biológica, Ilha do Cardoso, Rio Canjoca, próximo a Ilha do Casca.","-47.9197","-25.0103",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1235955' target='other'> <mi>dwc_moreinfo</mi></a>","NY01096273","NY01096273_01",NA,NA,"104",NA,NA,"Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","472451","PreservedSpecimen","Plantae","Malpighiaceae","Bunchosia","fluminensis","Bunchosia fluminensis","Griseb.",NA,NA,NA,NA,"E. P. Killip","1929","05","07","Peru","Ayacucho",NA,"Aina, between Huanta and Río Apurimac","-73.860914","-12.664916",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=458073' target='other'> <mi>dwc_moreinfo</mi></a>","NY00472451",NA,"750","1000","22811",NA,NA,"Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","1183867","PreservedSpecimen","Plantae","Malpighiaceae","Bunchosia","maritima","Bunchosia maritima","(Vell.) J.F.Macbr.",NA,NA,NA,NA,"S. de V. A. Pessôa","2006","12","12","Brazil","Rio de Janeiro","Casimiro de Abreu","Fazenda Carioca.","-42.0967","-22.5208",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1457602' target='other'> <mi>dwc_moreinfo</mi></a>","NY01183867","NY01183867_01",NA,NA,"1163",NA,NA,"Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","1198386","PreservedSpecimen","Plantae","Malpighiaceae","Bunchosia","maritima","Bunchosia maritima","(Vell.) J.F.Macbr.","W. R. Anderson",NA,NA,NA,"W. W. Thomas","2004","01","30","Brazil","Minas Gerais","Bandeira","Fazenda Boi Rajado, 5.9 km E of Macarani-Bandeiras road on farm road ca. 12 km N of Bandeiras (at Fazenda Canada)","-40.51791667","-15.8064167",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=796787' target='other'> <mi>dwc_moreinfo</mi></a>","NY01198386","NY01198386_01","830","850","13674",NA,NA,"Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","02360886","PreservedSpecimen","Plantae","Malpighiaceae","Bunchosia","maritima","Bunchosia maritima","(Vell.) J.F.Macbr.",NA,NA,NA,NA,"Martii Herbar. Florae Brasil.","1841",NA,NA,"Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2543784' target='other'> <mi>dwc_moreinfo</mi></a>","NY02360886","NY02360886_01",NA,NA,"1178",NA,NA,"Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","01839962","PreservedSpecimen","Plantae","Malpighiaceae","Bunchosia","maritima","Bunchosia maritima","(Vell.) J.F.Macbr.","W. R. Anderson",NA,NA,NA,"J. R. Pirani","1988","02","23","Brazil","Espírito Santo",NA,"Guarapari: Rodovia do Sol, estrada que liga a BR-101 à Praia Setibana ES-060 a 6 Km da BR-101.","-40.45","-20.55",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1263899' target='other'> <mi>dwc_moreinfo</mi></a>","NY01839962","NY01839962_01",NA,NA,"2439",NA,NA,"Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
