"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount","typeStatus","sex"
"1","2021-04-05 14:24:50-03","UNESC","CRI","9075","PreservedSpecimen","Plantae","Araceae","Heteropsis","oblongifolia","Heteropsis oblongifolia","Kunth","M. Nadruz","2010","07","27","H. F. Uller","178","2009","11","04","Brasil","Santa Catarina","Indaial","Motódromo.","-49.245","-26.925833","49º14'42''W","26º55'33''S","70","70","Floresta Ombrófila Densa","CRI000598","CRI000598",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","865994","PreservedSpecimen","Plantae","Araceae","Heteropsis","oblongifolia","Heteropsis oblongifolia","Kunth","M. de L. da C. Soares",NA,NA,NA,"K. A. Kainer","42","1989","09","13","Brazil","Acre","Xapuri","Ser. Cachoeira, Col. Sap Luis. Sucam 37.","-68.5044","-10.6517",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=966416' target='other'> <mi>dwc_moreinfo</mi></a>","NY00865994","NY00865994_01","Magnoliophyta","Alismatales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","865995","PreservedSpecimen","Plantae","Araceae","Heteropsis","oblongifolia","Heteropsis oblongifolia","Kunth","T. B. Croat",NA,NA,NA,"S. R. Lowrie","670","1980","11","01","Brazil","Acre","Brasiléia","8 km from Brasiléia on Brasiléia-Assis Brasil road","-68.8","-10.95",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=362890' target='other'> <mi>dwc_moreinfo</mi></a>","NY00865995","NY00865995_01 NY00865995_02","Magnoliophyta","Alismatales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","497986","PreservedSpecimen","Plantae","Araceae","Heteropsis","oblongifolia","Heteropsis oblongifolia","Kunth","M. de L. da C. Soares",NA,NA,NA,"G. T. Prance","10762","1971","02","28","Brazil","Roraima",NA,"Vicinity of Uaicá airstrip, Rio Uraricoeira","-63.18","3.55",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=541265' target='other'> <mi>dwc_moreinfo</mi></a>","NY00497986","NY00497986_01 NY00497986_02","Magnoliophyta","Alismatales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01112518","PreservedSpecimen","Plantae","Araceae","Heteropsis","oblongifolia","Heteropsis oblongifolia","Kunth","T. B. Croat",NA,NA,NA,"A. M. Amorim","4751","2005","02","02","Brazil","Bahia",NA,"Camacã. Fazenda Serra Bonita, RPPN Serra Bonita, 9,7 km W de Camacã na estrada para Jacarecí, daí 6 km SW na estrada para a RPPN e Torre da Embratel.","-39.5653","-15.3917",NA,NA,"835","835","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1211423' target='other'> <mi>dwc_moreinfo</mi></a>","NY01112518","NY01112518_01","Magnoliophyta","Alismatales","South America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","497982","PreservedSpecimen","Plantae","Araceae","Heteropsis","oblongifolia","Heteropsis oblongifolia","Kunth","T. B. Croat",NA,NA,NA,"C. Grández","5183","1993","01","17","Peru","Loreto","Maynas","Distrito Iquitos. Puerto Almendras, UNAP. Parcela 20 X 500. Sub-parcela 8","-73.42","-3.8",NA,NA,"122","122","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=362887' target='other'> <mi>dwc_moreinfo</mi></a>","NY00497982",NA,"Magnoliophyta","Alismatales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","865997","PreservedSpecimen","Plantae","Araceae","Heteropsis","oblongifolia","Heteropsis oblongifolia","Kunth","T. B. Croat",NA,NA,NA,"S. R. Lowrie","670","1980","11","01","Brazil","Acre","Brasiléia","8 km from Brasiléia on Brasiléia-Assis Brasil road","-68.8","-10.95",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=362903' target='other'> <mi>dwc_moreinfo</mi></a>","NY00865997","NY00865997_01","Magnoliophyta","Alismatales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-09-27 16:11:00-03","NY","NYBG","191814","PreservedSpecimen","Plantae","Araceae","Heteropsis","oblongifolia","Heteropsis oblongifolia",NA,"T. B. Croat",NA,NA,NA,"N. J. Mashu","11","1985","08","05","Ecuador","Morona-Santiago",NA,"El Centro Shuar Chiar Entsa, cerca Taisha",NA,NA,NA,NA,"300","300","Shuar Voucher <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=362892' target='other'> <mi>dwc_moreinfo</mi></a>","NY00191814",NA,"Magnoliophyta","Alismatales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1280655","PreservedSpecimen","Plantae","Araceae","Heteropsis","oblongifolia","Heteropsis oblongifolia","Kunth","M. de L. da C. Soares",NA,NA,NA,"C. Farney","521","1984","10","19","Brazil","Rio de Janeiro","Magé","Area do C.P.R.J., Paraíso, Caminho da Canaleta, Próximo a Represa.","-43.0406","-22.6531",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1616684' target='other'> <mi>dwc_moreinfo</mi></a>","NY01280655",NA,"Magnoliophyta","Alismatales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-09-27 02:20:00-03","NY","NYBG","191868","PreservedSpecimen","Plantae","Araceae","Heteropsis","oblongifolia","Heteropsis oblongifolia",NA,"T. B. Croat",NA,NA,NA,"P. W. Kasent","59","1985","09","26","Ecuador","Morona-Santiago",NA,"Los alrededores del Centro Pimpints",NA,NA,NA,NA,"800","800","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=362893' target='other'> <mi>dwc_moreinfo</mi></a>","NY00191868",NA,"Magnoliophyta","Alismatales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
