"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","county","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","class","dayIdentified","fieldNumber","individualCount","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","405348","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Mitranthes","pubescens","Mitranthes pubescens","Burret","isotype","F. C. Hoehne","32836","1935","03","30","South America","Brazil","São Paulo","Nativa no Jardim Botanico","-46.618358","-23.646109","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=108193' target='other'> <mi>dwc_moreinfo</mi></a>","NY00405348","NY00405348_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","617085","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Siphoneugena","widgreniana","Siphoneugena widgreniana","O.Berg",NA,"A. Uhlmann","74","1995","05","28","South America","Brazil","Paraná","Parque Estadual do Cerrado, Jaguariaíva","-49.68","-24.23","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=558122' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617085","NY00617085_01","A. Uhlmann","Jaguariaíva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01096270","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Siphoneugena","widgreniana","Siphoneugena widgreniana","O.Berg",NA,"G. F. Arbocz","1478","1995","05","30","South America","Brazil","São Paulo",NA,"-48.3697","-23.08","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1235949' target='other'> <mi>dwc_moreinfo</mi></a>","NY01096270","NY01096270_01","M. L. Kawasaki","Pardinho",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","617084","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Siphoneugena","widgreniana","Siphoneugena widgreniana","O.Berg",NA,"G. G. Hatschbach","67070","1997","10","15","South America","Brazil","Paraná","Rod BR-151, 1 km S da ponte do Rio Lambari","-49.9483","-24.5261","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=558123' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617084","NY00617084_01","G. G. Hatschbach","Piraí do Sul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-11-13 09:20:27-03","UFRJ","RFA","26805","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Siphoneugena","crassifolia","Siphoneugena crassifolia","(DC.) Proença & Sobral",NA,"F.B. Pereira","27/72","2001","02","10",NA,"Brasil","Minas Gerais","Fazenda Campo Redondo","-44.695278","-22.271111",NA,"Árvore 6 m de altura, 23 cm de DAP, fruto verde, comum no local","RFA39119",NA,"J.E.Q. Faria","Itamonte","44º41'43''W","22º16'16''S","1686","1686",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-11-13 09:20:27-03","UFRJ","RFA","19738","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Siphoneugena","widgreniana","Siphoneugena widgreniana","O.Berg",NA,"G.G. Hatschbach","39936","1977","05","26",NA,"Brasil","Paraná","Rio Diamante","-49.7057991027832","-24.2511005401611",NA,"Pequena árvore 5 m de altura; flor alva","RFA46920",NA,"G.G. Hatschbach","Jaguariaíva",NA,NA,NA,NA,"44368","auto",NA,NA,NA,NA,NA,NA,NA
"7","2019-10-09 11:21:12-03","UFBA","ALCB","07851","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Eugenia","crassifolia","Eugenia crassifolia","Miq.",NA,"Grupo Pedra do Cavalo","1109","1981","02",NA,"Southern America","Brasil","Bahia","Vale dos Rios PAraguaçu e Jacuípe, trecho superior do rio Jacuípe.","-39.083333","-12.533333",NA,"ca. 2 m alt. Folhas membranáceas, discolores. Flores com cálice verde, pétalas acastanhadas.","ALCB057836",NA,"Coutinho, K","Cachoeira","-39.083333","-12.533333","40","40",NA,NA,"2013","11",NA,NA,NA,NA,NA
"8","2019-10-09 11:21:46-03","UFBA","ALCB","125853","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Siphoneugena","crassifolia","Siphoneugena crassifolia","(O.Berg) Proença & Sobral",NA,"Mazine, FF; Capelo, FA; Lucas, EJ; Silva, JM","960","2003","11","01","Southern America","Brasil","Paraná","Estrada para Cerro Azul.","-49.261100769043","-24.823600769043",NA,"ca. 8m alt., frutos vermelhos arroxeados.; Fazenda","ALCB030003",NA,"Stadnik, A","Cerro Azul",NA,NA,NA,NA,"32006","auto","2016","07",NA,NA,NA,NA,NA
"9","2019-10-09 11:21:46-03","UFBA","ALCB","043316","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Siphoneugena","widgreniana","Siphoneugena widgreniana","O.Berg",NA,"Hatschbach, G; Barbosa, E; Deodato, F","67070","1997","10","15","Southern America","Brasil","Paraná","Rod. BR-15, 1km S da Ponte do Rio Lambari","-49.948600769043","-24.5261001586914",NA,"Ca. 3 m de altura. Fruto maduro nigrecescente.; Campo limpo. Matinha à beira dos peraus.","ALCB060989",NA,"Hatschbach, G","Piraí do Sul",NA,NA,NA,NA,"37171","auto","1997",NA,NA,NA,NA,NA,NA
"10","2019-10-09 11:21:46-03","UFBA","ALCB",NA,"PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Siphoneugena","widgreniana","Siphoneugena widgreniana","O.Berg",NA,"Hatschbach, G; Barbosa, E; Deodato, F","67070","1997","10","15","Southern America","Brasil","Paraná","Rod. BR-15, 1km S da Ponte do Rio Lambari","-49.948600769043","-24.5261001586914",NA,"Ca. 3 m de altura. Fruto maduro nigrecescente.; Campo limpo. Matinha à beira dos peraus.",NA,NA,"Hatschbach, G","Piraí do Sul",NA,NA,NA,NA,"37171","auto","1997",NA,NA,NA,NA,NA,NA
