"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","typeStatus","class","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","relatedCatalogItem","dayIdentified","individualCount"
"1","2020-09-23 10:43:19-03","E","E","305622","PreservedSpecimen","Plantae","Sapotaceae","Micropholis","emarginata","Micropholis emarginata","Harley, R.M.; Sakuragui, C.M.; Sano, P.T.; Atkins, S.; Souza, V.C.","14189","1994","02","17","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:313979","<a href=http://data.rbge.org.uk/herb/E00305622 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00305622",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:43:19-03","E","E","500099","PreservedSpecimen","Plantae","Sapotaceae","Micropholis","emarginata","Micropholis emarginata","Harley, R.M.",NA,"1977","02","16","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:516877","<a href=http://data.rbge.org.uk/herb/E00500099 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00500099",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","375270","PreservedSpecimen","Plantae","Sapotaceae","Micropholis","emarginata","Micropholis emarginata","S. A. Mori","13361","1980","03","02","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=525143' target='other'> <mi>dwc_moreinfo</mi></a>","NY00375270","Magnoliophyta","Ericales","T.D.Penn.","T. D. Pennington","Bahia","Lençóis","Arredores de Lençois, caminho para Barro Branco","-41.3897","-12.5633","400","400","NY00375270_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","375271","PreservedSpecimen","Plantae","Sapotaceae","Micropholis","emarginata","Micropholis emarginata","S. A. Mori","14174","1981","05","28","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=525147' target='other'> <mi>dwc_moreinfo</mi></a>","NY00375271","Magnoliophyta","Ericales","T.D.Penn.","T. D. Pennington","Bahia","Entre Rios","Road W of Subauma, 2-5 km W of Subauma","-38.08","-11.94",NA,NA,"NY00375271_01 NY00375271_02","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","685272","PreservedSpecimen","Plantae","Sapotaceae","Micropholis","emarginata","Micropholis emarginata","M. Groppo, Jr.","754","2001","05","17","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=888203' target='other'> <mi>dwc_moreinfo</mi></a>","NY00685272","Magnoliophyta","Ericales","T.D.Penn.","J. R. Pirani","Bahia","Lençóis","Ca. 5.5 km após entrada da cidade.","-41.4094444","-12.4652778","730","730","NY00685272_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","375265","PreservedSpecimen","Plantae","Sapotaceae","Micropholis","emarginata","Micropholis emarginata","G. G. Hatschbach","47499","1984","01","22","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=525140' target='other'> <mi>dwc_moreinfo</mi></a>","NY00375265","Magnoliophyta","Ericales","T.D.Penn.","T. D. Pennington","Bahia","Mucugê","Corrego Moreira","-41.3706","-13.0056",NA,NA,"NY00375265_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","375268","PreservedSpecimen","Plantae","Sapotaceae","Micropholis","emarginata","Micropholis emarginata","R. Callejas Posada","1759","1983","11","19","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=525141' target='other'> <mi>dwc_moreinfo</mi></a>","NY00375268","Magnoliophyta","Ericales","T.D.Penn.","T. D. Pennington","Bahia","Una","Estrada Una/Ilhéus","-38.9991769","-15.0484657",NA,NA,"NY00375268_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1181383","PreservedSpecimen","Plantae","Sapotaceae","Micropholis","emarginata","Micropholis emarginata","E. de Melo","PCD32","1994","07","05","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1369123' target='other'> <mi>dwc_moreinfo</mi></a>","NY01181383","Magnoliophyta","Ericales","T.D.Penn.","T. D. Pennington","Bahia","Lençóis","Serra da CHapadinha. Próximo ao riacho Mucugezinho.","-41.4542","-12.4669","800","800","NY01181383_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","375267","PreservedSpecimen","Plantae","Sapotaceae","Micropholis","emarginata","Micropholis emarginata","W. W. Thomas","9736","1993","02","03","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=525146' target='other'> <mi>dwc_moreinfo</mi></a>","NY00375267","Magnoliophyta","Ericales","T.D.Penn.","T. D. Pennington","Bahia","Ilhéus","10 km south of Ilhéus airport on road to Olivença, then 3 km west","-39.05","-14.98",NA,NA,"NY00375267_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1181362","PreservedSpecimen","Plantae","Sapotaceae","Micropholis","emarginata","Micropholis emarginata","A. M. V. de Carvalho","PCD1098","1994","10","27","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1369035' target='other'> <mi>dwc_moreinfo</mi></a>","NY01181362","Magnoliophyta","Ericales","T.D.Penn.","T. D. Pennington","Bahia","Lençóis","Serra da Chapadinha. Chapadinha.","-41.4403","-12.4597","910","910","NY01181362_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","1280756","PreservedSpecimen","Plantae","Sapotaceae","Micropholis","emarginata","Micropholis emarginata","R. M. Harley","18775A","1977","02","16","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1620316' target='other'> <mi>dwc_moreinfo</mi></a>","NY01280756","Magnoliophyta","Ericales","T.D.Penn.",NA,"Bahia","Andaraí","22 km S of Andaraí on road to Mucugé","-41.33","-12.95","1000","1000","NY01280756_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2016-09-29 14:33:00-03","NY","NYBG","375272","PreservedSpecimen","Plantae","Sapotaceae","Micropholis","emarginata","Micropholis emarginata","B. Hoffmann","1095","1992","02","29","South America","Guyana","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=525145' target='other'> <mi>dwc_moreinfo</mi></a>","NY00375272","Magnoliophyta","Ericales",NA,"T. D. Pennington",NA,NA,"Essequibo. Region: U. Takutu-U. S Pakaraima Mts, Tipuru R, 4 km upstream from Ireng R, trail to Tipuru village","-59.63","4.18","245","245",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
