"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","class","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","dayIdentified","fieldNumber","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","493602","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Gomphrena","duriuscula","Gomphrena duriuscula","Moq.","T. M. Pedersen","G. G. Hatschbach","42100","1979","03","22","South America","Brazil","Bahia","Barreiras","Rod. BR-020; 10 km N de Barreiras","-44.99","-12.15","500","500","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=431995' target='other'> <mi>dwc_moreinfo</mi></a>","NY00493602","NY00493602_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00838061","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Gomphrena","duriuscula","Gomphrena duriuscula","Moq.","J. C. de Siqueira","C. E. F. von Glocker","14","1842",NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=931538' target='other'> <mi>dwc_moreinfo</mi></a>","NY00838061","NY00838061_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","324500","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Gomphrena","duriuscula","Gomphrena duriuscula","Moq.",NA,"J. S. Blanchet","1909",NA,NA,NA,"South America","Brazil",NA,NA,"Brasilia",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=431998' target='other'> <mi>dwc_moreinfo</mi></a>","NY00324500","NY00324500_01","type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","493604","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Gomphrena","duriuscula","Gomphrena duriuscula","Moq.","T. M. Pedersen","M. M. Arbo","7419","1997","01","17","South America","Brazil","Bahia","Jacobina","Serra do Tombador, 19 Km al NW de Jacobina, BR-324","-40.67","-11.08","800","800","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=431997' target='other'> <mi>dwc_moreinfo</mi></a>","NY00493604","NY00493604_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","493603","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Gomphrena","duriuscula","Gomphrena duriuscula","Moq.","T. M. Pedersen","L. A. Mattos Silva","3013","1994","06","15","South America","Brazil","Sergipe","Estância","Rodovia Estância/Abais, com entrada no KM 11 da Rod. BR. 101 (Trecho Estância/Aracajú); 20 km ao Leste do entroncamento","-37.2772","-11.2583",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=431996' target='other'> <mi>dwc_moreinfo</mi></a>","NY00493603","NY00493603_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-11-19 15:43:02-03","UNEB","HUNEB","13917","PreservedSpecimen","Plantae","Angiospermae","Florideophycidae","Amaranthaceae","Gomphrena","duriuscula","Gomphrena duriuscula","Moq.",NA,"Anjos, A.V.S.O","79","2012","09","13",NA,"Brasil","Bahia","Entre Rios","Maçarandupió","-37.838056","-12.314722",NA,NA,NA,NA,"HUNEB0013917",NA,NA,"Dicotyledoneae","37W50'17''","12S18'53''",NA,NA,NA,NA,NA,NA,NA,NA
"7","2013-07-03 10:23:58-03","EBDA","BAH","37","S","Plantae",NA,NA,"Amaranthaceae","Gomphrena","duriuscula","Gomphrena duriuscula","Moq.","L.R.Senna","Torrend",NA,NA,NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2008","11",NA,NA,NA,NA,NA,NA
"8","2013-07-03 10:23:58-03","EBDA","BAH","6939","S","Plantae",NA,NA,"Amaranthaceae","Gomphrena","duriuscula","Gomphrena duriuscula","Moq.","L.R.Senna","Alunos 1o. Semestre 1985",NA,"1985","06","11",NA,"Brasil","Bahia","Camaçarí","Condomínio Busca Vida.","-38.3242","-12.6975",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2008","11","37124","auto",NA,NA,NA,NA
"9","2019-10-09 11:08:15-03","UFBA","ALCB","29436","PreservedSpecimen","Plantae","Dicotyledon",NA,"Amaranthaceae","Gomphrena","duriuscula","Gomphrena duriuscula","Moq.","Senna, LR","Souza, M; Guedes, ML; Alunos de Botânica III","02","1997","06","01","Southern America","Brasil","Bahia","Camaçari","Jauá","-39.316667","-12.683333",NA,NA,NA,"procumbente.Folhas avermelhadas, tomentos esbranquiçados. Flores com tépalas paleáceas, creme. Frequente.; de até 3 m, substrato arenoso. com espécies arbustivas e arbóreas.",NA,NA,NA,NA,"-39.316667","-12.683333","2008","11",NA,NA,NA,NA,NA,NA
"10","2019-10-09 11:08:15-03","UFBA","ALCB","29735","PreservedSpecimen","Plantae","Dicotyledon",NA,"Amaranthaceae","Gomphrena","duriuscula","Gomphrena duriuscula","Moq.","Senna, LR","Guedes, ML; Alunos de Botânica III","4885","1997","06","01","Southern America","Brasil","Bahia","Camaçari","Jauá","-39.316667","-12.683333",NA,NA,NA,"prostrado, ramos vináceos, tomentosos. Folhas vináceas, tomentosas. Flores com tépalas paleáceas, creme. Ocasional.",NA,NA,NA,NA,"-39.316667","-12.683333","2008","11",NA,NA,NA,NA,NA,NA
