"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","day","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","infraspecificEpithet","individualCount","typeStatus","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","459312","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Piptadenia","paniculata","Piptadenia paniculata","Benth.","L. Riedel","2118","1823","02","South America","Brazil","Rio de Janeiro","Magé","Pr. Mandioca","-43.184668","-22.564777","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=447580' target='other'> <mi>dwc_moreinfo</mi></a>","NY00459312","NY00459312_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","459323","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Piptadenia","paniculata","Piptadenia paniculata","Benth.","M. Kuhlmann","2745","1951","03","South America","Brazil","São Paulo","Santa Isabel","Igaratá","-46.22","-23.31","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=447569' target='other'> <mi>dwc_moreinfo</mi></a>","NY00459323","NY00459323_01","G. P. Lewis","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","459320","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Piptadenia","paniculata","Piptadenia paniculata","Benth.","G. G. Hatschbach","20979","1969","02","South America","Brazil","Paraná","Morretes","Estr. Graciosa, Vista Cavalcante","-48.8342","-25.4769","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=447570' target='other'> <mi>dwc_moreinfo</mi></a>","NY00459320","NY00459320_01","J. Y. Tamashiro","03","300","400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1018125","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Piptadenia","paniculata","Piptadenia paniculata","Benth.","H. C. de Lima","6399","2006","01","South America","Brazil","Rio de Janeiro","Nova Iguaçú","REBIO Tinguá, Barrelão, estrada da Reunião, ca. 150 m da Estação de Tratamento da CEDAE.","-43.4","-22.57","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1248753' target='other'> <mi>dwc_moreinfo</mi></a>","NY01018125","NY01018125_01","H. C. de Lima","23","200","200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1018226","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Piptadenia","paniculata","Piptadenia paniculata","Benth.","D. S. Farias","110","1994","01","South America","Brazil","Rio de Janeiro","Silva Jardim","Reserva Biológica Poço das Antas. Estr. p/ Juturnaiba, próx. portão da reserva. Área FP 003.","-42.28333","-22.525","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1251747' target='other'> <mi>dwc_moreinfo</mi></a>","NY01018226","NY01018226_01",NA,"23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","459313","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Piptadenia","paniculata","Piptadenia paniculata","Benth.","A. F. M. Glaziou","5828",NA,NA,"South America","Brazil",NA,NA,"Brasilia",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=447581' target='other'> <mi>dwc_moreinfo</mi></a>","NY00459313","NY00459313_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","02642220","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Piptadenia","paniculata","Piptadenia paniculata","Benth.","H. S. Irwin","32028","1971","03","South America","Brazil","Goiás","Água Fria de Goiás","Serra Geral do Paraná, ca. 10 km S.of São João de Aliança","-47.5333","-14.79038","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2964323' target='other'> <mi>dwc_moreinfo</mi></a>","NY02642220","NY02642220_01",NA,"17","950","950",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1184241","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Piptadenia","paniculata","Piptadenia paniculata","Benth.","R. D. Ribeiro","1467","2010","04","South America","Brazil","Rio de Janeiro","Rio das Ostras","Mar do Norte, Balneário Morada das Garças.","-41.945","-22.5269","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1467022' target='other'> <mi>dwc_moreinfo</mi></a>","NY01184241","NY01184241_01",NA,"27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","459309","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Piptadenia","paniculata","Piptadenia paniculata","Benth.","R. P. Belém","3251","1967","02","South America","Brazil","Bahia","Belmonte",NA,"-38.88","-15.86","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=447564' target='other'> <mi>dwc_moreinfo</mi></a>","NY00459309","NY00459309_01","R. C. Barneby","01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","459321","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Piptadenia","paniculata","Piptadenia paniculata","Benth.","G. G. Hatschbach","18251","1968","01","South America","Brazil","Paraná","Guaratuba","Serra de Araraquara","-48.5744","-25.8831","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=447575' target='other'> <mi>dwc_moreinfo</mi></a>","NY00459321","NY00459321_01","A. E. Burkart","04","100","100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
