"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","infraspecificEpithet","scientificNameAuthorship","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","typeStatus","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2020-09-23 10:40:34-03","E","E","181065","PreservedSpecimen","Plantae","Leguminosae","Copaifera","langsdorfii","Copaifera langsdorfii","Argent, G.; Ramos, J.; Richards, P.W. & Souza, R.","6339","1967","09","11","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:186877","<a href=http://data.rbge.org.uk/herb/E00181065 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00181065",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:40:34-03","E","E","181072","PreservedSpecimen","Plantae","Leguminosae","Copaifera","langsdorfii","Copaifera langsdorfii","Dusen, P.","9614","1910","04","11","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:186869","<a href=http://data.rbge.org.uk/herb/E00181072 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00181072",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:40:34-03","E","E","181071","PreservedSpecimen","Plantae","Leguminosae","Copaifera","langsdorfii","Copaifera langsdorfii","Walter, B.M.T. & de Oliveira, N.R.","2288","1994","11","18","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:186870","<a href=http://data.rbge.org.uk/herb/E00181071 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00181071",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:40:34-03","E","E","202122","PreservedSpecimen","Plantae","Leguminosae","Copaifera","langsdorfii","Copaifera langsdorfii","Giulietti, A.M., Sakuragui, C.M., Harley, R.M., Atkins, S. & Souza, V.C.","5091","1994","01","15","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:209776","<a href=http://data.rbge.org.uk/herb/E00202122 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00202122",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:40:34-03","E","E","181066","PreservedSpecimen","Plantae","Leguminosae","Copaifera","langsdorfii","Copaifera langsdorfii","Sellow, F.",NA,NA,NA,NA,"E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:186876","<a href=http://data.rbge.org.uk/herb/E00181066 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00181066",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:40:34-03","E","E","181064","PreservedSpecimen","Plantae","Leguminosae","Copaifera","langsdorfii","Copaifera langsdorfii","Ratter, J.A. & Ramos, J.","345","1967","08","14","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:186879","<a href=http://data.rbge.org.uk/herb/E00181064 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00181064",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-09-23 10:40:34-03","E","E","181073","PreservedSpecimen","Plantae","Leguminosae","Copaifera","langsdorfii","Copaifera langsdorfii","Walter, B.M.T.","2316","1994","12","30","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:186868","<a href=http://data.rbge.org.uk/herb/E00181073 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00181073",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-09-23 10:40:34-03","E","E","181069","PreservedSpecimen","Plantae","Leguminosae","Copaifera","langsdorfii","Copaifera langsdorfii","Gavilanes, M.L.",NA,"1989","10","25","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:186873","<a href=http://data.rbge.org.uk/herb/E00181069 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00181069",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-09-23 10:40:34-03","E","E","181067","PreservedSpecimen","Plantae","Leguminosae","Copaifera","langsdorfii","Copaifera langsdorfii","Glaziou, M.A.","10679",NA,NA,NA,"E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:186875","<a href=http://data.rbge.org.uk/herb/E00181067 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00181067",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-09-23 10:40:34-03","E","E","181070","PreservedSpecimen","Plantae","Leguminosae","Copaifera","langsdorfii","Copaifera langsdorfii","Ratter, J.A.; de Castro, R.A. & Ramos, J.","392","1967","08","19","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:186871","<a href=http://data.rbge.org.uk/herb/E00181070 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00181070",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-09-23 10:40:34-03","E","E","181068","PreservedSpecimen","Plantae","Leguminosae","Copaifera","langsdorfii","Copaifera langsdorfii","Torres de Assumcao, C.","7539","1979","05","15","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:186874","<a href=http://data.rbge.org.uk/herb/E00181068 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00181068",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","470838","PreservedSpecimen","Plantae","Fabaceae","Copaifera","langsdorffii","Copaifera langsdorffii langsdorffii","R. Reitz","17862","1965","12","17","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=769959' target='other'> <mi>dwc_moreinfo</mi></a>","NY00470838","Magnoliophyta","Fabales","langsdorffii","Desf.","J. Silva Costa","Paraná","Carambeí","Rio S. Joao, Castro","-50.152803","-24.908517","950","950","NY00470838_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
