"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","preparationType","occurrenceRemarks","barcode","locality","day","county","minimumElevationInMeters","maximumElevationInMeters","decimalLongitude","decimalLatitude","imagecode","class","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","relatedCatalogItem","coordinatePrecision","geoFlag","fieldNumber","typeStatus","individualCount","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","487247","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Alternanthera","flavescens","Alternanthera flavescens","Kunth","J. A. Mears","E. Hassler","9135","1905","03","South America","Paraguay","Caaguazú","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=185749' target='other'> <mi>dwc_moreinfo</mi></a>","NY00487247",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","3362992","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Alternanthera","flavescens","Alternanthera flavescens","Kunth",NA,"A. C. V. Schott","1","1857","11","South America","Colombia",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3682455' target='other'> <mi>dwc_moreinfo</mi></a>","NY03362992","La Popa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","487246","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Alternanthera","flavescens","Alternanthera flavescens","Kunth","J. A. Mears","C. M. Belshaw","3310","1937","08","South America","Peru","San Martín","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=185750' target='other'> <mi>dwc_moreinfo</mi></a>","NY00487246","Near Tarapoto on trail to Juan Guerra where it crosses Río Shilcayo","25","San Martín","304.8","304.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","487245","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Alternanthera","flavescens","Alternanthera flavescens","Kunth",NA,"R. M. Harley","22198","1980","05","South America","Brazil","Bahia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=185751' target='other'> <mi>dwc_moreinfo</mi></a>","NY00487245","Coastal Zone. Ca. 11 km. North from turning to Maraú along the road to Campinho","17",NA,NA,NA,"-38.92","-14.02","NY00487245_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 08:54:06-03","NBC","NL-BOTANY","U.1052818","PreservedSpecimen","Plantae",NA,"Caryophyllales","Amaranthaceae","Alternanthera","flavescens","Alternanthera flavescens","Kunth",NA,"Harley RM; et al.",NA,"1980","05","Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1052818 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1052818","Estado da Bahia. Coastal Zone. Ca. 11 km North from turning to Maraú along the road ro Campinho.","17",NA,NA,NA,"-38.916667","-14.016667","NL-U1052818","Magnoliopsidae","-38.916667","-14.016667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 08:54:06-03","NBC","NL-BOTANY","U.1052819","PreservedSpecimen","Plantae",NA,"Caryophyllales","Amaranthaceae","Alternanthera","flavescens","Alternanthera flavescens","Kunth","Proosdij ASJ van","Nee MH",NA,"1990","09","Southern America","Bolivia","Santa Cruz",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1052819 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1052819",NA,"23",NA,NA,NA,"-63.666667","-17.633333","NL-U1052819","Magnoliopsidae","-63.666667","-17.633333","2003","01","01","U 0064438",NA,NA,NA,NA,NA,NA
"7","2020-11-04 10:59:00-03","ESALQ","ESA","86203","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Amaranthaceae","Alternanthera","flavescens","Alternanthera flavescens","H.B.K.","Fernández, A.","Fernández, A.","11855.0","1997","10",NA,"Venezuela","Miranda",NA,NA,"ESA086203",NA,"01","Brión",NA,NA,NA,NA,"ESA086203",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-12-20 21:15:16-03","UFV","VIC","6182","PreservedSpecimen","Plantae",NA,NA,"Amaranthaceae","Alternanthera","flavescens","Alternanthera flavescens","HBK","Coons, M.P.","Coons, M.P.; et al.","1259","1977","01",NA,"Brasil","Minas Gerais",NA,"Meio prostrada. Espigas branco-esverdeado.","VIC006182","Fazenda da Pedra Branca, No campo sujo.","30","Entre Rios",NA,NA,NA,NA,"VIC006182",NA,NA,NA,"1980",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-12-20 21:15:16-03","UFV","VIC","6410","PreservedSpecimen","Plantae",NA,NA,"Amaranthaceae","Alternanthera","flavescens","Alternanthera flavescens","HBK","Coons, M.P.","Coons, M.P.","204","1977","04",NA,"Brasil","Minas Gerais",NA,"Erva com flores brancas. Comum.","VIC006410","Escola Superior de Agricultura de Lavras, Cafezal da escola.","01","Lavras",NA,NA,"-44.999698638916","-21.2453002929688","VIC006410",NA,NA,NA,"1978","09","25",NA,"20044","auto",NA,NA,NA,NA
"10","2020-12-20 21:15:16-03","UFV","VIC","5498","PreservedSpecimen","Plantae",NA,NA,"Amaranthaceae","Alternanthera","flavescens","Alternanthera flavescens","HBK","Coons, M.P.","Coons, M.P.","620","1978","06",NA,"Brasil","Minas Gerais",NA,"Na beirada, em solo argiloso. Flores brancas, folhas avermelhadas.","VIC005498","Beirada da rua Inácio Alvarenga.","14","São João del Rei",NA,NA,"-44.2616996765137","-21.1355991363525","VIC005498",NA,NA,NA,"1980",NA,NA,NA,"39093","auto",NA,NA,NA,NA
