"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","class","verbatimLongitude","verbatimLatitude","typeStatus","fieldNumber","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","00891678","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Paspalum","dedeccae","Paspalum dedeccae","Quarin","T. de S. Filgueiras","H. S. Irwin","8827","1965","09","30","South America","Brazil","Distrito Federal","Brasília","Ca. 7 km E of Brasília, near Sobradinho.","-47.9294","-15.7797","1200","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=959480' target='other'> <mi>dwc_moreinfo</mi></a>","NY00891678","NY00891678_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00891654","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Paspalum","dedeccae","Paspalum dedeccae","Quarin","T. de S. Filgueiras","H. S. Irwin","10604","1965","11","23","South America","Brazil","Distrito Federal","Brasília","Immediately west of Setor Industrial, Brasília","-47.97","-15.8","1100","1100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=959482' target='other'> <mi>dwc_moreinfo</mi></a>","NY00891654","NY00891654_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1921404","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Paspalum","dedeccae","Paspalum dedeccae","Quarin",NA,"M. Kuhlmann","4254","1957","10","30","South America","Brazil","São Paulo","Moji-Guaçu","Moji-Guaçú, Reserva Florestal (Fazenda Campininha)","-47.164784","-22.242395",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2277036' target='other'> <mi>dwc_moreinfo</mi></a>","NY01921404","NY01921404_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00891679","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Paspalum","dedeccae","Paspalum dedeccae","Quarin","T. de S. Filgueiras","H. S. Irwin","8659","1965","09","25","South America","Brazil","Distrito Federal","Brasília","Ca. 20 km S. of Brasília, rd. to Goiânia, near Rio Melchior","-48.0355","-15.87895","1125","1125","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=959483' target='other'> <mi>dwc_moreinfo</mi></a>","NY00891679","NY00891679_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-06-29 11:32:02-03","UFRJ","RFA","28028","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Paspalum","dedeccae","Paspalum dedeccae","Quarín","T.S. Filgueiras","T.S. Filgueiras","1231","1986","06","25",NA,"Brasil","Distrito Federal","Brasília","Reserva Ecológica do IBGE","-47.9296989440918","-15.7797002792358",NA,NA,NA,NA,"RFA30978",NA,"1986","70570","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-30 12:54:02-03","EAO","IAN","67765","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Paspalum","dedeccae","Paspalum dedeccae","Quarin","Oliveira, RC","Viegas, IAC","3284","1939","09","21","Southern America","Brasil","São Paulo","Campinas","Campinas, Fazenda Campo Grande.","-47.060001373291","-22.8999996185303",NA,NA,NA,NA,"IAN067765",NA,"2001","23900","auto","10",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-30 12:54:02-03","EAO","IAN","35655","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Paspalum","dedeccae","Paspalum dedeccae","Quarin","Chase, A","Viégas, GP","3284","1938","12","18","Southern America","Brasil","São Paulo","Campinas","Fazenda Campo Grande.","-47.060001373291","-22.8999996185303",NA,NA,NA,"Herbaceo.","IAN035655",NA,"1939","23900","auto","09","21",NA,NA,NA,NA,NA,NA,NA
"8","2021-03-30 12:54:03-03","EAO","IAN","68841","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Paspalum","doellii","Paspalum doellii","Chase ex Filgueirae",NA,"Black, GA","10994","1951","01","21","Southern America","Brasil","São Paulo","Itirapina","Itirapina; Campo Alegre.","-47.8199996948242","-22.25",NA,NA,NA,"Em brejo solitario.","IAN068841",NA,NA,"22843","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 10:19:22-03","NBC","NL-BOTANY","L.1296550","PreservedSpecimen","Plantae",NA,"Poales","Gramineae","Paspalum","dedeccae","Paspalum dedeccae","Quarín",NA,"Pedersen TM",NA,"1954","10","21","Southern America","Argentina",NA,NA,"Estancia,,Garruchos' Dep. Santo Tomé Prov. Corrientes.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1296550 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1296550","NL-L1296550",NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"10","2020-02-08 10:19:22-03","NBC","NL-BOTANY","WAG.1394223","PreservedSpecimen","Plantae",NA,"Poales","Gramineae","Paspalum","dedeccae","Paspalum dedeccae","Quarín",NA,"Pedersen TM",NA,"1954","10","21","Southern America","Argentina",NA,NA,"Estancia,,Garruchos' Dep. Santo Tomé Prov. Corrientes.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1394223 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1394223","NL-WAG1394223",NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"11","2020-11-04 12:18:51-03","ESALQ","ESA","101973","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Poaceae","Paspalum","dedeccae","Paspalum dedeccae",NA,"Valls, J.M.F.","Scaramuzza, C.A.M.","900.0","1993","04","22",NA,"Brasil","São Paulo","Itararé",NA,"-49.3400001525879","-24.1100006103516",NA,NA,NA,NA,"ESA101973","ESA101973",NA,"27729","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
