"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","year","month","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","recordNumber","day","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","identifiedBy","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","relationshipType","relatedCatalogItem","class","minimumElevationInMeters","maximumElevationInMeters"
"1","2021-03-15 16:37:00-03","NY","NYBG","319178","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Ipomoea","daturaeflora","Ipomoea daturaeflora","Meisn.","syntype","L. Riedel","1832","03","South America","Brazil","Rio de Janeiro","Serra Tamarati","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=308130' target='other'> <mi>dwc_moreinfo</mi></a>","NY00319178","NY00319178_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-11-21 14:33:36-03","UFJF","CESJ","52964","PreservedSpecimen","Plantae","Angiosperma",NA,"Convolvulaceae","Ipomoea","daturiflora","Ipomoea daturiflora","Meisn.",NA,"L. Roth","1949","03","América do Sul","Brasil","Minas Gerais",NA,NA,NA,"CESJ052964",NA,"1284-a","01","Juiz de Fora","-43.3502998352051","-21.7642002105713","36144","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-11-21 14:33:36-03","UFJF","CESJ","1284","PreservedSpecimen","Plantae","Angiosperma",NA,"Convolvulaceae","Ipomoea","daturiflora","Ipomoea daturiflora","Meisn.",NA,"L. Krieger; L. Roth","1949","05","América do Sul","Brasil","Minas Gerais",NA,NA,"Trepadeira, flor lilás.","CESJ001284",NA,"CESJ1284","01","Juiz de Fora","-43.3502998352051","-21.7642002105713","36144","auto","R.S.Bianchini","2004","04","18",NA,NA,NA,NA,NA,NA,NA
"4","2020-06-29 09:30:06-03","UFRRJ","RBR","4077","S","Plantae",NA,NA,"Convolvulaceae","Ipomoea","daturiflora","Ipomoea daturiflora","Meisn.",NA,"H. Monteiro","1937","02",NA,"Brasil","Rio de Janeiro","A margem da estrada de ferro; próximo a Correias.",NA,NA,"RBR00004077","RBR00004077","1601","22","Petrópolis","-43.1786003112793","-22.5049991607666","36524","auto","R.S. Bianchini","1997","10","07",NA,NA,NA,NA,NA,NA,NA
"5","2020-12-21 16:21:24-03","MBM","MBM","15126","PreservedSpecimen","Plantae",NA,NA,"Convolvulaceae","Ipomoea","daturiflora","Ipomoea daturiflora","Meisn.",NA,"Pabst, G.","1963","03","Southern America","Brazil","Rio de Janeiro","Próx. Miguel Pereira, 600 m",NA,NA,"MBM015126","MBM015126","6891","25","Miguel Pereira","-43.4688987731934","-22.4538993835449","25640","auto","Simão-Bianchini, R.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2018-04-26 14:54:12-03","UFRPE","CONVOLVULACEAE_BR",NA,"O","Plantae",NA,NA,"Convolvulaceae","Ipomoea","daturiflora","Ipomoea daturiflora","Meisn.","type","Peckolt",NA,NA,"Southern America","Brazil",NA,"Canta Gallo, Canta Gallo.",NA,NA,"CONV000268",NA,"137",NA,NA,NA,NA,NA,NA,"Meisner","1869",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2018-04-26 14:54:12-03","UFRPE","CONVOLVULACEAE_BR",NA,"O","Plantae",NA,NA,"Convolvulaceae","Ipomoea","daturiflora","Ipomoea daturiflora","Meisn.",NA,"Queiroz, LP de",NA,NA,"Southern America","Brazil","Piauí","Estrada para Inhuma. 4,0Km de Ipira",NA,"Erva prostrada robusta. Folhas membranáceas. Flores cálice verde-claro. Corola internamente magenta.","CONV018453",NA,"10195",NA,"Ipiranga do Piauí","-41.738333","-6.815278",NA,NA,"Simão-Bianchini, R; Vasconcelos, LV","2012",NA,NA,"-41.738333","-6.815278","voucher","93191",NA,NA,NA
"8","2019-10-07 09:17:44-03","UEFS","HUEFS","93191","PreservedSpecimen","Plantae","Angiospermae","Solanales","Convolvulaceae","Ipomoea","daturiflora","Ipomoea daturiflora","Meisn.",NA,"Queiroz, L.P.de","2005","03",NA,"Brasil","Piauí","Estrada para Inhuma. 4,0Km de Ipiranga do Piauí.",NA,NA,"HUEFS0093191","HUEFS0093191","10195","14","Ipiranga do Piauí","-41.738333","-6.815278",NA,NA,"R.Simão-Bianchini & L.V.Vasconcelos","2012","06",NA,"41W44'18''","6S48'55''",NA,NA,"Asteranae","465","465"
"9","2017-09-11 17:09:23-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Convolvulaceae","Ipomoea","daturiflora","Ipomoea daturiflora","Meisn.",NA,"Riedel, L",NA,NA,"Southern America","Brazil","Rio de Janeiro","Habitat in Serra Taramati prov. Rio de Janeiro.",NA,NA,NA,NA,"s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2017-09-11 17:09:23-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Convolvulaceae","Ipomoea","daturiflora","Ipomoea daturiflora","Meisn.",NA,"Peckolt, G",NA,NA,"Southern America","Brazil","Rio de Janeiro","Pr. Canta Gallo.",NA,"Dryas.; HABITAT: Dryas.",NA,NA,"s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-01-07 09:33:35-03","IBt","SP","465716","S","Plantae",NA,NA,"Convolvulaceae","Ipomoea","daturiflora","Ipomoea daturiflora","Meisn.",NA,"Forzza, RC","2013","04",NA,"Brasil","Espírito Santo",NA,NA,NA,NA,NA,"7538","19","Santa Teresa","-40.6002998352051","-19.9356002807617","23813","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-12-10 11:27:10-03","IBt","SP","405747","S","Plantae",NA,NA,"Convolvulaceae","Ipomoea","daturiflora","Ipomoea daturiflora","Meisn.",NA,"Queiroz, LP","2005","03",NA,"Brasil","Piauí",NA,NA,NA,NA,NA,"10195","14","Ipiranga do Piauí","-41.7406005859375","-6.82833003997803","22055","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
