"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","typeStatus","fieldNumber","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","894789","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lessingianthus","zuccarinianus","Lessingianthus zuccarinianus","(Mart. ex DC.) H.Rob.","H. S. Irwin","15273","1966","04","22","South America","Brazil","Goiás","Formosa","Serra do Morcêgo, Côrrego Estrema, ca. 35 km N.E. of Formosa.","-47.1025","-15.30964","800","800","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=965712' target='other'> <mi>dwc_moreinfo</mi></a>","NY00894789","NY00894789_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","894791","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lessingianthus","zuccarinianus","Lessingianthus zuccarinianus","(Mart. ex DC.) H.Rob.","H. S. Irwin","15277","1966","04","22","South America","Brazil","Goiás","Formosa","Serra do Morcêgo, Côrrego Estrema, ca. 35 km N.E. of Formosa.","-47.1025","-15.30964","800","800","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=965727' target='other'> <mi>dwc_moreinfo</mi></a>","NY00894791","NY00894791_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","805288","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lessingianthus","zuccarinianus","Lessingianthus zuccarinianus","(Mart. ex DC.) H.Rob.","E. P. Heringer","1688","1979","07","02","South America","Brazil","Distrito Federal","Brasília","Bacia do Rio São Bartolomeu","-47.9294","-15.7797",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=799913' target='other'> <mi>dwc_moreinfo</mi></a>","NY00805288","NY00805288_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","805291","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lessingianthus","zuccarinianus","Lessingianthus zuccarinianus","(Mart. ex DC.) H.Rob.","J. B. E. Pohl","s.n.",NA,NA,NA,"South America","Brazil",NA,NA,"Franc. Alvez & Antes S. Rita",NA,NA,NA,NA,"sheet","One plant glabrous, one pubescent. Collection number not clear on label :1772 or 2781 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=799936' target='other'> <mi>dwc_moreinfo</mi></a>","NY00805291","NY00805291_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","805292","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lessingianthus","zuccarinianus","Lessingianthus zuccarinianus","(Mart. ex DC.) H.Rob.","J. B. E. Pohl","s.n.",NA,NA,NA,"South America","Brazil",NA,NA,"Corgo Lapeza a Engenho franc. Alvez",NA,NA,NA,NA,"sheet","Collection number not clear on label: 2181 or 2782 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=799944' target='other'> <mi>dwc_moreinfo</mi></a>","NY00805292","NY00805292_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","02491358","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lessingianthus","zuccarinianus","Lessingianthus zuccarinianus","(Mart. ex DC.) H.Rob.","B. Maguire","56131","1963","08","12","South America","Brazil","Goiás",NA,"100 km south of Guara, Belém-Brasília Highway.",NA,NA,"152","244","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2715398' target='other'> <mi>dwc_moreinfo</mi></a>","NY02491358","NY02491358_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","894788","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lessingianthus","zuccarinianus","Lessingianthus zuccarinianus","(Mart. ex DC.) H.Rob.","H. S. Irwin","15470","1966","04","29","South America","Brazil","Goiás","Formosa","Fazenda J. Teles, ca. 10 km N.W. of Formosa, Goiás, near source of Rio Paraná","-47.43","-15.4","850","850","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=965707' target='other'> <mi>dwc_moreinfo</mi></a>","NY00894788","NY00894788_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","894792","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lessingianthus","zuccarinianus","Lessingianthus zuccarinianus","(Mart. ex DC.) H.Rob.","H. S. Irwin","17636","1966","06","23","South America","Brazil","Goiás","Piranhas","Ca. 70 km. S. E. of Aragarças, road to Piranhas. Drainage of the Upper Rio Araguaia.","-52.03","-16.4","700","700","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=965733' target='other'> <mi>dwc_moreinfo</mi></a>","NY00894792","NY00894792_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","805287","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lessingianthus","zuccarinianus","Lessingianthus zuccarinianus","(Mart. ex DC.) H.Rob.","S. Panizza","s.n.","1973","04","04","South America","Brazil","São Paulo","Sao Paulo","Via Anhanguera km 257","-46.63","-23.5403",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=799905' target='other'> <mi>dwc_moreinfo</mi></a>","NY00805287","NY00805287_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","805290","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lessingianthus","zuccarinianus","Lessingianthus zuccarinianus","(Mart. ex DC.) H.Rob.","H. S. Irwin","14281","1966","03","30","South America","Brazil","Goiás","Formosa","Serra Geral de Goiás. Rio Paraná, ca. 35 km N. of Formosa","-46","-14","950","950","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=799924' target='other'> <mi>dwc_moreinfo</mi></a>","NY00805290","NY00805290_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
