"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","typeStatus","yearIdentified","county","coordinatePrecision","geoFlag","class","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","00682189","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Couratari","longipedicellata","Couratari longipedicellata","W.A.Rodrigues","W. Rodrigues","7063","1965","08","31","South America","Brazil","Amazonas","Estrada Manaus-Itacoatiara, km 66.","-59.6708143","-2.6827731","separate fruit","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=817219' target='other'> <mi>dwc_moreinfo</mi></a>","NY00682189","NY00682189_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00680917","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Couratari","longipedicellata","Couratari longipedicellata","W.A.Rodrigues","S. A. Mori","20707","1989","08","08","South America","Brazil","Amazonas","Distrito Agropecuário, Reserva 1501 (km 41) of the WWF/INPA MCS Project.","-59.74583333","-2.41625","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=816900' target='other'> <mi>dwc_moreinfo</mi></a>","NY00680917","NY00680917_01","S. A. Mori","50","125",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00680918","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Couratari","longipedicellata","Couratari longipedicellata","W.A.Rodrigues","S. A. Mori","20707","1989","08","08","South America","Brazil","Amazonas","Distrito Agropecuário, Reserva 1501 (km 41) of the WWF/INPA MCS Project.","-59.74583333","-2.41625","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=816905' target='other'> <mi>dwc_moreinfo</mi></a>","NY00680918","NY00680918_01","S. A. Mori","50","125",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00680916","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Couratari","longipedicellata","Couratari longipedicellata","W.A.Rodrigues","N. M. Lepsch da Cunha","s.n.","1993",NA,NA,"South America","Brazil","Amazonas","Distrito Agropecuário, Reserva 1501 (km 41) da Smithsonian/INPA.","-59.74583333","-2.41625","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=816899' target='other'> <mi>dwc_moreinfo</mi></a>","NY00680916","NY00680916_01","N. M. Lepsch da Cunha","50","125",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00680900","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Couratari","longipedicellata","Couratari longipedicellata","W.A.Rodrigues","M. A. Silva","78","1972","03","10","South America","Brazil","Amazonas","Amaz., estrada Manaus-Ltacoatiara, km 143",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=816762' target='other'> <mi>dwc_moreinfo</mi></a>","NY00680900","NY00680900_01","W. A. Rodrigues",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","744","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Couratari","longipedicellata","Couratari longipedicellata","W.A.Rodrigues","O. P. Monteiro","s.n.","1969","05","18","South America","Brazil","Amazonas","Estrada Manaus-Itacoatiara, KM 70, lado dereito","-59.648332","-2.6569661","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=595763' target='other'> <mi>dwc_moreinfo</mi></a>","NY00000744","NY00000744_01 NY00000744_02",NA,NA,NA,"isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00682188","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Couratari","longipedicellata","Couratari longipedicellata","W.A.Rodrigues","M. Silva","78","1972","03","10","South America","Brazil","Amazonas","Estrada Manaus-Itacoatiara, km 143","-59.2265224","-2.9292403","separate fruit","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=817213' target='other'> <mi>dwc_moreinfo</mi></a>","NY00682188","NY00682188_01 NY00682188_02","W. Rodrigues",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00680915","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Couratari","longipedicellata","Couratari longipedicellata","W.A.Rodrigues","N. M. Lepsch da Cunha","s.n.","1993",NA,NA,"South America","Brazil","Amazonas","Distrito Agropecuário, Reserva 1501 (km 41) da Smithsonian/INPA.","-59.74583333","-2.41625","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=816896' target='other'> <mi>dwc_moreinfo</mi></a>","NY00680915","NY00680915_01","N. M. Lepsch da Cunha","50","125",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00680906","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Couratari","longipedicellata","Couratari longipedicellata","W.A.Rodrigues","G. T. Prance","24279","1976","11","25","South America","Brazil","Amazonas","Santo Antonio de Abonari, Manaus-Caracarai","-60.4391384","-1.1698768","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=816771' target='other'> <mi>dwc_moreinfo</mi></a>","NY00680906","NY00680906_01","G. T. Prance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00680903","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Couratari","longipedicellata","Couratari longipedicellata","W.A.Rodrigues","M. A. Silva","78","1972","03","10","South America","Brazil","Amazonas","Amazonas, estrada Manaus-Ltacoatiara, km 143",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=816767' target='other'> <mi>dwc_moreinfo</mi></a>","NY00680903","NY00680903_01","W. A. Rodrigues",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","00680904","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Couratari","longipedicellata","Couratari longipedicellata","W.A.Rodrigues","W. A. Rodrigues","7063","1965","08","31","South America","Brazil",NA,"Manaus, estrada Manaus-Itacoatiara, km66","-59.6709377","-2.6829285","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=816770' target='other'> <mi>dwc_moreinfo</mi></a>","NY00680904","NY00680904_01","G. T. Prance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","00682190","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Couratari","longipedicellata","Couratari longipedicellata","W.A.Rodrigues","N. M. Lepsch da Cunha","s.n.","1989",NA,NA,"South America","Brazil","Amazonas","Distrito Agropecuário. Reserva 1501-km 41 da Smithsonian/INPA - Projeto Dinâmica Biológica dos Fragmentos Florestais","-59.7277778","-2.4072222","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=817229' target='other'> <mi>dwc_moreinfo</mi></a>","NY00682190","NY00682190_01","S. A. Mori","50","125",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
