"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","yearIdentified","minimumElevationInMeters","maximumElevationInMeters","monthIdentified","dayIdentified","typeStatus","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","01067271","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","leptoclada","Eugenia leptoclada","O.Berg","M. Sobral","W. W. Thomas","8131","1991","07","01","South America","Brazil","Bahia","Uruçuca","7.3 km N of Serra Grande on rd to Itacaré. Fazenda Lagoa do Conjunto Fazenda Santa Cruz. Southern Bahian moist forest.","-39.0617","-14.4231","sheet","Site: SG <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=479390' target='other'> <mi>dwc_moreinfo</mi></a>","NY01067271","NY01067271_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01198103","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","leptoclada","Eugenia leptoclada","O.Berg","M. Sobral","S. C. de Sant'Ana","369","1993","09","16","South America","Brazil","Bahia","Una","Reserva Biológica do Mico-leão (IBAMA). Entrada no km 46 da Rod. BA-001 Ilhéus/Una. 8-10 Kms na estrada que margeia ao Rio Maruim. Picada paralela ao rio Maruim.","-39.08","-15.15","sheet","Site: R <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=479475' target='other'> <mi>dwc_moreinfo</mi></a>","NY01198103","NY01198103_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","579966","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","leptoclada","Eugenia leptoclada","O.Berg","M. Sobral","P. I. Oliveira","825","1985","02","01","South America","Brazil","Paraná","Curitiba","Parque Iguaçu.","-49.2731","-25.4281","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=396774' target='other'> <mi>dwc_moreinfo</mi></a>","NY00579966","NY00579966_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-13 09:20:23-03","UFRJ","RFA","25308","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","leptoclada","Eugenia leptoclada","O.Berg",NA,"F. M. de B. Pereira","24/41","2000","10","16",NA,"Brasil","Rio de Janeiro","Cachoeiras de Macacu",NA,"-42.855","-22.456389",NA,"Arvore, 22m de altura, 80cm de DAP, folha verde, flor verde, rara no local","RFA42040",NA,"42º51'18''W","22º27'23''S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-30 12:45:50-03","EAO","IAN","26758","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Myrtaceae","Eugenia","leptoclada","Eugenia leptoclada","O.Berg",NA,"Sellow, F","s.n.",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,"IAN026758",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-11-04 11:14:34-03","ESALQ","ESA","11080","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Eugenia","leptoclada","Eugenia leptoclada","O. Berg","Mazine, F.F.","Bernacci, L.C.","28472.0","1993","02","03",NA,"Brasil","São Paulo","Atibaia",NA,"-46.5499992370605","-23.1100006103516",NA,NA,"ESA011080","ESA011080",NA,NA,"21675","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-08-27 13:31:21-03","IAP","PACA-AGP","57994","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","leptoclada","Eugenia leptoclada","O. Berg","D. Legrand","R. Klein","59","1952","10","03",NA,"Brasil","SC","Brusque","Mata do Maluche","-48.9174995422363","-27.0981006622314",NA,"15m de altura. HBR 4860. Eq. Ecologia nr. 13. Habitat: in silva Hábito: árvore","PACA057994",NA,NA,NA,"19684","auto","Magnoliatae","1953","50","50",NA,NA,NA,NA,NA
"8","2019-08-27 13:31:21-03","IAP","PACA-AGP","64109","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","leptoclada","Eugenia leptoclada","O. Berg","D. Legrand","Hatschbach, G.","4155","1957","10","13",NA,"Brasil","PR","Tijucas do Sul","Rio Itararé","-49.1988983154297","-25.9281005859375",NA,"6m de altura e flores alvas. Habitat: in silva hygrophila Fenofase: flor Hábito: árvore","PACA064109",NA,NA,NA,"25228","auto","Magnoliatae","1958",NA,NA,NA,NA,NA,NA,NA
"9","2020-12-20 21:18:37-03","UFV","VIC","13339","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","leptoclada","Eugenia leptoclada","O.Berg",NA,"Silva, A.F.; Fontes, N.R.L.","s.n.","1994","10","28",NA,"Brasil","Minas Gerais","Viçosa","Campus da UFV","-42.8819007873535","-20.7539005279541",NA,NA,"VIC013339",NA,NA,NA,"13937","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-12-20 21:18:37-03","UFV","VIC","697","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","leptoclada","Eugenia leptoclada","O.Berg",NA,"Mexia, Y.","4368",NA,NA,NA,NA,"Brasil","Minas Gerais","Viçosa","ESAV","-42.8819007873535","-20.7539005279541",NA,NA,"VIC000697",NA,NA,NA,"13937","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-12-20 21:18:37-03","UFV","VIC","14198","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","leptoclada","Eugenia leptoclada","O.Berg",NA,"Lisboa, M.; Silveira, R.G.","s.n.","1993","07",NA,NA,"Brasil","Minas Gerais","Juiz de Fora","Mata do Morro do Redentor","-43.3502998352051","-21.7642002105713",NA,"Arvoreta ca 4 m de altura","VIC014198",NA,NA,NA,"36144","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-12-20 21:18:37-03","UFV","VIC","20145","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","leptoclada","Eugenia leptoclada","O.Berg",NA,"Neto, J.A.A.M.","2040","1993","11",NA,NA,"Brasil","Minas Gerais","Viçosa","Mata da Sivicultura","-42.8819007873535","-20.7539005279541",NA,"Árvore de 4 m, flores brancas","VIC020145",NA,NA,NA,"13937","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
