"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","country","stateProvince","individualCount","occurrenceRemarks","recordNumber","county","year","month","day","locality","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","continentOcean","preparationType","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","class","dayIdentified","relationshipType","relatedCatalogItem","infraspecificEpithet","typeStatus","fieldNumber","sex"
"1","2019-06-10 10:10:38-03","FZB-BH","CVJBFZB","641","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Aechmea","cylindrata","Aechmea cylindrata","Lindm.","Elton. C. M. Leme","2011","08","Luiz Felipe Nevares de Carvalho;","Brasil","Bahia","1","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:38-03","FZB-BH","CVJBFZB","159","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Aechmea","cylindrata","Aechmea cylindrata","Lindm.","Elton. C. M. Leme","2011","08","Jones Caldas da Silva;","Brasil","Santa Catarina","2","254","Silvan38","Picarras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:10:38-03","FZB-BH","CVJBFZB","452","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Aechmea","cylindrata","Aechmea cylindrata","Lindm.","Elton. C. M. Leme","2011","08","Alvim Seidel;","Brasil","Espírito Santo","1","254","Seidel1199","Jatobá",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-06-10 10:10:38-03","FZB-BH","CVJBFZB","441","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Aechmea","cylindrata","Aechmea cylindrata","Lindm.","Elton. C. M. Leme","2009","05",NA,"Brasil","Paraná","1","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-06-10 10:10:38-03","FZB-BH","CVJBFZB","451","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Aechmea","cylindrata","Aechmea cylindrata","Lindm.","Elton. C. M. Leme","2009","05","Alvim Seidel;","Brasil","Espírito Santo","1","254","Seidel1199","Jatobá",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-06-10 10:10:38-03","FZB-BH","CVJBFZB","525","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Aechmea","cylindrata","Aechmea cylindrata","Lindm.","Elton. C. M. Leme","2011","08","Elton M. C. Leme;","Brasil","São Paulo","1","254",NA,"Iguape","1999","08","28","Mata Atlântica à beira do mar","-47.5499992370605","-24.7000007629395","55628","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-06-10 10:10:38-03","FZB-BH","CVJBFZB","178","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Aechmea","cylindrata","Aechmea cylindrata","Lindm.","Elton. C. M. Leme","2011","08","Elton M. C. Leme; Jones Caldas da Silva; Luiz Cláudio Marigo","Brasil","Santa Catarina","1","254",NA,"Picarras","1990","11","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","376318","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Aechmea","cylindrata","Aechmea cylindrata","Lindm.","L. B. Smith",NA,NA,"P. K. H. Dusén","Brazil","Paraná",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=473372' target='other'> <mi>dwc_moreinfo</mi></a>","17196","Jaguariaíva","1915","09","18","Jacarehý","-49.7056","-24.2511",NA,NA,"South America","sheet","NY00376318","NY00376318_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","376319","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Aechmea","cylindrata","Aechmea cylindrata","Lindm.","R. Reitz",NA,NA,"R. M. Klein","Brazil","Santa Catarina",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=473371' target='other'> <mi>dwc_moreinfo</mi></a>","1973","Ibirama","1956","05","18","Hôrto Florestal I.N.P., Ibirama","-49.5178","-27.0569",NA,NA,"South America","sheet","NY00376319","NY00376319_01","700","700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","376320","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Aechmea","cylindrata","Aechmea cylindrata","Lindm.","R. Reitz",NA,NA,"R. Reitz","Brazil","Paraná",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=473370' target='other'> <mi>dwc_moreinfo</mi></a>","5758",NA,"1953","09","15","Estr. Curitiba-Paranaguá",NA,NA,NA,NA,"South America","sheet","NY00376320","NY00376320_01","900","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","376317","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Aechmea","cylindrata","Aechmea cylindrata","Lindm.","E. A. Mennega; K. U. Kramer",NA,NA,"J. C. Lindeman","Brazil","Paraná",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=473369' target='other'> <mi>dwc_moreinfo</mi></a>","4088","Morretes","1967","01","12","Serra do Mar; Upper Rio do Corvo, S. of old road to Morretes, ca. 25 km E. of Curitiba","-48.906339","-25.339275",NA,NA,"South America","sheet","NY00376317","NY00376317_01","900","1100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-02-27 20:28:30-03","PUCPR","HUCP","25646","S","Plantae","Monocotiledonea",NA,"Bromeliaceae","Aechmea","cylindrata","Aechmea cylindrata","Lindm.","Kersten, RA","2019","10","Kersten, RA","Brasil","Parana",NA,"Herbácea terrícola de ambiente altomontano,","2004","Campina Grande do Sul","2019","09","28","Morro Capivari Grande","-48.82166","-25.1283",NA,NA,NA,NA,"HUCP00025646","HUCP00025646","1600","1600","-48.82166","-25.1283",NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-02-08 10:12:04-03","NBC","NL-BOTANY","U.1166803","PreservedSpecimen","Plantae",NA,"Poales","Bromeliaceae","Aechmea","cylindrata","Aechmea cylindrata","Lindm.",NA,NA,NA,"Lindeman JC; Haas JH de","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1166803 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"1967","08","02","Est. Parana. Serra do Mar, slope of Pico de Garatuva.",NA,NA,NA,NA,"Southern America",NA,"NL-U1166803","NL-U1166803",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"14","2020-02-08 10:12:04-03","NBC","NL-BOTANY","U.1166804","PreservedSpecimen","Plantae",NA,"Poales","Bromeliaceae","Aechmea","cylindrata","Aechmea cylindrata","Lindm.",NA,NA,NA,"Mennega EA; Kramer KU","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1166804 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"1967","01","12","Est. Parana. Serra do Mar; Upper Rio do Corvo, S. of old road to Morretes, c.a. 25 km E. of Curitba.",NA,NA,NA,NA,"Southern America",NA,"NL-U1166804","NL-U1166804",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"15","2020-11-04 11:03:42-03","ESALQ","ESA","12827","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Bromeliaceae","Aechmea","cylindrata","Aechmea cylindrata","Lindman","Proença, S.L.",NA,NA,"Souza, V.C. ; Abbud, V.","Brasil","São Paulo",NA,NA,"338.0","Peruíbe","1988","11","06",NA,"-46.9900016784668","-24.3199996948242","21922","auto",NA,NA,"ESA012827",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-11-04 11:03:42-03","ESALQ","ESA","41638","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Bromeliaceae","Aechmea","cylindrata","Aechmea cylindrata","Lindman","Proença, S.L.",NA,NA,"Souza, J.P. et al.","Brasil","São Paulo",NA,NA,"764.0","Cunha","1996","12","11",NA,"-44.9599990844727","-23.0699996948242","38855","auto",NA,NA,"ESA041638","ESA041638",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2020-11-04 11:03:42-03","ESALQ","ESA","17693","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Bromeliaceae","Aechmea","cylindrata","Aechmea cylindrata","Lindman","Proença, S.L.",NA,NA,"Moraes, P.L.R. ; Ivanauskas, N.M.","Brasil","São Paulo",NA,NA,"1144.0","São Miguel Arcanjo","1995","01","19",NA,"-47.9900016784668","-23.8700008392334","27904","auto",NA,NA,"ESA017693",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2020-11-04 11:03:42-03","ESALQ","ESA","19265","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Bromeliaceae","Aechmea","cylindrata","Aechmea cylindrata","Lindman","Proença, S.L.",NA,NA,"Miyagi, P.H.; Zandoval, J.A.; Souza, J.P.","Brasil","São Paulo",NA,"Epífita. Inflorescência velha rósea","538.0","Tapiraí","1995","02","15","BLOQUEADO","-47.5","-23.9599990844727","41034","auto",NA,NA,"ESA019265",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-01-14 15:25:27-03","MN","R","32541","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Aechmea","cylindrata","Aechmea cylindrata","Lindm.",NA,NA,NA,"Foster, M.B. 464; Foster, R.","Brasil","São Paulo",NA,NA,NA,NA,"1939","09","03",NA,NA,NA,NA,NA,NA,NA,"R010000203","R010000203",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-01-14 15:25:27-03","MN","R","46230","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Aechmea","cylindrata","Aechmea cylindrata","Lindm.","Smith, L.B.","1952","02","Dusén, P.K.H.","Brasil","Paraná",NA,NA,"3491",NA,"1904","02","08",NA,NA,NA,NA,NA,NA,NA,"R010000199,R010000200","R010000199 R010000200","900","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-01-14 15:25:27-03","MN","R","32533","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Aechmea","cylindrata","Aechmea cylindrata","Lindm.",NA,NA,NA,"Foster, M.B. 450; Foster, R.","Brasil","Paraná",NA,NA,NA,"Paranaguá","1939","09","01",NA,"-48.5092010498047","-25.5200004577637","24916","auto",NA,NA,"R010000201,R010000202","R010000201 R010000202",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
