"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","county","yearIdentified","coordinatePrecision","geoFlag","class","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","relationshipType","relatedCatalogItem","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","788253","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Baccharis","oreophila","Baccharis oreophila","Malme","G. Heiden","W. Hoehne","s.n.","1946","08","23","South America","Brazil","São Paulo","Parque do Estado de Sao Paulo.","-46.621883","-23.654505","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=76780' target='other'> <mi>dwc_moreinfo</mi></a>","NY00788253","NY00788253_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","788122","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Baccharis","oreophila","Baccharis oreophila","Malme","G. M. Barroso","M. Sakane","165","1974","08","18","South America","Brazil","São Paulo","Umuarama.","-45.59","-22.73","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=96506' target='other'> <mi>dwc_moreinfo</mi></a>","NY00788122","NY00788122_01","Campos do Jordao",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","788420","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Baccharis","oreophila","Baccharis oreophila","Malme","G. Heiden","W. Hoehne","s.n.","1946","06","18","South America","Brazil","São Paulo","Parque do Estado de Sao Paulo.","-46.621883","-23.654505","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=434397' target='other'> <mi>dwc_moreinfo</mi></a>","NY00788420","NY00788420_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","788123","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Baccharis","oreophila","Baccharis oreophila","Malme","G. M. Barroso","G. G. Hatschbach","34555","1974","07","09","South America","Brazil","Paraná","Rio Taquari.","-49.0767","-25.3658","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=96503' target='other'> <mi>dwc_moreinfo</mi></a>","NY00788123","NY00788123_01","Quatro Barras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","788421","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Baccharis","oreophila","Baccharis oreophila","Malme","G. Heiden","B. D. Sucre","2335","1968","02","10","South America","Brazil","Rio de Janeiro","Posse, Morro das Antenas de Televisao.","-42.9656","-22.4122","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=434395' target='other'> <mi>dwc_moreinfo</mi></a>","NY00788421","NY00788421_01","Teresópolis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","788410","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Baccharis","oreophila","Baccharis oreophila","Malme","G. Heiden","W. Hoehne","s.n.","1949","08","04","South America","Brazil","São Paulo","Jabaquara.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=245181' target='other'> <mi>dwc_moreinfo</mi></a>","NY00788410","NY00788410_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","788124","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Baccharis","oreophila","Baccharis oreophila","Malme","G. G. Hatschbach","G. G. Hatschbach","37310","1975","10","09","South America","Brazil","Paraná","Serra do Votuvoru.","-49.3142","-25.1903","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=96507' target='other'> <mi>dwc_moreinfo</mi></a>","NY00788124","NY00788124_01","Rio Branco do Sul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","788450","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Baccharis","oreophila","Baccharis oreophila","Malme","G. Heiden","W. Hoehne","s.n.","1949","06","15","South America","Brazil","São Paulo","Jabaquara.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=73060' target='other'> <mi>dwc_moreinfo</mi></a>","NY00788450","NY00788450_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","788447","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Baccharis","oreophila","Baccharis oreophila","Malme","G. Heiden","W. Hoehne","s.n.","1949","06","15","South America","Brazil","São Paulo","Jabaquara.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=73059' target='other'> <mi>dwc_moreinfo</mi></a>","NY00788447","NY00788447_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","788444","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Baccharis","oreophila","Baccharis oreophila","Malme","G. Heiden","W. Hoehne","s.n.","1949","08","04","South America","Brazil","São Paulo","Jabaquara.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=73058' target='other'> <mi>dwc_moreinfo</mi></a>","NY00788444","NY00788444_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","00855066","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Baccharis","oreophila","Baccharis oreophila","Malme","G. Heiden","M. C. W. Vieira","1741","1990","09","09","South America","Brazil","Minas Gerais","Aiuruoca. Fazenda da Macieira.","-44.6031","-21.9758","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=940083' target='other'> <mi>dwc_moreinfo</mi></a>","NY00855066","NY00855066_01","Aiuruoca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
