"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","phylum","order","infraspecificEpithet","typeStatus","continentOcean","locality","preparationType","occurrenceRemarks","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","relationshipType","individualCount","fieldNumber"
"1","2021-04-05 14:34:11-03","UNESC","CRI","4037","PreservedSpecimen","Plantae","Scrophulariaceae","Buchnera","longifolia","Buchnera longifolia","Kunth","J. A. Jarenkow","J. A. Jarenkow","1472","1989","12","03","Brasil","Rio Grande do Sul","Morro Redondo","-52.621667","-31.598333","52º37'18''W","31º35'54''S","CRI009988","CRI009988",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","67923","PreservedSpecimen","Plantae","Orobanchaceae","Buchnera","elongata","Buchnera elongata glabriuscula","Kuntze",NA,"C. E. O. Kuntze","s.n.","1892",NA,NA,"Paraguay",NA,NA,NA,NA,NA,NA,"NY00067923","NY00067923_01","Magnoliophyta","Lamiales","glabriuscula","type","South America","Sud Paraguay","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=541005' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","67924","PreservedSpecimen","Plantae","Orobanchaceae","Buchnera","elongata","Buchnera elongata graminifolia","Chodat & Hassl.",NA,"E. Hassler","6563",NA,NA,NA,"Paraguay",NA,NA,NA,NA,NA,NA,"NY00067924","NY00067924_01","Magnoliophyta","Lamiales","graminifolia","syntype","South America",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=41189' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","67925","PreservedSpecimen","Plantae","Orobanchaceae","Buchnera","elongata","Buchnera elongata pilosior","Kuntze",NA,"C. E. O. Kuntze","s.n.","1892","11",NA,"Paraguay",NA,NA,NA,NA,NA,NA,"NY00067925","NY00067925_01","Magnoliophyta","Lamiales","pilosior","type","South America","Sud Paraguay","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=302316' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","67926","PreservedSpecimen","Plantae","Orobanchaceae","Buchnera","elongata","Buchnera elongata rigidior","Kuntze",NA,"C. E. O. Kuntze","s.n.","1892","07",NA,"Bolivia",NA,NA,NA,NA,NA,NA,"NY00067926","NY00067926_01","Magnoliophyta","Lamiales","rigidior","type","South America","Ost-Velasco","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=483983' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","499382","PreservedSpecimen","Plantae","Orobanchaceae","Buchnera","longifolia","Buchnera longifolia","Kunth","N. H. Holmgren","E. M. Zardini","33929","1992","11","27","Paraguay","Central",NA,"-57.57","-25.6",NA,NA,"NY00499382",NA,"Magnoliophyta","Lamiales",NA,NA,"South America","Estero del Ypoá. Villeta - Puerto Guyrati. 10.5 km S of Villeta, W of Arroyo Pikysyry.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=757161' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","499383","PreservedSpecimen","Plantae","Orobanchaceae","Buchnera","longifolia","Buchnera longifolia","Kunth","K. A. Vincent","H. H. Rusby","1363","1886","05",NA,"Bolivia",NA,NA,NA,NA,NA,NA,"NY00499383",NA,"Magnoliophyta","Lamiales",NA,NA,"South America","Guanai","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=757167' target='other'> <mi>dwc_moreinfo</mi></a>","609.6","609.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","499379","PreservedSpecimen","Plantae","Orobanchaceae","Buchnera","longifolia","Buchnera longifolia","Kunth","K. A. Vincent","G. Gardner","1102","1837","03",NA,"Brazil","Pernambuco",NA,NA,NA,NA,NA,"NY00499379","NY00499379_01","Magnoliophyta","Lamiales",NA,NA,"South America",NA,"sheet","Comm. am. Shuttleworth 1838. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=757165' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","499380","PreservedSpecimen","Plantae","Orobanchaceae","Buchnera","longifolia","Buchnera longifolia","Kunth","K. A. Vincent","A. F. C. P. Saint-Hilaire","s.n.","1816",NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,"NY00499380","NY00499380_01","Magnoliophyta","Lamiales",NA,NA,"South America","Brasilia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=757166' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","499378","PreservedSpecimen","Plantae","Orobanchaceae","Buchnera","longifolia","Buchnera longifolia","Kunth","K. A. Vincent","G. Tessmann","2745","1947","12","12","Brazil","Paraná","Piraquara","-49.0631","-25.4419",NA,NA,"NY00499378","NY00499378_01","Magnoliophyta","Lamiales",NA,NA,"South America","Florestal, 29 km para leste de Curitiba, estrada C.-Paranaguá.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=757164' target='other'> <mi>dwc_moreinfo</mi></a>","930","930",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","2699574","PreservedSpecimen","Plantae","Orobanchaceae","Buchnera","longifolia","Buchnera longifolia","Kunth",NA,"M. J. G. Hopkins","899","1986","06","21","Brazil","Roraima","Alto Alegre","-61.33","3.37",NA,NA,"NY02699574",NA,"Magnoliophyta","Lamiales",NA,NA,"South America","Ilha de Maracá, SEMA Estaçao",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2994124' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","499381","PreservedSpecimen","Plantae","Orobanchaceae","Buchnera","longifolia","Buchnera longifolia","Kunth","K. A. Vincent","A. Fernandez","2776","1986","05",NA,"Venezuela","Bolívar","Piar","-62.03","7.8",NA,NA,"NY00499381",NA,"Magnoliophyta","Lamiales",NA,NA,"South America","Cerro Tomasote.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=757162' target='other'> <mi>dwc_moreinfo</mi></a>","540","540",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","499377","PreservedSpecimen","Plantae","Orobanchaceae","Buchnera","longifolia","Buchnera longifolia","Kunth","E. P. dos Santos","E. P. dos Santos","358","1997","10","15","Brazil","Paraná","Guaratuba","-48.58","-25.88",NA,NA,"NY00499377","NY00499377_01","Magnoliophyta","Lamiales",NA,NA,"South America","Serra de Araçatuba, Morro dos Perdidos.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=757159' target='other'> <mi>dwc_moreinfo</mi></a>","1200","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","499375","PreservedSpecimen","Plantae","Orobanchaceae","Buchnera","longifolia","Buchnera longifolia","Kunth","K. A. Vincent","G. G. Hatschbach","7482","1960","11","16","Brazil","Paraná","Curitiba","-49.2731","-25.4281",NA,NA,"NY00499375","NY00499375_01","Magnoliophyta","Lamiales",NA,NA,"South America","Atuba.","sheet","Herbarium Bradeanum Rio de Janeiro - Brasil. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=757156' target='other'> <mi>dwc_moreinfo</mi></a>","950","950",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","499376","PreservedSpecimen","Plantae","Orobanchaceae","Buchnera","longifolia","Buchnera longifolia","Kunth","K. A. Vincent","G. G. Hatschbach","7482","1960","11","16","Brazil","Paraná","Curitiba","-49.2731","-25.4281",NA,NA,"NY00499376","NY00499376_01","Magnoliophyta","Lamiales",NA,NA,"South America","Atuba.","sheet","Herbarium Bradeanum Rio de Janeiro - Brasil. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=757157' target='other'> <mi>dwc_moreinfo</mi></a>","950","950",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-11-13 09:20:36-03","UFRJ","RFA","10867","PreservedSpecimen","Plantae","Orobanchaceae","Buchnera","longifolia","Buchnera longifolia","Kunth","G.G. Hatschbach","G.G. Hatschbach","22746","1969","10","30","Brasil","Paraná","Lapa","-49.7158012390137","-25.7696990966797",NA,NA,"RFA48921",NA,NA,NA,NA,NA,NA,"Col. Mariental",NA,"Flor violeta",NA,NA,"49965","auto",NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-30 12:32:59-03","EAO","IAN","77376","PreservedSpecimen","Plantae","Orobanchaceae","Buchnera","longifolia","Buchnera longifolia","Kunth",NA,"Black, GA; Cordeiro, E","15309","1952","06","25","Bolívia",NA,NA,NA,NA,NA,NA,"IAN077376",NA,NA,NA,NA,NA,NA,"Rio Guaporé; Santo Antonio de Manoelito. Campo.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2020-05-29 01:16:06-03","UFBA","ALCB","03813","PreservedSpecimen","Plantae","Orobanchaceae","Buchnera","longifolia","Buchnera longifolia","H.B.K.","Souza, VC","Noblick, LR","1576","1979","09","04","Brasil","Bahia","Salvador","-38.5","-12.966667","-38.5","-12.966667",NA,NA,"Dicotyledon",NA,NA,NA,"Southern America","Arredores do Instituto de Biologia da UFBA. Ondina.",NA,"Flores violetas. Folhas trinervadas.; Lugar baixo úmido.",NA,NA,NA,NA,"1985","07",NA,NA,NA,NA,NA,NA
"19","2020-05-29 01:16:06-03","UFBA","ALCB","09349","PreservedSpecimen","Plantae","Orobanchaceae","Buchnera","longifolia","Buchnera longifolia","Kunth","Souza, VC","Pedro; Juce","1","1981","09","29","Brasil","Bahia","Salvador","-38.5","-12.966667","-38.5","-12.966667",NA,NA,"Dicotyledon",NA,NA,NA,"Southern America","Universidade Federal da Bahia.",NA,"Cor da flor roxa, pouco frequente.; Encontrada em substrato argiloso.",NA,NA,NA,NA,"1996","05",NA,NA,NA,NA,NA,NA
"20","2020-05-29 01:16:06-03","UFBA","ALCB","64006","PreservedSpecimen","Plantae","Orobanchaceae","Buchnera","longifolia","Buchnera longifolia","Kunth","Scatigna, AV","Loureiro, DM; Silva, JR; Menezes, AP","723","2003","10","17","Brasil","Bahia","Mata de São João","-38.283333","-12.516667","-38.283333","-12.516667",NA,NA,"Dicotyledon",NA,NA,NA,"Southern America","Litoral Norte, Costa do Sauípe, fazenda Sauípe, área encharcada",NA,"folhas coriáceas, tomentosas, discolores, face adaxial verde, abaxial vinácea. Flores lilás.; Arbustiva-arbórea.",NA,NA,NA,NA,"2016","10","05",NA,NA,NA,NA,NA
"21","2020-02-08 09:33:36-03","NBC","NL-BOTANY","AMD.118636","PreservedSpecimen","Plantae","Scrophulariaceae","Buchnera","elongata","Buchnera elongata","Sw.",NA,"Herter WG",NA,"1933","12","02","Uruguay",NA,NA,NA,NA,NA,NA,"NL-AMD118636","NL-AMD118636",NA,"Lamiales",NA,NA,"Southern America","Dep. de Rivera, Dict. Ataques.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/AMD.118636 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"22","2020-02-08 09:33:36-03","NBC","NL-BOTANY","U.1599611","PreservedSpecimen","Plantae","Scrophulariaceae","Buchnera","elongata","Buchnera elongata","Sw.",NA,"Herter WGF",NA,"1933","12","02","Uruguay",NA,NA,NA,NA,NA,NA,"NL-U1599611","NL-U1599611",NA,"Lamiales",NA,NA,"Southern America","Dep. de Rivera, Ataques.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1599611 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"23","2020-02-08 09:33:36-03","NBC","NL-BOTANY","L.2780376","PreservedSpecimen","Plantae","Scrophulariaceae","Buchnera","longifolia","Buchnera longifolia","Kunth",NA,"Hatschbach GG",NA,"1960","11","16","Brazil",NA,NA,NA,NA,NA,NA,"NL-L2780376","NL-L2780376",NA,"Lamiales",NA,NA,"Southern America","Parana (BRASIL) Mun. Curitiba, Atuba.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2780376 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"24","2020-02-08 09:33:36-03","NBC","NL-BOTANY","L.2780377","PreservedSpecimen","Plantae","Scrophulariaceae","Buchnera","longifolia","Buchnera longifolia","Kunth",NA,"Sellow F",NA,NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,"NL-L2780377","NL-L2780377",NA,"Lamiales",NA,NA,"Southern America","Fellow.* Brasilia meridionalis.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2780377 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"25","2020-02-08 09:33:36-03","NBC","NL-BOTANY","L.2780378","PreservedSpecimen","Plantae","Scrophulariaceae","Buchnera","longifolia","Buchnera longifolia","Kunth",NA,"Sellow F",NA,NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,"NL-L2780378","NL-L2780378",NA,"Lamiales",NA,NA,"Southern America","Brasilia.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2780378 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"26","2020-02-08 09:33:36-03","NBC","NL-BOTANY","L.2780379","PreservedSpecimen","Plantae","Scrophulariaceae","Buchnera","longifolia","Buchnera longifolia","Kunth",NA,"Reitz R",NA,"1963","01","31","Brazil",NA,NA,NA,NA,NA,NA,"NL-L2780379","NL-L2780379",NA,"Lamiales",NA,NA,"Southern America","Plantas de SANTA CATARINA, Campos Novos, Campo.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2780379 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
