"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","year","month","day","stateProvince","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","class","previousCatalogNumber","typeStatus","dayIdentified","fieldNumber","individualCount","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","770714","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","leptostachys","Solanum leptostachys","Dunal","L. Riedel","395","South America","Brazil","Brasilia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=435862' target='other'> <mi>dwc_moreinfo</mi></a>","NY00770714","NY00770714_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","02447537","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","leptostachys","Solanum leptostachys","Dunal","J. G. Jardim","5086","South America","Brazil","Estação Ecológica Estadual Nova Esperança; trilha para o Pico do Urubu, parte superior","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2621632' target='other'> <mi>dwc_moreinfo</mi></a>","NY02447537","NY02447537_01","S. D. Knapp","2007","05","04","Bahia","Wenceslau Guimarães","-39.7231","-13.5819","700","814",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00700519","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","leptostachys","Solanum leptostachys","Dunal","Y. E. J. Mexia","5212","South America","Brazil","Viçosa. Road to Barroso; São Domingo","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=836233' target='other'> <mi>dwc_moreinfo</mi></a>","NY00700519","NY00700519_01","M. H. Nee","1930","10","24","Minas Gerais","Viçosa","-42.8817","-20.7542","730","730",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00700518","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","leptostachys","Solanum leptostachys","Dunal","Y. E. J. Mexia","5432","South America","Brazil","Viçosa, Agricultural College lands. Fazenda da Creçiuma","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=836230' target='other'> <mi>dwc_moreinfo</mi></a>","NY00700518","NY00700518_01","M. H. Nee","1930","12","22","Minas Gerais","Viçosa","-42.860644","-20.766686","700","700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00853232","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","leptostachys","Solanum leptostachys","Dunal","A. M. Amorim","4295","South America","Brazil","Acesso a Faz. Boa Esperança com entrada ao S de Morinhos, 6.1 km E de Poções na rodovia a Ilhéus. Fragmento no limite Sul da Área.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=995420' target='other'> <mi>dwc_moreinfo</mi></a>","NY00853232","NY00853232_01","M. H. Nee","2004","10","08","Bahia","Poçoes","-40.3369","-14.6111",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","770715","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","leptostachys","Solanum leptostachys","Dunal","L. Riedel","395","South America","Brazil","Brasilia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=435863' target='other'> <mi>dwc_moreinfo</mi></a>","NY00770715","NY00770715_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00700516","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","leptostachys","Solanum leptostachys","Dunal","H. S. Irwin","2113","South America","Brazil","1 km. W. of Araponga","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=836225' target='other'> <mi>dwc_moreinfo</mi></a>","NY00700516","NY00700516_01","L. B. Smith","1958","11","18","Minas Gerais","Araponga","-42.5206","-20.6669",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00700515","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","leptostachys","Solanum leptostachys","Dunal","Y. E. J. Mexia","5036","South America","Brazil","Viçosa. Fazenda da Creçiuma; near crest of hill","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=836212' target='other'> <mi>dwc_moreinfo</mi></a>","NY00700515","NY00700515_01","M. H. Nee","1930","09","12","Minas Gerais","Viçosa","-42.8817","-20.7542","720","720",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00700517","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","leptostachys","Solanum leptostachys","Dunal","H. S. Irwin","29629","South America","Brazil","Ca. 3km N. of Mariana, road to Santa Barbara","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=836228' target='other'> <mi>dwc_moreinfo</mi></a>","NY00700517","NY00700517_01","M. H. Nee","1971","02","02","Minas Gerais","Mariana","-43.4158","-20.3781","1500","1500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","770717","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","leptostachys","Solanum leptostachys","Dunal","L. Riedel","342","South America","Brazil","Pr. Praesidio et Marianna.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=435860' target='other'> <mi>dwc_moreinfo</mi></a>","NY00770717","NY00770717_01","M. H. Nee","1824","07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
