"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","coordinatePrecision","geoFlag","class","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","eventTime","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","579954","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","malacantha","Eugenia malacantha","D.Legrand","C. M. D. E. Legrand","isotype","R. Reitz","1795","1954","08","24","South America","Brazil","Santa Catarina","Itajaí","Morro da Fazenda, Itajaí","-48.6617","-26.9081","100","100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=519304' target='other'> <mi>dwc_moreinfo</mi></a>","NY00579954","NY00579954_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-13 09:20:23-03","UFRJ","RFA","8652","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","malacantha","Eugenia malacantha","D.Legrand","D. Legrand",NA,"G.G. Hatschbach","14536","1966","07","27",NA,"Brasil","Paraná","Paranaguá","Morro do Tabaquara","-48.5092010498047","-25.5200004577637",NA,NA,NA,"Arvoreta de 5 m","RFA46455",NA,"1967","24916","auto",NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 10:06:19-03","NBC","NL-BOTANY","L.2508512","PreservedSpecimen","Plantae",NA,"Myrtales","Myrtaceae","Eugenia","malacantha","Eugenia malacantha","D.Legrand",NA,NA,"Hatschbach GG",NA,"1966","07","27","Southern America","Brazil",NA,NA,"Morro do Tabaquara (Mun. Paranaguá) Pr.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2508512 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2508512","NL-L2508512",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"4","2020-02-08 10:06:19-03","NBC","NL-BOTANY","L.2508513","PreservedSpecimen","Plantae",NA,"Myrtales","Myrtaceae","Eugenia","malacantha","Eugenia malacantha","D.Legrand",NA,NA,"Reitz R; Klein RM",NA,"1954","01","24","Southern America","Brazil",NA,NA,"Plantas de Santa Catarina. Morro da Fazenda, Itajaí. Mata.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2508513 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2508513","NL-L2508513",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"5","2020-11-04 11:14:34-03","ESALQ","ESA","68231","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Eugenia","malacantha","Eugenia malacantha",NA,NA,NA,"Ziller, S.R. ; Maschio, W.","903.0","1995","08","16",NA,"Brasil","Paraná","Guaraqueçaba",NA,"-48.3288993835449","-25.3066997528076",NA,NA,NA,NA,"ESA068231","ESA068231",NA,"37295","auto",NA,NA,NA,NA,NA,NA,NA
"6","2020-11-04 11:14:34-03","ESALQ","ESA","34024","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Eugenia","malacantha","Eugenia malacantha","D. Legrand","Faria Jr., J.E.Q.",NA,"Ferretti, A.R. et al.","36.0","1996","12","12",NA,"Brasil","São Paulo","Cunha",NA,"-44.9599990844727","-23.0699996948242",NA,NA,NA,NA,"ESA034024","ESA034024","2013","38855","auto",NA,"02","01",NA,NA,NA,NA
"7","2020-11-04 11:14:34-03","ESALQ","ESA","72572","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Eugenia","malacantha","Eugenia malacantha","D. Legrand","Giaretta, A.",NA,"Godoy, J.R.L. et al.","132.0","1999","01","13",NA,"Brasil","São Paulo","Pariquera-Açu",NA,"-47.8800010681152","-24.7099990844727",NA,NA,NA,NA,"ESA072572","ESA072572",NA,"17990","auto",NA,NA,NA,NA,NA,NA,NA
"8","2020-11-04 10:56:24-03","ESALQ","ESA","140577","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","malacantha","Eugenia malacantha","D.Legrand","K.S. Valdemarin",NA,"Gibau, A.; Silva-Filho, A.A. ; Brito, T.R.O. ; Santos, P.M.L.A.","212.0","2016","12","14",NA,"Brasil","Rio de Janeiro","Paraty","Parque Nacional da Serra da Bocaina - Pedra da Macela -","-44.7131004333496","-23.2178001403809",NA,NA,NA,"Arbusto ca. 1,5m. Cálice verde; corola alva. Anteras alvas","ESA140577",NA,"2017","34470","auto",NA,"12","07",NA,NA,NA,NA
"9","2020-11-04 11:14:34-03","ESALQ","ESA","128281","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Eugenia","malacantha","Eugenia malacantha",NA,"Mazine-Capelo, F.F.",NA,"Virillo, C.B.","205.0","2013","04","02",NA,"Brasil","São Paulo","Tapiraí","Reserva Particular da Votorantim (CBA). UHE Serraria - Trilha da Igrejinha","-47.5","-23.9599990844727","463","463",NA,NA,"ESA128281",NA,"2013","41034","auto",NA,NA,NA,NA,NA,NA,NA
"10","2019-08-27 13:31:21-03","IAP","PACA-AGP","34414","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","malacantha","Eugenia malacantha","D. Legrand","M. Sobral",NA,"Hatschbach, G.","342","1946","08","18",NA,"Brasil","PR","Morretes","Estação Marumbi","-48.834400177002","-25.476900100708",NA,NA,NA,"7m de altura e flores brancas e cheirosas. Habitat: in silva Fenofase: flor Hábito: árvore","PACA034414",NA,"2002","30514","auto","Magnoliatae","07",NA,NA,NA,NA,NA
