"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","individualCount","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","1721190","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Habenaria","itaculumia","Habenaria itaculumia","Garay","C. A. Cid Ferreira","5575","1985","04","15","South America","Brazil","Amazonas","Manicoré","BR 230. 110 km ao L de Humaitá; Rio Marmelos entre a Rod. e a Cachoeira do Paricá (R. I. dos Tenharim)","-62.25","-7.83","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1042915' target='other'> <mi>dwc_moreinfo</mi></a>","NY01721190","NY01721190_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-31 13:41:03-03","MN","R","201503","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","itaculumia","Habenaria itaculumia","Garay","Nogueira, R.E.","231","2002","02","27",NA,"Brasil","Minas Gerais","Ouro Preto",NA,"-43.5080986022949","-20.2875003814697",NA,NA,NA,NA,"Batista, J.A.N.","2013","08","11","44599","auto",NA,NA,NA,NA,NA,NA
"3","2020-03-12 10:29:24-03","UFOP","OUPR","34176","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","itaculumia","Habenaria itaculumia","Garay","Pedrosa, L.G.","1652","2019","05","26",NA,"Brasil","Minas Gerais","Ouro Preto/ Mariana","Parque Estadual do Itacolomi",NA,NA,NA,"Erva, 30cm. Flores verdes. Campo graminoso úmido.",NA,NA,"Pedrosa, L.G.","2019","05","26",NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-23 12:17:42-03","UFOP","OUPR","35275","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","itaculumia","Habenaria itaculumia","Garay","Pedrosa, L.G.","2693","2020","02","25",NA,"Brasil","Minas Gerais","Ouro Preto/ Mariana","Parque Estadual do Itacolomi",NA,NA,NA,"Erva, 20cm. Flores esverdeadas. Campo graminoso.",NA,NA,"Pedrosa, L.G.","2020","02","25",NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-11-06 09:56:52-03","UFOP","OUPR","15973","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","itaculumia","Habenaria itaculumia","Garay","Messias, M.C.T.B.","s.n.","2003","05","09",NA,"Brasil","Minas Gerais","Ouro Preto","Parque Estadual do Itacolomi","-43.5080986022949","-20.2875003814697",NA,"Campo rupestre",NA,NA,"Cota, M.R.C.","2004","09","29","44599","auto",NA,NA,NA,NA,NA,NA
"6","2019-11-06 09:56:52-03","UFOP","OUPR","20469","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","itaculumia","Habenaria itaculumia","Garay","Messias, M.C.T.B.","1231","2007","02","22",NA,"Brasil","Minas Gerais","Ouro Preto","Parque Estadual do Itacolomi, Próximo à Lagoa Seca. Campo rupestre","-43.5080986022949","-20.2875003814697",NA,"Erva, cerca de 40cm. Flores verde claras. Em platôs úmidos associada a gramíneas e Xyris",NA,NA,"Messias, M.C.T.B.","2007","02","22","44599","auto",NA,NA,NA,NA,NA,NA
"7","2019-11-06 09:56:52-03","UFOP","OUPR","15171","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","itaculumia","Habenaria itaculumia","Garay","Nogueira, R.E.; Messias, M.C.T.B.","647","2002","02","27",NA,"Brasil","Minas Gerais","Ouro Preto","Parque Estadual do Itacolomi, Serra do Baú","-43.5080986022949","-20.2875003814697",NA,"Campo rupestre. Erva. Flores verde-claras. Bulbo esférico, branco, 1cm de diamentro. Em solo arenoso-úmico",NA,NA,"Nogueira, R.E.","2002","02","27","44599","auto",NA,NA,NA,NA,NA,NA
"8","2019-11-06 09:56:52-03","UFOP","OUPR","31062","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","itaculumia","Habenaria itaculumia","Garay","Pedrosa, L.G.","164","2018","04","11",NA,"Brasil","Minas Gerais","Ouro Preto","Parque Estadual do Itacolomi, Serra do Itacolomi.","-43.5080986022949","-20.2875003814697",NA,"Erva, 15cm. Flores esverdeadas. Campo úmido.",NA,NA,"Pedrosa, L.G.","2018","04","11","44599","auto",NA,NA,NA,NA,NA,NA
"9","2020-12-11 11:44:37-03","UFMG","BHCB","120311","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Habenaria","itaculumia","Habenaria itaculumia","Garay","Batista, JAN","2630","2008","03","06","Southern America","Brasil","Minas Gerais",NA,"Ouro Preto, Parque Estadual do Itacolomi, na trilha de subida para os platôs na base do pico","-43.493417","-20.433222",NA,"Erva terrestre; em campo limpo seco em encosta com afloramentos rochosos. Solo arenoso, seco. Área anteriormente queimada","BHCB001614","BHCB001614",NA,NA,NA,NA,NA,NA,"-43.493417","-20.433222","1531","1531",NA,NA
"10","2020-12-11 11:44:37-03","UFMG","BHCB","137595","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Habenaria","itaculumia","Habenaria itaculumia","Garay","Carvalho, BM de","41","2009","03","22","Southern America","Brasil","Minas Gerais","Catas Altas","Serra do Caraça, Subida para o Pico do Sol.","-43.455389","-20.109333",NA,"Erva terrestre, em campo seco, entre capim turfoso. Flores verdes.",NA,NA,NA,NA,NA,NA,NA,NA,"-43.455389","-20.109333","1831","1831",NA,NA
