"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","recordNumber","occurrenceRemarks","continentOcean","preparationType","previousCatalogNumber","phylum","order","coordinatePrecision","geoFlag","class","relatedCatalogItem","typeStatus","relationshipType","individualCount","fieldNumber"
"1","2021-04-05 14:33:25-03","UNESC","CRI","8613","PreservedSpecimen","Plantae","Cunoniaceae","Weinmannia","paulliniifolia","Weinmannia paulliniifolia","Pohl ex Ser.","Vanilde C. Zanette","2001","04","20","Clair M. Martinello","2001","04","20","Brasil","Santa Catarina","Criciúma","Mata da SATC e da UNESC.","-49.37","-28.678056","49º22'12''W","28º40'41''S","58","58","CRI006569","CRI006569",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:25-03","UNESC","CRI","5038","PreservedSpecimen","Plantae","Cunoniaceae","Weinmannia","paulliniifolia","Weinmannia paulliniifolia","Pohl ex Ser.","Vanilde Citadini- Zanette",NA,NA,NA,"Vanilde Citadini Zanette","1996","11","05","Brasil","Santa Catarina","Urussanga","Santana.","-49.321111","-28.518333","49º19'16''W","28º31'6''S","48","48","CRI006573","CRI006573","2191",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:25-03","UNESC","CRI","4737","PreservedSpecimen","Plantae","Cunoniaceae","Weinmannia","paulliniifolia","Weinmannia paulliniifolia","Pohl ex Ser.","Vanilde Citadini- Zanette",NA,NA,NA,"Vanilde Citadini Zanette; Jucelia C. Caetano","1996","01","30","Brasil","Santa Catarina","Governador Celso Ramos","Lot. Palmar, Praia das Palmas.","-48.559444","-27.315278","48º33'34''W","27º18'55''S","24","24","CRI006575","CRI006575","2035","Habito: arvoreta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:33:25-03","UNESC","CRI","6112","PreservedSpecimen","Plantae","Cunoniaceae","Weinmannia","paulliniifolia","Weinmannia paulliniifolia","Pohl ex Ser.","Vanilde Citadini- Zanette",NA,NA,NA,"V. Citadini-Zanette; C. Galvani & C. Gouchante","1996","05","08","Brasil","Santa Catarina","Imbituba","Maranata II.","-48.670556","-28.240556","48º40'14''W","28º14'26''S","38","38","CRI006571","CRI006571","2468","Habito: arvoreta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:25:09-03","UNESC","CRI","10019","PreservedSpecimen","Plantae","Cunoniaceae","Weinmannia","paulliniifolia","Weinmannia paulliniifolia","Pohl ex Ser.","A. L. de Gasper","2013","05","09","A.L. de Gasper; L.A. Funez","2013","05","04","Brasil",NA,"Brasil","APA da Aratinga.","-50.18","-29.357222","50º10'48''W","29º21'26''S","650","650","CRI006577","CRI006577","3101",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:25:09-03","UNESC","CRI","14224","PreservedSpecimen","Plantae","Cunoniaceae","Weinmannia","paulliniifolia","Weinmannia paulliniifolia","Pohl ex Ser.","Cadorin, TJ","2010","03","15","Cadorin, T.J.; Grosch, B. & Lopes, C.P.","2010","02","02","Brasil","Santa Catarina","Joinville","Rio Manso. Rio Manso.","-49.14","-26.28","49º8'24''W","26º16'48''S","770","770","CRI013388","CRI013388","1186","Coleta Extra IFFSC Habitat: Floresta Ombrófila Densa; Estágio Primário; entorno do fragmento Habito: Fruto infrutescência amarela;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:33:25-03","UNESC","CRI","1456","PreservedSpecimen","Plantae","Cunoniaceae","Weinmannia","paulliniifolia","Weinmannia paulliniifolia","Pohl ex Ser.","R. Negrelle",NA,NA,NA,"R. Negrelle; C. Fava","1993","01","20","Brasil","Santa Catarina","Itapoá","Reserva Volta Velha, na trilha.","-48.616389","-26.1175","48º36'59''W","26º7'3''S","9","9","CRI006570","CRI006570","600","Habito: árvore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:33:25-03","UNESC","CRI","3118","PreservedSpecimen","Plantae","Cunoniaceae","Weinmannia","paulliniifolia","Weinmannia paulliniifolia","Pohl ex Ser.","Marcos Sobral","1993","12","21","Robson dos Santos; Raquel Rejane Bonatto Negrelle","1993","12","21","Brasil","Santa Catarina","Itapoá","Reserva Volta Velha (Bairro Itapema Norte).","-48.616389","-26.1175","48º36'59''W","26º7'3''S","5","5","CRI006572","CRI006572","56","Habitat: mata Atlântica (formação terras baixas) Habito: árvore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:33:25-03","UNESC","CRI","6266","PreservedSpecimen","Plantae","Cunoniaceae","Weinmannia","paulliniifolia","Weinmannia paulliniifolia","Pohl ex Ser.","V. C. Zanette",NA,NA,NA,"Átila Portal","1997","01","20","Brasil","Santa Catarina","Praia Grande","Borda Canyon Malacara.","-49.9475","-29.195","49º56'51''W","29º11'42''S",NA,NA,"CRI006574","CRI006574",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:33:25-03","UNESC","CRI","8322","PreservedSpecimen","Plantae","Cunoniaceae","Weinmannia","paulliniifolia","Weinmannia paulliniifolia","Pohl ex Ser.","Vanilde Citadini- Zanette","2010",NA,NA,"Rafael Martins","2009","11","09","Brasil","Santa Catarina","Araranguá","Terras Baixas.","-49.486111","-28.935278","49º29'10''W","28º56'7''S","4","4","CRI006576","CRI006576",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
