"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","county","class","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","fieldNumber","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","228796","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Marcetia","lychnophoroides","Marcetia lychnophoroides","A.B.Martins","isotype","L. P. de Queiroz","1955","1987","10","11","South America","Brazil","Bahia","Município de Palmeiras, próximo á localidade de Caete Acú: Cachoeira da Fumaca (Glass)","-41.4547","-12.6003","1200","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=415781' target='other'> <mi>dwc_moreinfo</mi></a>","NY00228796","NY00228796_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","520958","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Marcetia","lychnophoroides","Marcetia lychnophoroides","A.B.Martins",NA,"R. M. Harley","26925","1988","11","19","South America","Brazil","Bahia","Morro do ouro. 9 km ao S da cidade na estrada para Ituaçú","-41.3","-13.7","1100","1100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=415780' target='other'> <mi>dwc_moreinfo</mi></a>","NY00520958","NY00520958_01","J. J. Wurdack","Barra da Estiva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-11-19 15:44:25-03","UNEB","HUNEB","498","PreservedSpecimen","Plantae","Angiospermae","Florideophycidae","Melastomataceae","Marcetia","lychnophoroides","Marcetia lychnophoroides","A.B.Martins",NA,"Queiroz, L.P.de","8389","1987","10","11",NA,"Brasil","Bahia",NA,"-41.45","-12.6","1200","1200",NA,NA,"HUNEB0000498",NA,NA,"Palmeiras","Dicotyledoneae","41W27'","12S36'",NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-10-09 11:20:11-03","UFBA","ALCB","03114","PreservedSpecimen","Plantae","Dicotyledon",NA,"Melastomataceae","Marcetia","lychnophoroides","Marcetia lychnophoroides","Martins, A.B.",NA,"Noblick, LR","1143","1979","04","24","Southern America","Brasil","Bahia","Chapada Diamantina","-41.383333","-12.55",NA,NA,NA,"7,0 m. Flores violetas.","ALCB062138",NA,"Guedes, ML","Lençóis",NA,"-41.383333","-12.55",NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-10-09 11:20:11-03","UFBA","ALCB","042890","PreservedSpecimen","Plantae","Dicotyledon",NA,"Melastomataceae","Marcetia","lychnophoroides","Marcetia lychnophoroides","Martins, A.B.","isótipo","Queiroz, LP de; et al.","1955","1987","10","11","Southern America","Brasil","Bahia","Chapada Diamantina, próximo localidade de Caeté Açú, Cachoeira da Fumaça.","-41.5","-12.666667","1200","1200",NA,"1,20 m. Folhas revolutas. Lascínios do cálice avermelhados na frutificação.","ALCB000109","ALCB000109","Martins, AB","Palmeiras",NA,"-41.5","-12.666667","1988",NA,NA,NA,NA,NA,NA,NA
"6","2019-10-09 11:20:11-03","UFBA","ALCB","15458","PreservedSpecimen","Plantae","Dicotyledon",NA,"Melastomataceae","Marcetia","lychnophoroides","Marcetia lychnophoroides","Martins, A.B.",NA,"Guedes, ML","741","1983","06","30","Southern America","Brasil","Bahia","Chapada Diamantina, Cachoeira Glass","-41.383333","-12.55",NA,NA,NA,"1,30 m. Folhas suculentas, discolores. Flores lilases; estames amarelos.","ALCB062139",NA,"Guedes, ML","Lençóis",NA,"-41.383333","-12.55",NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-10-09 11:20:11-03","UFBA","ALCB","19935","PreservedSpecimen","Plantae","Dicotyledon",NA,"Melastomataceae","Marcetia","lychnophoroides","Marcetia lychnophoroides","Martins, A.B.",NA,"Guedes, ML; et al.","1500","1987","10","11","Southern America","Brasil","Bahia","Chapada Diamantina, Cachoeira da Fumaca","-41.55","-12.516667",NA,NA,NA,"1,20m. Folhas suculentas, revolutas. Lacínios do calice avermelhado.","ALCB062140",NA,"Guedes, ML","Palmeiras",NA,"-41.55","-12.516667",NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-02-15 11:45:38-02","IPA","IPA","58237","S","Plantae","Plantae",NA,"Melastomataceae","Marcetia","lychnophoroides","Marcetia lychnophoroides","A.B. Martins","ISOTYPE","Queiroz, L.P. de; et al.; et al.","1955","1987","10","11","Southern America","Brasil","Bahia","próximo à localidade de Caeté Açu; Cachoeira da Fumaça (Glass).","-41.454722","-12.600278","120","120",NA,"Pequeno arbusto ca. 1,2m de altura, com folhas revolutas; lacínios do cálice avermelhados na frutificação.","IPA0058237","IPA0058237","Martins, A.B.","Palmeiras",NA,"-41.454722","-12.600278","1988",NA,NA,NA,NA,NA,NA,NA
"9","2021-03-01 16:34:25-03","UNICAMP","UEC","105368","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Marcetia","lychnophoroides","Marcetia lychnophoroides","A.B.Martins",NA,"Harley, RM; Hind, DJN; Cavalcanti, TB","26925","1988","11","19",NA,"Brazil","Bahia","Morro do Ouro, 9Km ao S da cidade na estrada para Ituaçú","-41.3","-13.7","1100","1100",NA,"Campos gerais e campo rupestre com afloramento rochoso. Campo pedregoso","UEC080621","UEC080621","Martins, AB","Barra da Estiva",NA,"-41.3","-13.7",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-01 16:34:25-03","UNICAMP","UEC","58372","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Marcetia","lychnophoroides","Marcetia lychnophoroides","A.B.Martins","paratypus","Queiroz, LP; et al.","1955","1987","10","11",NA,"Brazil","Bahia","Cachoeira da Fumaça, Próximo a Caeté-Açu","-41.5588989257812","-12.5289001464844","1200","1200",NA,"Pequeno arbusto de ca. 1,2m alt.; com folhas revolutas. Lavínios do cálice avermelhados na frutificação.","UEC055459","UEC055459","Martins, AB","Palmeiras",NA,NA,NA,"1992","09","24","20767","auto",NA,NA,NA
