"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","year","month","day","phylum","order","scientificNameAuthorship","identifiedBy","recordNumber","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","coordinatePrecision","geoFlag","infraspecificEpithet","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","fieldNumber","individualCount"
"1","2020-09-23 10:38:54-03","E","E","326871","PreservedSpecimen","Plantae","Ericaceae","Agarista","pulchra","Agarista pulchra","isotype","Sellow, F.","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:406171","<a href=http://data.rbge.org.uk/herb/E00326871 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00326871",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:39:02-03","E","E","326865","PreservedSpecimen","Plantae","Ericaceae","Leucothoe","pulchra","Leucothoe pulchra","isotype","[Lund?]","E. Tropical South America","BR","photograph of unspecified type","BGBASE:406157","<a href=http://data.rbge.org.uk/herb/E00326865 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00326865","1905","01","07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","02674827","PreservedSpecimen","Plantae","Ericaceae","Agarista","pulchra","Agarista pulchra",NA,"J. L. Paixão","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4168518' target='other'> <mi>dwc_moreinfo</mi></a>","NY02674827","2006","02","26","Magnoliophyta","Ericales","(Cham. & Schltdl.) G.Don","A. Sampaio","724","Bahia","Rio de Contas","Pico das Almas. 25 km do centro da cidade em direção ao Campo do Queriroz","-41.9503","-13.5503","1250","1600","NY02674827_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00943118","PreservedSpecimen","Plantae","Ericaceae","Agarista","pulchra","Agarista pulchra",NA,"M. M. N. Braga","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1064238' target='other'> <mi>dwc_moreinfo</mi></a>","NY00943118","1991","10","03","Magnoliophyta","Ericales","(Cham. & Schltdl.) G.Don","W. S. Judd","361","Minas Gerais",NA,"Serra do Cipó","-43.539757","-19.388386",NA,NA,"NY00943118_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00943123","PreservedSpecimen","Plantae","Ericaceae","Agarista","pulchra","Agarista pulchra",NA,"J. E. B. Warming","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1064252' target='other'> <mi>dwc_moreinfo</mi></a>","NY00943123",NA,NA,NA,"Magnoliophyta","Ericales","(Cham. & Schltdl.) G.Don","W. S. Judd","s.n.","Minas Gerais",NA,"Serra de Piedade.",NA,NA,NA,NA,"NY00943123_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00943117","PreservedSpecimen","Plantae","Ericaceae","Agarista","pulchra","Agarista pulchra",NA,"M. Horta","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1064234' target='other'> <mi>dwc_moreinfo</mi></a>","NY00943117","1988","07","29","Magnoliophyta","Ericales","(Cham. & Schltdl.) G.Don","W. S. Judd","350","Minas Gerais","Ouro Branco","Serra de Ouro Branco.","-43.6917","-20.5208",NA,NA,"NY00943117_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","02332208","PreservedSpecimen","Plantae","Ericaceae","Agarista","pulchra","Agarista pulchra",NA,"L. Riedel","South America","Brazil","sheet",NA,"Writing illegible. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2512221' target='other'> <mi>dwc_moreinfo</mi></a>","NY02332208","1834","11",NA,"Magnoliophyta","Ericales","(Cham. & Schltdl.) G.Don","W. S. Judd","2666",NA,NA,"Serra da Piedade.",NA,NA,NA,NA,"NY02332208_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","2423300","PreservedSpecimen","Plantae","Ericaceae","Agarista","pulchra","Agarista pulchra",NA,"J. d. Paula-Souza","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2685723' target='other'> <mi>dwc_moreinfo</mi></a>","NY02423300","2006","07","20","Magnoliophyta","Ericales","(Cham. & Schltdl.) G.Don",NA,"6287","Bahia","Lençóis","Estrada entre a BR-242 e Lençóis, ca. km 10","-41.3769","-12.5486","380",NA,"NY02423300_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00943116","PreservedSpecimen","Plantae","Ericaceae","Agarista","pulchra","Agarista pulchra",NA,"M. M. N. Braga","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1064230' target='other'> <mi>dwc_moreinfo</mi></a>","NY00943116","1990","10","19","Magnoliophyta","Ericales","(Cham. & Schltdl.) G.Don","W. S. Judd","344","Minas Gerais","Ouro Branco","Serra de Ouro Branco.","-43.6917","-20.5208",NA,NA,"NY00943116_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00943121","PreservedSpecimen","Plantae","Ericaceae","Agarista","pulchra","Agarista pulchra",NA,"A. F. C. P. Saint-Hilaire","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1064247' target='other'> <mi>dwc_moreinfo</mi></a>","NY00943121","1816",NA,NA,"Magnoliophyta","Ericales","(Cham. & Schltdl.) G.Don","W. S. Judd","s.n.","Minas Gerais",NA,NA,NA,NA,NA,NA,"NY00943121_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
