"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","year","month","day","continentOcean","country","locality","occurrenceRemarks","barcode","imagecode","phylum","recordNumber","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","identifiedBy","yearIdentified","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","typeStatus","individualCount"
"1","2020-02-08 10:35:37-03","NBC","NL-BOTANY","L.2877547","PreservedSpecimen","Plantae","Magnoliopsidae","Solanales","Solanaceae","Petunia","reitzii","Petunia reitzii","L.B.Sm. & Downs","Reitz R","1948","12","24","Southern America","Brazil","S. Catarina. Riosinho, Bom Retiro.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2877547 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2877547","NL-L2877547",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-04 11:20:00-03","ESALQ","ESA","107860","PreservedSpecimen","Plantae",NA,NA,"Solanaceae","Petunia","reitzii","Petunia reitzii",NA,"Loewille, B.","2007","04","09",NA,"Brasil",NA,NA,"ESA107860","ESA107860","Magnoliophyta","234.0","Santa Catarina","Urupema","-49.8731002807617","-27.9528007507324","23096","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-08-27 13:33:25-03","IAP","PACA-AGP","55619","PreservedSpecimen","Plantae","Magnoliatae","Solanales","Solanaceae","Petunia","reitzzi","Petunia reitzzi","L. B. Sm. & Downs.","Reitz, R.","1948","12","24",NA,"Brasil",NA,"Habitat: In campestribus graminosis Fenofase: flor roxa Hábito: erva","PACA055619",NA,"Magnoliophyta","5223","SC","Riosinho",NA,NA,NA,NA,"G. S. Vendruscolo","2007","1000","1000",NA,NA,NA,NA,NA,NA
"4","2021-03-01 16:41:34-03","UNICAMP","UEC","77948","S","Plantae",NA,NA,"Solanaceae","Petunia","reitzii","Petunia reitzii","L.B.Sm. & Downs","Stehmann, JR; Borba, EL; Ippolito, A; Reis, C","1995","12","06",NA,"Brazil","Paraíso da Serra (Riozinho).","Erva, em barranco na borda da estrada; corola cor pantone rhodamine red, anteras com pólen e estigma violáceos.","UEC058781","UEC058781","Magnoliopsida","1744","Santa Catarina","Bom Retiro","-49.432778","-27.875556",NA,NA,"Stehmann, JR",NA,NA,NA,"-49.432778","-27.875556",NA,NA,NA,NA
"5","2021-03-01 16:41:34-03","UNICAMP","UEC","77950","S","Plantae",NA,NA,"Solanaceae","Petunia","reitzii","Petunia reitzii","L.B.Sm. & Downs","Stehmann, JR; Borba, EL; Ippolito, A; Reis, C","1995","12","06",NA,"Brazil","Paraíso da Serra (Riozinho).","Erva, em barranco na borda da estrada; corola cor pantone rhodamine red, anteras com pólen e estigma violáceos.","UEC058780","UEC058780","Magnoliopsida","1742","Santa Catarina","Bom Retiro","-49.432778","-27.875556",NA,NA,"Stehmann, JR",NA,NA,NA,"-49.432778","-27.875556",NA,NA,NA,NA
"6","2021-03-01 16:41:34-03","UNICAMP","UEC","77951","S","Plantae",NA,NA,"Solanaceae","Petunia","reitzii","Petunia reitzii","L.B.Sm. & Downs","Stehmann, JR; Borba, EL; Ippolito, A; Reis, C","1995","12","06",NA,"Brazil","Paraíso da Serra (Riozinho).","Erva, em barranco na borda da estrada; corola cor pantone rhodamine red, anteras com pólen e estigma violáceos.","UEC058782","UEC058782","Magnoliopsida","1739","Santa Catarina","Bom Retiro","-49.432778","-27.875556",NA,NA,"Stehmann, JR",NA,NA,NA,"-49.432778","-27.875556",NA,NA,NA,NA
"7","2021-03-01 16:41:34-03","UNICAMP","UEC","77952","S","Plantae",NA,NA,"Solanaceae","Petunia","reitzii","Petunia reitzii","L.B.Sm. & Downs","Stehmann, JR; Borba, EL; Ippolito, A; Reis, C","1995","12","06",NA,"Brazil","Paraíso da Serra (Riozinho).","Erva, em barranco na borda da estrada; corola cor pantone rhodamine red, anteras com pólen e estigma violáceos.","UEC058784","UEC058784","Magnoliopsida","1741","Santa Catarina","Bom Retiro","-49.432778","-27.875556",NA,NA,"Stehmann, JR",NA,NA,NA,"-49.432778","-27.875556",NA,NA,NA,NA
"8","2020-12-21 16:45:34-03","MBM","MBM","214457","PreservedSpecimen","Plantae",NA,NA,"Solanaceae","Petunia","reitzii","Petunia reitzii","L.B.Sm. & Downs","Stehmann, J.R.; et al.; et al.",NA,NA,NA,"Southern America","Brazil","Paraíso da Serra",NA,"MBM214457","MBM214457",NA,"1742","Santa Catarina","Bom Retiro","-49.489200592041","-27.7971992492676","35974","auto","Stehmann, J.R.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-12-21 16:45:34-03","MBM","MBM","386932","PreservedSpecimen","Plantae",NA,NA,"Solanaceae","Petunia","reitzii","Petunia reitzii","L.B.Sm. & Downs","Cervi, A.C.; Barboza, E.; Cordeiro, J.; Barboza, E.; Cordeiro, J.","2013","11","05","Southern America","Brazil","Estrada Urubici, Rio Rufino","Erva apoiante, flores róseas.","MBM386932","MBM386932",NA,"10115","Santa Catarina","Urubici","-49.645033","-27.965028",NA,NA,"Barboza, E.","2013","1233","1233","-49.645033","-27.965028","12","03",NA,NA
"10","2020-12-21 16:45:34-03","MBM","MBM","386932","PreservedSpecimen","Plantae",NA,NA,"Solanaceae","Petunia","reitzii","Petunia reitzii","L.B.Sm. & Downs","Cervi, A.C.; Barboza, E.; Cordeiro, J.; Barboza, E.; Cordeiro, J.","2013","11","05","Southern America","Brazil","Estrada Urubici, Rio Rufino","Erva apoiante, flores róseas.","MBM386932","MBM386932",NA,"10115","Santa Catarina","Urubici","-49.645033","-27.965028",NA,NA,"Barboza, E.","2013","1233","1233","-49.645033","-27.965028","12","03",NA,NA
"11","2020-12-21 16:45:34-03","MBM","MBM","214456","PreservedSpecimen","Plantae",NA,NA,"Solanaceae","Petunia","reitzii","Petunia reitzii","L.B.Sm. & Downs","Stehmann, J.R.; et al.; et al.",NA,NA,NA,"Southern America","Brazil","Paraíso da Serra",NA,"MBM214456","MBM214456",NA,"1739","Santa Catarina","Bom Retiro","-49.489200592041","-27.7971992492676","35974","auto","Stehmann, J.R.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-12-21 16:45:34-03","MBM","MBM","298824","PreservedSpecimen","Plantae",NA,NA,"Solanaceae","Petunia","reitzii","Petunia reitzii","L.B.Sm. & Downs","Hatschbach, G.; Cervi, A.C.; Barboza, E.; Cervi, A.C.; Barboza, E.","2004","10","17","Southern America","Brazil","Bairro Bahia","Flor rosada. Paredão rochoso","MBM298824","MBM298824",NA,"78169","Santa Catarina","Urubici","-49.5917015075684","-28.0149993896484","30102","auto","Stehmann, J.R.","2009",NA,NA,NA,NA,"07","18",NA,NA
"13","2020-12-21 16:45:34-03","MBM","MBM","214433","PreservedSpecimen","Plantae",NA,NA,"Solanaceae","Petunia","reitzii","Petunia reitzii","L.B.Sm. & Downs","Stehmann, J.R.; et al.; et al.",NA,NA,NA,"Southern America","Brazil","Paraíso da Serra",NA,"MBM214433","MBM214433",NA,"1744","Santa Catarina","Bom Retiro","-49.489200592041","-27.7971992492676","35974","auto","Stehmann, J.R.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-12-11 11:41:56-03","UFMG","BHCB","80073","PreservedSpecimen","Plantae",NA,NA,"Solanaceae","Petunia","reitzii","Petunia reitzii","L.B.Sm. & Downs","Stehmann, JR; Lorenz, AP; Castro, IB; Heller, AA","2002","12","04","Southern America","Brasil","Paraíso da Serra","Erva decumbente; flores rosadas, estigma posicionado entre os pares de estames maior e médio","BHCB002716","BHCB002716","Dicotyledon","3337","Santa Catarina","Bom Retiro","-49.415297","-27.853689",NA,NA,NA,"2002","940","940","-49.415297","-27.853689",NA,NA,NA,NA
"15","2020-12-11 11:41:56-03","UFMG","BHCB","38656","PreservedSpecimen","Plantae",NA,NA,"Solanaceae","Petunia","reitzii","Petunia reitzii","L.B.Sm. & Downs",NA,NA,NA,NA,"Southern America","Brasil","Paraíso da Serra (Riozinho)",NA,NA,NA,"Dicotyledon","s.n.","Santa Catarina","Bom Retiro","-49.489200592041","-27.7971992492676","35974","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-12-11 11:41:56-03","UFMG","BHCB","38657","PreservedSpecimen","Plantae",NA,NA,"Solanaceae","Petunia","reitzii","Petunia reitzii","L.B.Sm. & Downs",NA,NA,NA,NA,"Southern America","Brasil","Paraíso da Serra (Riozinho)",NA,NA,NA,"Dicotyledon","s.n.","Santa Catarina","Bom Retiro","-49.489200592041","-27.7971992492676","35974","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2020-12-11 11:41:56-03","UFMG","BHCB","38655","PreservedSpecimen","Plantae",NA,NA,"Solanaceae","Petunia","reitzii","Petunia reitzii","L.B.Sm. & Downs",NA,NA,NA,NA,"Southern America","Brasil","Paraíso da Serra (Riozinho)",NA,NA,NA,"Dicotyledon","s.n.","Santa Catarina","Bom Retiro","-49.489200592041","-27.7971992492676","35974","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2020-12-11 11:41:56-03","UFMG","BHCB","56382","PreservedSpecimen","Plantae",NA,NA,"Solanaceae","Petunia","reitzii","Petunia reitzii","L.B.Sm. & Downs","Reitz, R","1948","12","24","Southern America","Brasil","Riozinho","Erva. Roxa.; Campo","BHCB035255",NA,"Dicotyledon","2760","Santa Catarina","Bom Retiro","-49.489200592041","-27.7971992492676","35974","auto",NA,"1964","1000","1000",NA,NA,NA,NA,"Typus",NA
"19","2020-09-12 05:00:02-03","US","US","1954568","PreservedSpecimen","Plantae","Dicotyledonae","Solanales","Solanaceae","Petunia","reitzii","Petunia reitzii","L.B. Sm. & Downs","R. Reitz","1948","12","24","South America","Brazil","Bom Retiro.",NA,"US00067630","US00067630_01",NA,"2760","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Holotype","1"
