"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","typeStatus","coordinatePrecision","geoFlag","monthIdentified","class","verbatimLongitude","verbatimLatitude","dayIdentified","fieldNumber","individualCount","relatedCatalogItem","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","1262345","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Hirtella","insignis","Hirtella insignis","Briq. ex Prance","G. T. Prance","M. M. M. Lopes","945","2006","07","02","South America","Brazil","Bahia","Porto Seguro","Estrada Eunápolis a Porto Seguro. RPPN Estação Veracruz. Mata de Mussununga. Proximidades do Bloco 6","-39.2022","-16.4192","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1530954' target='other'> <mi>dwc_moreinfo</mi></a>","NY01262345","NY01262345_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","378194","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Hirtella","insignis","Hirtella insignis","Briq. ex Prance","G. T. Prance","T. S. dos Santos","1677","1971","05","20","South America","Brazil","Bahia","Porto Seguro","Estrada a Sta. Cruz de Cabral","-39.0644","-16.4497","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=708353' target='other'> <mi>dwc_moreinfo</mi></a>","NY00378194","NY00378194_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","378196","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Hirtella","insignis","Hirtella insignis","Briq. ex Prance","G. T. Prance","W. W. Thomas","10212","1994","01","30","South America","Brazil","Bahia","Ilhéus","10 km south of Ilhéus (Pontal) on road to Olivença, then 3 km west, Fazenda Manquinho","-39.08","-14.92","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=708357' target='other'> <mi>dwc_moreinfo</mi></a>","NY00378196","NY00378196_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","95188","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Hirtella","insignis","Hirtella insignis","Briq. ex Prance","G. T. Prance","W. W. Thomas","8923","1992","01","29","South America","Brazil","Bahia",NA,"Along road from Olivença to Maruim, 5.4 km SW of Olivença.","-39.05","-14.98","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=708355' target='other'> <mi>dwc_moreinfo</mi></a>","NY00095188","NY00095188_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","378195","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Hirtella","insignis","Hirtella insignis","Briq. ex Prance","G. T. Prance","W. W. Thomas","6024","1988","02","18","South America","Brazil","Bahia","Una","4 km N of Comandatuba, ca. 10 km S of Una","-39.069442","-15.38","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=708354' target='other'> <mi>dwc_moreinfo</mi></a>","NY00378195","NY00378195_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","378190","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Hirtella","insignis","Hirtella insignis","Briq. ex Prance","G. T. Prance","A. Euponino","212","1972","08","02","South America","Brazil","Bahia","Porto Seguro","Km. 9 da Rod. P. Seguro/Eunapolis","-39.0644","-16.4497","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=708350' target='other'> <mi>dwc_moreinfo</mi></a>","NY00378190","NY00378190_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","686063","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Hirtella","insignis","Hirtella insignis","Briq. ex Prance","G. T. Prance","A. M. V. de Carvalho","7128","2002","03","16","South America","Brazil","Alagoas","Murici","Bananeiras","-35.8797","-9.2244","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=825110' target='other'> <mi>dwc_moreinfo</mi></a>","NY00686063","NY00686063_01","572","572",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","378193","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Hirtella","insignis","Hirtella insignis","Briq. ex Prance","G. T. Prance","T. S. dos Santos","2898","1975","02","22","South America","Brazil","Bahia","Valença","Km. 10 da Rod. Valença/Guaibim","-39.0731","-13.3706","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=708352' target='other'> <mi>dwc_moreinfo</mi></a>","NY00378193","NY00378193_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","378192","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Hirtella","insignis","Hirtella insignis","Briq. ex Prance",NA,"D. A. Folli","07670","1979","08","05","South America","Brazil","Espírito Santo","Linhares","Reserva Florestal da CVRD. Estr. 154 Km (?), lado esquerdo da contra-mao, vindo p/o escrit.","-40.0719","-19.3911","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=708359' target='other'> <mi>dwc_moreinfo</mi></a>","NY00378192","NY00378192_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","378189","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Hirtella","insignis","Hirtella insignis","Briq. ex Prance","G. T. Prance","J. R. Pirani","3585","1995","02","22","South America","Brazil","Espírito Santo","Itapemirim","Estrada para Marataízes. Perto do lixao, a ca. 3 km N de Marataízes","-40.8339","-21.0111","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=708358' target='other'> <mi>dwc_moreinfo</mi></a>","NY00378189","NY00378189_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
