"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","order","fieldNumber","preparationType","typeStatus","individualCount","class","previousCatalogNumber","sex"
"1","2019-10-09 11:28:31-03","UFBA","ALCB","037892","PreservedSpecimen","Plantae","Monocotyledon","Orchidaceae","Campylocentrum","crassirhizum","Campylocentrum crassirhizum","Hoehne","Pessoa, E","2007","01","18","Atkins, S; Saar, E; Passos Júnior, LA; Funch, L; Guedes, ML; Stannard, B","PCD4676","1997","01","29","Southern America","Brasil","Bahia","Lençóis","Chapada Diamantina, Remanso/Maribus","-41.316667","-12.65","-41.316667","-12.65","380","380","epífita. Folhas carnosas. Flores com pétalas externemente alaranjada e internamente alva. Raro.; Pântano do Rio Santo Antonio, com variada flora aquática e ilhas de matas mesófilas; árvore com ca. de 8-12 m","ALCB037898","ALCB037898",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-10-09 11:28:31-03","UFBA","ALCB","042788","PreservedSpecimen","Plantae","Monocotyledon","Orchidaceae","Campylocentrum","crassirhizum","Campylocentrum crassirhizum","Hoehne","Pessoa, E","2017","01","18","Stradmann, MTS; Poveda, A; Gomes, DF","0115","1995","03","03","Southern America","Brasil","Bahia","Lençóis","Chapada Diamantina, Trilha do Bodão, margem direita, afluente do rio Ribeirão, a 4 km aproximadamente após a Cachoeira do Sossego, sentido nascente. Parque Nacional da Chapada Diamantina","-41.45","-12.466667","-41.45","-12.466667",NA,NA,"Arbor¡cola, ca. 0,10 m. Folhas membran ceas, conc¢lores. Frequente.; Mata ciliar, de 15 a 20 m de largura, limitada por paredões rochosos, higrófila. Sub comunidade montana. Solo arenoso, com humos, associado aos afloramentos rochosos","ALCB037904","ALCB037904",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-10-09 11:28:31-03","UFBA","ALCB","09673","PreservedSpecimen","Plantae","Monocotyledon","Orchidaceae","Campylocentrum","crassirhizum","Campylocentrum crassirhizum","Hoehne","Pessoa, E","2017","01","18","Queiroz, LP de; Guedes, ML","327","1982","06","24","Southern America","Brasil","Bahia","Paulo Afonso","Nordeste, Reserva Ecológica do Raso da Catarina, Mata das Pororocas","-38.216667","-9.4","-38.216667","-9.4",NA,NA,"epífita. Monopodial de folhas suculentas concolores. Flores sigelas, amarelo-esverdeadas.","ALCB037903","ALCB037903",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-11-25 16:51:48-03","UFBA","ALCB","135520","PreservedSpecimen","Plantae","Monocotyledon","Orchidaceae","Campylocentrum","crassirhizum","Campylocentrum crassirhizum","Hoehne","Lopes, EB","2018","04",NA,"Lopes, EB; Guedes, ML","84","2018","11","17","Southern America","Brasil","Bahia","Wagner","Mata ciliar do rio Tijuco.","-41.256944","-12.225833","-41.256944","-12.225833",NA,NA,"Erva epífita, folhas concolores; frutos maduros, abertos com numerosas sementes amarelas.","ALCB064241","ALCB064241",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-10-09 11:28:31-03","UFBA","ALCB","69914","PreservedSpecimen","Plantae","Monocotyledon","Orchidaceae","Campylocentrum","crassirhizum","Campylocentrum crassirhizum","Hoehne","Pessoa, E","2017","01","18","Costa, MA; Guedes, ML; Campos, G; Carvalho, G","91","2006","01","29","Southern America","Brasil","Bahia","Amargosa","Recôncavo Sul","-39.6","-13.016667","-39.6","-13.016667",NA,NA,"Trepadeira crassa. Folhas crassas, discolores. Inflorescência com botões esverdeados. Tépalas esverdeadas., carnosas; labelo amarelo.","ALCB037900","ALCB037900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-11-04 12:17:23-03","ESALQ","ESA","101025","PreservedSpecimen","Plantae","Magnoliophyta","Orchidaceae","Campylocentrum","crassirhizum","Campylocentrum crassirhizum","Hoehne","Pessoa, E.","2013","08","19","Stehmann, J.R.","4502.0","2006","11","22",NA,"Brasil","Minas Gerais","Itamonte",NA,"-44.8699989318848","-22.283899307251",NA,NA,NA,NA,NA,"ESA101025",NA,"26914","auto",NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-11-04 12:17:23-03","ESALQ","ESA","101887","PreservedSpecimen","Plantae","Magnoliophyta","Orchidaceae","Campylocentrum","crassirhizum","Campylocentrum crassirhizum","Hoehne","Pessoa, E.","2013","08","19","Oriani, A.","561.0","2005","03","23",NA,"Brasil","São Paulo","Eldorado",NA,"-48.0999984741211","-24.5200004577637",NA,NA,NA,NA,NA,"ESA101887",NA,"38804","auto",NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-11-04 12:17:23-03","ESALQ","ESA","115262","PreservedSpecimen","Plantae","Magnoliophyta","Orchidaceae","Campylocentrum","crassirhizum","Campylocentrum crassirhizum","Hoehne","Pessoa, E.","2013","08","19","Meirelles, J.","527.0","2011","04","15",NA,"Brasil","Espírito Santo","Linhares",NA,"-40.0722007751465","-19.3910999298096",NA,NA,NA,NA,NA,"ESA115262",NA,"48094","auto",NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-11-04 12:17:23-03","ESALQ","ESA","79808","PreservedSpecimen","Plantae","Magnoliophyta","Orchidaceae","Campylocentrum","crassirhizum","Campylocentrum crassirhizum","Hoehne","Pessoa, E.","2013","08","19","Bortoleto, S.; Araújo, A.O.; Freire, R.A.P.; Capretz, R.L.; Castellen, M.; Rodrigues, R.R.; Souza, V.C.; Tamashiro, J.Y.; Franco, G.C.; Forster, W.; Ivanauskas, N.M.","65.0","2002","04","21",NA,"Brasil","São Paulo","Sete Barras","BLOQUEADO","-47.9199981689453","-24.3799991607666",NA,NA,NA,NA,"Epífita a 3,0 m de altura no hospedeiro. Flores brancas.","ESA079808",NA,"34059","auto",NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-11-04 12:17:23-03","ESALQ","ESA","79829","PreservedSpecimen","Plantae","Magnoliophyta","Orchidaceae","Campylocentrum","crassirhizum","Campylocentrum crassirhizum","Hoehne","Pessoa, E.","2013","08","19","Farias, R.; Rolim, S.G.; Uliana, V.L.C.R.; Righi, C.A.; Scaramuzza, C.A.M.; Rodrigues, R.R.; Souza, V.C.; Tamashiro, J.Y.; Franco, G.C.; Forster, W.; Ivanauskas, N.M.","678.0","2002","04","22",NA,"Brasil","São Paulo","Sete Barras","BLOQUEADO","-47.9199981689453","-24.3799991607666",NA,NA,"300","300","Epífita sobre árvore a 2,5 m. Flores brancas.","ESA079829",NA,"34059","auto",NA,NA,NA,NA,NA,NA,NA,NA
