"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","continentOcean","country","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","scientificNameAuthorship","identifiedBy","year","month","day","stateProvince","county","coordinatePrecision","geoFlag","infraspecificEpithet","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","sex","class","relatedCatalogItem","individualCount","fieldNumber","previousCatalogNumber"
"1","2016-09-27 07:23:00-03","NY","NYBG","53521","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Meliaceae","Cedrela","guianensis","Cedrela guianensis","type","Collector unspecified","s.n.","South America","French Guiana","Saül and vicinity: Route de Bélizon. Close to Eaux Claires.","-53.2","3.62","200","400","sheet","collector as Martin <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=610638' target='other'> <mi>dwc_moreinfo</mi></a>","NY00053521","NY00053521_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","865827","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Meliaceae","Cedrela","odorata","Cedrela odorata",NA,"K. Kainer","54","South America","Brazil","Seringal [Reserva Extrativista] Cachoeira, Colocaçao Retiro.","-68.5042","-10.6519",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=316971' target='other'> <mi>dwc_moreinfo</mi></a>","NY00865827","NY00865827_01","L.","D. C. Daly","1989","10","26","Acre","Xapuri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00837153","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Meliaceae","Cedrela","odorata","Cedrela odorata",NA,"H. S. Irwin","14046","South America","Brazil","Côrrego Landim, ca. 20 km N.E. of Brasília","-47.78471","-15.6555","950","950","separate fruit","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=927449' target='other'> <mi>dwc_moreinfo</mi></a>","NY00837153",NA,"L.","T. D. Pennington","1966","03","17","Distrito Federal","Brasília",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","330752","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Meliaceae","Cedrela","odorata","Cedrela odorata",NA,"M. Silveira","1608","South America","Brazil","Rio Purus, margem esquerda, seringal Escondido, colocaçao Sao Sebastiao.","-69.5508","-8.9919",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=316990' target='other'> <mi>dwc_moreinfo</mi></a>","NY00330752","NY00330752_01","L.","T. D. Pennington","1996","11","27","Acre","Manoel Urbano",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00841401","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Meliaceae","Cedrela","odorata","Cedrela odorata",NA,"W. A. Ducke","2533","South America","Brazil","São Gerardo, n'um velho sítio.","-38.5431","-3.7172",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=925982' target='other'> <mi>dwc_moreinfo</mi></a>","NY00841401","NY00841401_01","L.","B. T. Styles","1956","03","07","Ceará","Fortaleza",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","3107806","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Meliaceae","Cedrela","odorata","Cedrela odorata",NA,"J. L. Clark","826","South America","Ecuador","The Mache-Chindul Ecological Reserve. Bilsa Biological Station. Mache Mountains, 35 km W of Quinindé, 5 km W of Santa Isabel. Rana Roja trail.","-79.73","0.35","400","600","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2897241' target='other'> <mi>dwc_moreinfo</mi></a>","NY03107806","NY03107806_01","L.",NA,"1995","05","10","Esmeraldas","Quinindé",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-09-30 04:28:00-03","NY","NYBG","01142219","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Meliaceae","Cedrela","odorata","Cedrela odorata",NA,"T. N. Guedes","257","South America","Brazil","Museo Goeldi. Belem.","-48.4765479","-1.4534887",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1575029' target='other'> <mi>dwc_moreinfo</mi></a>","NY01142219","NY01142219_01",NA,"T. D. Pennington","1950","04","14","Pará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","865937","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Meliaceae","Cedrela","odorata","Cedrela odorata",NA,"B. A. Krukoff","5400","South America","Brazil","Basin of Rio Purus, near mouth of Rio Macauhan, (tributary of the Rio Iaco).","-69","-9.33",NA,NA,"separate fruit","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=956058' target='other'> <mi>dwc_moreinfo</mi></a>","NY00865937",NA,"L.",NA,"1933","08","11","Acre",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1239667","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Meliaceae","Cedrela","odorata","Cedrela odorata",NA,"R. Vásquez Martínez","10975","South America","Peru","Puerto Almendras, Río Nanya.","-73.42","-3.8","122",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1483097' target='other'> <mi>dwc_moreinfo</mi></a>","NY01239667",NA,"L.","T. D. Pennington","1988","07","18","Loreto","Maynas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","02859017","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Meliaceae","Cedrela","odorata","Cedrela odorata",NA,"W. Castro","112","South America","Brazil","Floresta Nacional do Jamari, departing from km 574 of BR-364 (= 28 km W of Itapuã do Oeste), ca. 22 km on P-1 access road of AMATA company, then right on side road.","-62.97945","-9.38108","86",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2602834' target='other'> <mi>dwc_moreinfo</mi></a>","NY02859017","NY02859017_01","L.","T. D. Pennington","2011","12","06","Rondônia","Itapuã do Oeste",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
