"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","phylum","order","continentOcean","fieldNumber","preparationType","imagecode","typeStatus","class","dayIdentified","coordinatePrecision","geoFlag","previousCatalogNumber"
"1","2019-12-12 15:31:31-03","UFABC","HUFABC","001686","PreservedSpecimen","Plantae","Dicranaceae","Atractylocarpus","brasiliensis","Atractylocarpus brasiliensis","(Müll. Hal.) R.S. Willians","Peralta, DF","2017","08","Yano, O; Marcelli, MP; Resende, A","16736","1922","05","18","Brasil","São Paulo","São Paulo","Parque Estadual da Cantareira","-46.381","-23.3251","-46.381","-23.3251","1","1","Sobre pedra encharcada exposta ao sol","HUFABC001686",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-16 17:55:25-03","UCS","HUCS","45947","PreservedSpecimen","Plantae","Dicranaceae","Atractylocarpus","brasiliensis","Atractylocarpus brasiliensis","(Müll. Hal.) R.S. Willians","Peralta, D.F.","2019","07","Gonzatti, F.","984","2013","12","11","Brasil","Rio Grande do Sul","São Francisco de Paula","Loteamento Alpa","-50.611028","-29.462614","-50.611028","-29.462614","888","888","Musgo rupícola em paredão úmido, ao lado de cachoeira.",NA,"Bryophyta","Dicranales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-16 17:55:25-03","UCS","HUCS","46926","PreservedSpecimen","Plantae","Dicranaceae","Atractylocarpus","brasiliensis","Atractylocarpus brasiliensis","(Müll. Hal.) R.S. Willians","Vital, D.M.",NA,NA,"Vital, D.M.","7419","1977","07","24","Brasil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia","-44.633333","-22.383333","-44.633333","-22.383333","2350","2350","on rocks under shurubs, near by the entrance of a small cave, near the Pico das Agulhas Negras",NA,"Bryophyta","Dicranales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-05-02 10:52:47-03","IBt","SP-BRYOPHYTA","135045","S","Plantae","Dicranaceae","Atractylocarpus","brasiliensis","Atractylocarpus brasiliensis","(Müll. Hal.) R.S. Williams","Yano, O.; Peralta, D.F.","2005","11","Vital, D.M.","6010","1976","04","03","BRASIL","Bahia","Piritiba","Along road BA - 052, Km 214","-40.555278","-11.730278","-40.555278","-11.730278","560","560","on rotten fallen tree trunk","SP071654",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-05-02 10:52:47-03","IBt","SP-BRYOPHYTA","135054","S","Plantae","Dicranaceae","Atractylocarpus","brasiliensis","Atractylocarpus brasiliensis","(Müll. Hal.) R.S. Williams","Yano, O.; Peralta, D.F.","2005","11","Vital, D.M.","6019","1976","04","03","BRASIL","Bahia","Morro do Chapéu","Along road BA - 052, Km 241","-41.156111","-11.55","-41.156111","-11.55","1010","1010","on rotten tree trunk, fallen in a low forest","SP071663",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-05-02 10:52:47-03","IBt","SP-BRYOPHYTA","135099","S","Plantae","Dicranaceae","Atractylocarpus","brasiliensis","Atractylocarpus brasiliensis","(Müll. Hal.) R.S. Williams","Yano, O.; Peralta, D.F.","2005","11","Vital, D.M.","6087","1976","04","07","BRASIL","Bahia","Cristopolis","Along BR - 242","-44.420833","-12.233611","-44.420833","-12.233611","690","690","on sandy soil, under trees, in a cerrado vegetation","SP071708",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-05-02 10:52:48-03","IBt","SP-BRYOPHYTA","136447","S","Plantae","Dicranaceae","Atractylocarpus","brasiliensis","Atractylocarpus brasiliensis","(Müll. Hal.) R.S. Williams","Vital, D.M.",NA,NA,"Vital, D.M.","7419","1977","07","24","BRASIL","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia","-44.633333","-22.383333","-44.633333","-22.383333","2350","2350","on rocks under shurubs, near by the entrance of a small cave, near the Pico das Agulhas Negras","SP073021",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2009-09-08 19:25:00-03","MO","MOBOT","90088793","PreservedSpecimen","Plantae","Dicranaceae","Atractylocarpus","brasiliensis","Atractylocarpus brasiliensis","(Müll. Hal.) R.S. Williams","JPF",NA,NA,"Jan-Peter Frahm","Frahm 1534","1977","7","20","Brazil","Rio de Janeiro",NA,"Serra do Mar zwischen Parati und Cunha.","-44.71666","-23.21666",NA,NA,"1200.00000000",NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2017-05-17 14:39:32-03","MNHN","RECOLNAT_MNHN_PC","PC0657682","PreservedSpecimen",NA,"Dicranaceae","Atractylocarpus","brasiliensis","Atractylocarpus brasiliensis","(Müll.Hal.) R.S.Williams",NA,NA,NA,"Ule, E.",NA,"1894","2",NA,"Brésil",NA,NA,"Serra do Itatiaia, Lagoa, in palude",NA,NA,NA,NA,"2300",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/pc/pc0657682' target='other'> <mi>dwc_moreinfo</mi></a>","PC0657682",NA,NA,NA,"109","hb","PC0657682_01 PC0657682_02",NA,NA,NA,NA,NA,NA
"10","2017-11-30 16:32:14-02","MNHN","RECOLNAT_MNHN_PC","PC0109569","PreservedSpecimen",NA,"Dicranaceae","Atractylocarpus","brasiliensis","Atractylocarpus brasiliensis","(Müll.Hal.) R.S.Williams",NA,NA,NA,"Ule, E.H.G.",NA,NA,NA,NA,"Brésil",NA,NA,"Brésil",NA,NA,NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/pc/pc0109569' target='other'> <mi>dwc_moreinfo</mi></a>","PC0109569",NA,NA,NA,NA,"hb","PC0109569_01 PC0109569_02","type",NA,NA,NA,NA,NA
"11","2015-10-19 06:06:14-02","MNHN","RECOLNAT_MNHN_PC","PC0695773","PreservedSpecimen",NA,"Dicranaceae","Atractylocarpus","brasiliensis","Atractylocarpus brasiliensis","(Müll.Hal.) R.S.Williams",NA,NA,NA,"Ule, E.",NA,"1894","2",NA,"brésil",NA,NA,"Serra do Itatiaia, Lagoa, in palude",NA,NA,NA,NA,"2300",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/pc/pc0695773' target='other'> <mi>dwc_moreinfo</mi></a>","PC0695773",NA,NA,NA,"109","hb","PC0695773_01 PC0695773_02","isotype",NA,NA,NA,NA,NA
"12","2015-10-19 06:06:33-02","MNHN","RECOLNAT_MNHN_PC","PC0695774","PreservedSpecimen",NA,"Dicranaceae","Atractylocarpus","brasiliensis","Atractylocarpus brasiliensis","(Müll.Hal.) R.S.Williams",NA,NA,NA,"Ule, E.",NA,"1894","2",NA,"brésil",NA,NA,"Serra do Itatiaia, Lagoa, in palude",NA,NA,NA,NA,"2300",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/pc/pc0695774' target='other'> <mi>dwc_moreinfo</mi></a>","PC0695774",NA,NA,NA,"109","hb","PC0695774_01 PC0695774_02","isotype",NA,NA,NA,NA,NA
"13","2018-09-11 10:51:53-03","MNHN","RECOLNAT_MNHN_PC","PC0148792","PreservedSpecimen",NA,"Dicranaceae","Campylopus","brasiliensis","Campylopus brasiliensis","Thér.","Thériot",NA,NA,"Massart, J.",NA,"1922","10",NA,"Brésil",NA,NA,"Reserve florestal de Itatiaya",NA,NA,NA,NA,"2850",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/pc/pc0148792' target='other'> <mi>dwc_moreinfo</mi></a>","PC0148792",NA,NA,NA,"3360","hb","PC0148792_01 PC0148792_02","type",NA,NA,NA,NA,NA
"14","2020-12-27 13:39:09-03","MN","R-BRYOPHYTA","225941","PreservedSpecimen","Plantae","Calymperaceae","Atractylocarpus","brasiliensis","Atractylocarpus brasiliensis","(Müll. Hal.) R.S. Williams","Dias, M.S.","2019","06","Neves, B.F.S. 319; Kessous, I.M.",NA,NA,NA,NA,"Brasil","São Paulo","Bananal","Serra da Bocaina","-44.3199996948242","-22.6800003051758",NA,NA,NA,NA,NA,"R000225941","Bryophyta","Bryales",NA,NA,NA,NA,NA,"Bryopsida","14","26795","auto",NA
"15","2020-04-23 15:02:41-03","MN","R-BRYOPHYTA","237237","PreservedSpecimen","Plantae","Dicranaceae","Atractylocarpus","brasiliensis","Atractylocarpus brasiliensis","(Müll. Hal.) R.S. Williams","Dias, M.S.","2017","06","Dias, M.S.","1608",NA,NA,NA,"Brasil","Rio de Janeiro","Nova Friburgo","São Pedro da Serra","-42.5311012268066","-22.2819004058838",NA,NA,NA,NA,NA,"R000237237","Bryophyta","Dicranales",NA,NA,NA,"R000237237_001",NA,"Bryopsida",NA,"33190","auto",NA
"16","2020-04-23 15:02:41-03","MN","R-BRYOPHYTA","232342","PreservedSpecimen","Plantae","Dicranaceae","Atractylocarpus","brasiliensis","Atractylocarpus brasiliensis","(Müll. Hal.) R.S. Williams","Dias, M.S.","2017","04","Dias, M.S.","1585",NA,NA,NA,"Brasil","Rio de Janeiro","Nova Friburgo","São Pedro da Serra","-42.5311012268066","-22.2819004058838",NA,NA,NA,NA,"Sematophyllum","R000232342","Bryophyta","Dicranales",NA,NA,NA,"R000232342_001",NA,"Bryopsida",NA,"33190","auto",NA
"17","2020-04-23 15:02:41-03","MN","R-BRYOPHYTA","237380","PreservedSpecimen","Plantae","Dicranaceae","Atractylocarpus","brasiliensis","Atractylocarpus brasiliensis","(Müll. Hal.) R.S. Williams","Dias, M.S.","2017","06","Dias, M.S.","1621",NA,NA,NA,"Brasil","Rio de Janeiro","Nova Friburgo","São Pedro da Serra","-42.5311012268066","-22.2819004058838",NA,NA,NA,NA,NA,"R000237380","Bryophyta","Dicranales",NA,NA,NA,"R000237380_001",NA,"Bryopsida",NA,"33190","auto",NA
"18","2016-08-23 11:24:42-03","NHMLondon","NHM-LONDON-BOT","BM000866675","S","Plantae","Dicranaceae","Atractylocarpus","brasiliensis","Atractylocarpus brasiliensis","(Müll.Hal.) R.S.Williams",NA,NA,NA,"Ernst Heinrich Georg Ule; b.1854; d.1915; Ule","109","1894","02",NA,"Brasil","Minas Gerais",NA,NA,"-44.096503","-19.690239","-44.096503","-19.690239",NA,NA,"Habitat: In palude<a href=http://www.nhm.ac.uk/services/media-store/asset/8ffb630563f55b7c5660e741789987a2f97a83eb/contents/preview target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,"Type ?; Original Material",NA,NA,NA,NA,"NHMUK:ecatalogue:548775"
"19","2016-08-23 10:59:10-03","NHMLondon","NHM-LONDON-BOT","BM000866676","S","Plantae","Dicranaceae","Atractylocarpus","brasiliensis","Atractylocarpus brasiliensis","(Müll.Hal.) R.S.Williams",NA,NA,NA,"Ernst Heinrich Georg Ule; b.1854; d.1915; Ule","109","1894","02",NA,"Brasil","Minas Gerais",NA,NA,"-44.096503","-19.690239","-44.096503","-19.690239",NA,NA,"Habitat: In palude<a href=http://www.nhm.ac.uk/services/media-store/asset/653278584350107dcc267712a35c376364b7f02e/contents/preview target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,"Type ?; Original Material",NA,NA,NA,NA,"NHMUK:ecatalogue:548795"
"20","2016-08-23 11:24:42-03","NHMLondon","NHM-LONDON-BOT","BM000866677","S","Plantae","Dicranaceae","Atractylocarpus","brasiliensis","Atractylocarpus brasiliensis","(Müll.Hal.) R.S.Williams",NA,NA,NA,"Ernst Heinrich Georg Ule; b.1854; d.1915; Ule","109","1894","02",NA,"Brasil","Minas Gerais",NA,NA,"-44.096503","-19.690239","-44.096503","-19.690239",NA,NA,"Habitat: In palude<a href=http://www.nhm.ac.uk/services/media-store/asset/7065ac8045aff16929a26f1c7ec45424fa53b4df/contents/preview target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,"Type ?; Original Material",NA,NA,NA,NA,"NHMUK:ecatalogue:548796"
"21","2016-08-23 10:59:10-03","NHMLondon","NHM-LONDON-BOT","BM000866678","S","Plantae","Dicranaceae","Atractylocarpus","brasiliensis","Atractylocarpus brasiliensis","(Müll.Hal.) R.S.Williams",NA,NA,NA,"Ernst Heinrich Georg Ule; b.1854; d.1915; Ule","109","1894","02",NA,"Brasil","Minas Gerais",NA,NA,"-44.096503","-19.690239","-44.096503","-19.690239",NA,NA,"Habitat: In palude<a href=http://www.nhm.ac.uk/services/media-store/asset/0333eef5cdb4fe5c7c893db6bb46505f1207c5c9/contents/preview target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,"Type ?; Original Material",NA,NA,NA,NA,"NHMUK:ecatalogue:548797"
