"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","recordNumber","class","order","typeStatus","continentOcean","relatedCatalogItem","previousCatalogNumber","coordinatePrecision","geoFlag","individualCount","phylum"
"1","2021-04-05 14:25:02-03","UNESC","CRI","10894","PreservedSpecimen","Plantae","Begoniaceae","Begonia","biguassuensis","Begonia biguassuensis","Brade","Humberto de Bona Martins","Vanilde C. Zanette","2014","10","27","Brasil","Santa Catarina","Grão Pará","lado Norte.","-49.215","-28.185556","49º12'54''W","28º11'8''S","Habitat: interior da mata","CRI001575","CRI001575",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:02-03","UNESC","CRI","13577","PreservedSpecimen","Plantae","Begoniaceae","Begonia","biguassuensis","Begonia biguassuensis","Brade","Renato Colares & Aline Votri Guislon","Lucas Oliveira; Guilherme Elias, Peterson Padilha & Robson dos Santos","2016","12","15","Brasil","Santa Catarina","Treviso","Dois Dedos.","-49.525","-28.511111","49º31'30''W","28º30'40''S","Habito: Herbácea","CRI012184",NA,"2018","08","03","743","743",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:19-03","UNESC","CRI","1700","PreservedSpecimen","Plantae","Begoniaceae","Begonia","biguassuensis","Begonia biguassuensis","Brade","Marco Sobral","V. Citadini-Zanette; C. M. Martinello, Z.P. Topanotti","1993","01","22","Brasil","Santa Catarina","Orleans",NA,"-49.291667","-28.359444","49º17'30''W","28º21'34''S",NA,"CRI001526","CRI001526",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:02-03","UNESC","CRI","632","PreservedSpecimen","Plantae","Begoniaceae","Begonia","biguassuensis","Begonia biguassuensis","Brade","Vanilde Citadini- Zanette","Vanilde Citadini-Zanette; Aurélio José de Aguiar","1990","11","14","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S",NA,"CRI001576","CRI001576",NA,NA,NA,"300","300","982",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 08:59:00-03","NBC","NL-BOTANY","U 0000716","PreservedSpecimen","Plantae","Begoniaceae","Begonia","biguassuensis","Begonia biguassuensis","Brade","Brade AC","Reitz R","1945","01","17","Brazil","Santa Catarina",NA,"Fachinal, Biguaçu",NA,NA,NA,NA,"Terrestre de mata virgem<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200000716 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0000716","NL-U0000716",NA,NA,NA,NA,NA,NA,"Magnoliopsidae","Cucurbitales","isotype","Southern America","58591 B",NA,NA,NA,NA,NA
"6","2020-02-27 16:43:49-03","UFSC","CTBS","2063","PreservedSpecimen","Plantae","Begoniaceae","Begonia","biguassuensis","Begonia biguassuensis","Brade","Santos, E.R.","Santos, E.R.","2012","10","19","Brasil","Santa Catarina","Herval do Oeste","Linha Pinheirinho",NA,NA,NA,NA,"Flores brancas.",NA,NA,"2013","10","25",NA,NA,"17",NA,NA,NA,NA,NA,"CTBS 1631",NA,NA,NA,NA
"7","2020-02-27 16:43:49-03","UFSC","CTBS","1631","PreservedSpecimen","Plantae","Begoniaceae","Begonia","biguassuensis","Begonia biguassuensis","Brade","E.R. Santos","Santos, E.R.","2012","10","19","Brasil","Santa Catarina","Herval do Oeste","Linha Pinheirinho",NA,NA,NA,NA,"flores brancas",NA,NA,"2013","10","25",NA,NA,"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-10 14:35:01-03","UFSC","CTBS","2082","PreservedSpecimen","Plantae","Begoniaceae","Begonia","biguassuensis","Begonia biguassuensis","Brade","Santos, E.R.","Becker, D.; Iganci, J.; Ribeiro, E.; Nicolao & Santos, E.R.","2012","09","08","Brasil","Santa Catarina","Urubici","Serra do Corvo Branco.","-49.367047","-28.05605","49°22'1.37W","28° 3'21.78S","Na encosta do paredão que a estrada corta. Planta estéril.",NA,NA,"2013","10","04",NA,NA,"9",NA,NA,NA,NA,NA,"CTBS 1628",NA,NA,NA,NA
"9","2021-03-10 14:35:01-03","UFSC","CTBS","1628","PreservedSpecimen","Plantae","Begoniaceae","Begonia","biguassuensis","Begonia biguassuensis","Brade","E.R. Santos","Santos, E.R.; Iganci, João Ricardo Vieira; Becker, D. & Nicolao, Rodrigo","2012","09","07","Brasil","Santa Catarina","Urubici","Serra do Corvo Branco","-49.367047","-28.05605","49°22'1.37W","28° 3'21.78S","Na encosta do paredão que a estrada corta. Planta estéril",NA,NA,"2013","10","04",NA,NA,"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-10 14:35:01-03","UFSC","CTBS","1622","PreservedSpecimen","Plantae","Begoniaceae","Begonia","biguassuensis","Begonia biguassuensis","Brade","E.R. Santos","Santos, E.R.; Iganci, João Ricardo Vieira; Becker, D. & Nicolao, Rodrigo","2012","09","07","Brasil","Santa Catarina","Urubici","Serra do Corvo Branco, proximo ao mirante","-49.367047","-28.05605","49°22'1.37W","28° 3'21.78S","Na encosta do paredão que a estrada corta. Com fruto seco",NA,NA,"2013","09","08",NA,NA,"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
