"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","preparationType","occurrenceRemarks","barcode","imagecode","locality","yearIdentified","county","monthIdentified","class","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","fieldNumber","minimumElevationInMeters","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","01212585","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","maguirei","Pouteria maguirei","(Aubrév.) T.D.Penn.","T. D. Pennington","W. A. Ducke","262","1936","09","03","South America","Brazil","Amazonas","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1462440' target='other'> <mi>dwc_moreinfo</mi></a>","NY01212585","NY01212585_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01174711","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","maguirei","Pouteria maguirei","(Aubrév.) T.D.Penn.","M. H. Terra-Araújo","K. Kubitzki","79 160",NA,NA,NA,"South America","Brazil","Amazonas","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1395681' target='other'> <mi>dwc_moreinfo</mi></a>","NY01174711","NY01174711_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01212058","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","maguirei","Pouteria maguirei","(Aubrév.) T.D.Penn.","T. D. Pennington","R. de Lemos Fróes","454","1941","12","20","South America","Brazil","Amazonas","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1461856' target='other'> <mi>dwc_moreinfo</mi></a>","NY01212058","NY01212058_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01212059","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","maguirei","Pouteria maguirei","(Aubrév.) T.D.Penn.","T. D. Pennington","R. de Lemos Fróes","22327","1947","05","18","South America","Brazil","Amazonas","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1461857' target='other'> <mi>dwc_moreinfo</mi></a>","NY01212059","NY01212059_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01212060","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","maguirei","Pouteria maguirei","(Aubrév.) T.D.Penn.",NA,"G. T. Prance","1384","1965","09","20","South America","Brazil","Pará","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1461858' target='other'> <mi>dwc_moreinfo</mi></a>","NY01212060","NY01212060_01","Rios Pacaja and Muirapiranga. Km. 0-1.5. Line SW of Ilha de Breu.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01212057","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","maguirei","Pouteria maguirei","(Aubrév.) T.D.Penn.","T. D. Pennington","R. de Lemos Fróes","590","1942","02","03","South America","Brazil","Amazonas","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1461855' target='other'> <mi>dwc_moreinfo</mi></a>","NY01212057","NY01212057_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01212056","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","maguirei","Pouteria maguirei","(Aubrév.) T.D.Penn.","T. D. Pennington","R. de Lemos Fróes","22405","1947","06","18","South America","Brazil","Amazonas","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1461854' target='other'> <mi>dwc_moreinfo</mi></a>","NY01212056",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-30 12:49:34-03","EAO","IAN","103743","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Sapotaceae","Pouteria","maguirei","Pouteria maguirei","(Aubrév.) T.D. Penn.","Pennington, TD","Fróes, RL","22405","1947","06","18","Southern America","Brasil","Amazonas",NA,"Tree 30 feet, 8 large polpy edible fruit.","IAN103743",NA,"Rio Negro, igapó.","1990","Tapuruquara",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-30 12:49:34-03","EAO","IAN","117027","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Sapotaceae","Pouteria","maguirei","Pouteria maguirei","(Aubrév.) T.D. Penn.","Pennington, TD","Prance, GT; Pennington, TD","1384","1965","09","20","Southern America","Brasil","Pará",NA,"Tree, 30m x 30cm diameter. Flowers greenish-white.","IAN117027",NA,"Km 0 - 1.5. Line SW of Ilha de Breu. Forest on terra firme.","1994",NA,"06",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-30 12:49:34-03","EAO","IAN","149806","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Sapotaceae","Pouteria","maguirei","Pouteria maguirei","(Aubrév.) T.D. Penn.","Pennington, TD","Rosa, NA","377","1975","05","18","Southern America","Brasil","Amazonas",NA,"Árvore de 5m e 70cm de circunferência. Leite branco. Frutos ferruginosos.","IAN149806",NA,"Rio Negro, próximo a São Felipe.","1994",NA,"06",NA,NA,NA,NA,NA,NA,NA,NA
