"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","year","month","day","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","class","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","typeStatus","fieldNumber","individualCount","previousCatalogNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","687992","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Habenaria","flaccida","Habenaria flaccida","Kraenzl.","P. K. H. Dusén","9385.A","South America","Brazil","Paraná","Curityba.","photo","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=840388' target='other'> <mi>dwc_moreinfo</mi></a>","NY00687992","NY00687992_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","547655","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Habenaria","flaccida","Habenaria flaccida","Kraenzl.","P. K. H. Dusén","14328","South America","Brazil","Paraná",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=549637' target='other'> <mi>dwc_moreinfo</mi></a>","NY00547655","NY00547655_01","F. R. R. Schlechter","1913","12","29","Curitiba","-49.2731","-25.4281","900","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1032032","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Habenaria","regnellii","Habenaria regnellii","Cogn.","G. F. J. Pabst","s.n.","South America","Brazil","Paraná","22 km ad viam Curitiba-Rio Negro","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1190209' target='other'> <mi>dwc_moreinfo</mi></a>","NY01032032","NY01032032_01","G. F. J. Pabst","1952","01","20",NA,NA,NA,"900","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1032033","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Habenaria","regnellii","Habenaria regnellii","Cogn.","F. C. Hoehne","674","South America","Brazil","São Paulo","Butantan.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1190211' target='other'> <mi>dwc_moreinfo</mi></a>","NY01032033","NY01032033_01","F. C. Hoehne","1917","10","09",NA,"-46.724373","-23.565521",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1032031","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Habenaria","regnellii","Habenaria regnellii","Cogn.","G. F. J. Pabst","s.n.","South America","Brazil","Rio Grande do Sul","ad Aparados da Serra","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1190208' target='other'> <mi>dwc_moreinfo</mi></a>","NY01032031","NY01032031_01","G. F. J. Pabst","1952","02","11","Bom Jesus","-50.4167","-28.6681","1100","1100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 08:46:20-03","NBC","NL-BOTANY","L.1515968","PreservedSpecimen","Plantae",NA,"Asparagales","Orchidaceae","Habenaria","flaccida","Habenaria flaccida","Kraenzl.","Dusén PKH",NA,"Southern America","Brazil",NA,"Parana: Curityba locis paludosis.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1515968 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1515968","NL-L1515968",NA,"1914","12","10",NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 08:46:20-03","NBC","NL-BOTANY","L.4175116","PreservedSpecimen","Plantae",NA,"Asparagales","Orchidaceae","Habenaria","regnellii","Habenaria regnellii","Cogn.","Pedersen TM",NA,"Southern America","Argentina",NA,"Plantae Argentinenses. Ea. 'Santa Teresa'. Dep. Mburucuyá. Prov. Corrientes.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.4175116 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L4175116","NL-L4175116",NA,"1962","12","02",NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-31 13:41:04-03","MN","R","24950","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","regnellii","Habenaria regnellii","Cogn.","Brade, A.C.",NA,NA,"Brasil","São Paulo",NA,NA,NA,NA,NA,"Hoehne, F.C.","1913","11","15","São Caetano",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-31 13:41:04-03","MN","R","28926","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","regnellii","Habenaria regnellii","Cogn.","Dusén, P.K.H.","3315",NA,"Brasil","Paraná",NA,NA,NA,NA,NA,"Hoehne, F.C.",NA,NA,NA,"Curitiba","-49.2731018066406","-25.4277992248535",NA,NA,NA,"25180","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-31 13:41:04-03","MN","R","3502","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","regnellii","Habenaria regnellii","Cogn.","Dusén, P.K.H.","3707",NA,"Brasil","Paraná",NA,NA,NA,NA,NA,"Hoehne, F.C.","1903","12","10","Ponta Grossa","-50.1618995666504","-25.0949993133545",NA,NA,NA,"46557","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
