"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","year","month","day","verbatimLongitude","verbatimLatitude","identifiedBy","yearIdentified","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","monthIdentified","typeStatus","individualCount","class","dayIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","00893795","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Byrsonima","salzmanniana","Byrsonima salzmanniana","A.Juss.","A. F. Regnell","II311/2","South America","Brazil","Minas Gerais","Caldas","Caldas.","-46.3858","-21.9236","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=977799' target='other'> <mi>dwc_moreinfo</mi></a>","NY00893795","NY00893795_01 NY00893795_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-30 12:43:31-03","EAO","IAN","137938","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Malpighiaceae","Byrsonima","salzmannianna","Byrsonima salzmannianna","A.Juss.","Harley, RM; Souza, R","10724","Southern America","Brasil","Mato Grosso",NA,"R3 north c. 2km E of Base Camp, cerrado.","-51.766667","-12.816667",NA,"Small tree to c.3m with grey trunk, smooth above, scaling below. Lvs. dark green above pale beneath. Flowers yellow. Petals and sepals becoming orange when old. Sepals young shoots with rusty hairs.","IAN137938",NA,"1968","10","19","-51.766667","-12.816667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-04 11:12:35-03","ESALQ","ESA","131544","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Malpighiaceae","Byrsonima","salzmanniana","Byrsonima salzmanniana","A.Juss.","Souza, V.C.; Caliari, C.P.; Coelho, R.L.G.; Colletta, G.D.; Barroso, R.M.; Martins, C.H.C.","36747.0",NA,"Brasil","São Paulo","Campinas","Fragmento 2 (TAV). Próximo ao Aeroporto de Viracopos. Cerrado.","-22.9643","-47.1821",NA,"Botões verdes.","ESA131544",NA,"2013","02","18","-22.9643","-47.1821","Souza, V.C.","2013","552","552",NA,NA,NA,NA,NA,NA,NA
"4","2020-11-04 11:12:35-03","ESALQ","ESA","45068","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Malpighiaceae","Byrsonima","salzmanniana","Byrsonima salzmanniana",NA,"Souza, V.C. et al.","18443.0",NA,"Brasil","Mato Grosso","Aripuanã",NA,"-59.459400177002","-10.1667003631592",NA,NA,"ESA045068",NA,"1997","07","09",NA,NA,NA,NA,NA,NA,"273871","auto",NA,NA,NA,NA,NA
"5","2020-11-04 11:12:35-03","ESALQ","ESA","26087","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Malpighiaceae","Byrsonima","salzmanniana","Byrsonima salzmanniana","A.Juss.","Souza, V.C. ; Souza, J.P.","9604.0",NA,"Brasil","São Paulo","Águas de Santa Bárbara","Ca. 11 Km da cidade em direção a Lençóis, próximo à entrada da Reserva do Instituto Florestal. Campo cerrado.","-49.238899230957","-22.8805999755859",NA,"Subarbusto, ca. 40 cm alt.; elaióforos, pétalas e estames amarelos, apssando a laranja-avermelhados.","ESA026087",NA,"1995","12","19",NA,NA,"Mamede, M.C.H.",NA,NA,NA,"18363","auto",NA,NA,NA,NA,NA
"6","2020-11-19 10:24:07-03","CPAP","CPAP","24130","PreserverdSpecimen","Plantae",NA,NA,"Malpighiaceae","Byrsonima","salzmanniana","Byrsonima salzmanniana","A.Juss.","Pott, A.","12780",NA,"Brasil","MS","Ponta Porã","Sanga Puitã, Rodovia BR-463, km 100,10 Km N de Ponta Porã.","-55.618667","-22.621611",NA,"Subarbusto em conjuntos de 1-3 m de diâmetro, 30-40 cm de altura. com flor amarela, fruto quase. Folha discolor. . Frequente.. Invasora de pastagem. Campo graminoso-subarbustivo perturbado. Solo: argiloso.. Relevo: plano.",NA,NA,"2005","04","18","55°37'07,2 W","22°37'17,8 S","M. C. Mamede","2005","640","640",NA,NA,"09",NA,NA,NA,NA
"7","2019-02-15 11:44:52-02","IPA","IPA","40514","S","Plantae","Plantae",NA,"Malpighiaceae","Byrsonima","salzmanniana","Byrsonima salzmanniana","A. Juss.","Bolland, G.","s.n.","Southern America","Brasil","Ceará",NA,NA,NA,NA,NA,NA,"IPA0040514",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-12-20 21:18:13-03","UFV","VIC","48361","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Byrsonima","salzmanniana","Byrsonima salzmanniana","A . Juss.","Filardi, F.L.R.; et al.","379",NA,"Brasil","Minas Gerais","Volta Grande","Rod. Recepção-Barragem","-48","-20",NA,"Frutos; Árvore; Cerrado","VIC048361","VIC048361","2003","12","08","-48","-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-12-20 21:18:13-03","UFV","VIC","48354","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Byrsonima","salzmanniana","Byrsonima salzmanniana","A . Juss.","Filardi, F.L.R.; et al.","168",NA,"Brasil","Minas Gerais","Volta Grande","Rod. Recepção-Viveiro","-48","-20",NA,"Frutos; Árvore; Cerrado","VIC048354","VIC048354","2003","01","28","-48","-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-12-20 21:18:12-03","UFV","VIC","14282","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Byrsonima","salzmanniana","Byrsonima salzmanniana","A . Juss.","Mota, A.L.P.; et al.","868",NA,"Brasil","Minas Gerais","Araguari","Flora do Vale do Rio Araguari, Mata cerrado Zé costa.","-48.187198638916","-18.6471996307373",NA,NA,"VIC014282",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"58653","auto",NA,NA,NA,NA,NA
