"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","recordNumber","continentOcean","preparationType","coordinatePrecision","geoFlag","infraspecificEpithet","typeStatus","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","relationshipType","fieldNumber","individualCount","sex"
"1","2021-04-05 14:33:19-03","UNESC","CRI","5330","PreservedSpecimen","Plantae","Bignoniaceae","Handroanthus","heptaphyllus","Handroanthus heptaphyllus","(Vell.) Mattos","J. A. Jarenkow","J. A. Jarenkow","1988","10","29","Brasil","Rio Grande do Sul","Capão do Leão","HortovBot. Ir. Teodoro Luis.","-52.484167","-31.763889","52º29'3''W","31º45'50''S","21","21","Habito: arbórea","CRI001685","CRI001685",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","402806","PreservedSpecimen","Plantae","Bignoniaceae","Handroanthus","heptaphyllus","Handroanthus heptaphyllus","(Mart.) Mattos",NA,"G. G. Hatschbach","1967","06","22","Brazil","Paraná","Guairá","Porto Guaira.","-54.2556","-24.08",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=374147' target='other'> <mi>dwc_moreinfo</mi></a>","NY00402806","NY00402806_01","Magnoliophyta","Lamiales","16632","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00938310","PreservedSpecimen","Plantae","Bignoniaceae","Handroanthus","heptaphyllus","Handroanthus heptaphyllus","(Mart.) Mattos",NA,"H. F. Martins","1989","08","16","Brazil","Rio de Janeiro","Rio de Janeiro","Usina, Avenida Edison Passos.","-43.264318","-22.954429",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2490503' target='other'> <mi>dwc_moreinfo</mi></a>","NY00938310","NY00938310_01","Magnoliophyta","Lamiales","1849","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-09-29 11:56:00-03","NY","NYBG","402827","PreservedSpecimen","Plantae","Bignoniaceae","Handroanthus","heptaphyllus","Handroanthus heptaphyllus",NA,NA,"J. Fontella Pereira","1967","07","28","Brazil","Rio de Janeiro","Rio de Janeiro","Estado da Guanabara, Bairro do Jardim Botânico, próximo á Rua Pacheco Leao esquina com a Jardim Botânico.","-43.2075","-22.9031",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=374155' target='other'> <mi>dwc_moreinfo</mi></a>","NY00402827","NY00402827_01","Magnoliophyta","Lamiales","195","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-29 11:56:00-03","NY","NYBG","402798","PreservedSpecimen","Plantae","Bignoniaceae","Handroanthus","heptaphyllus","Handroanthus heptaphyllus",NA,NA,"R. Reitz","1963","01","30","Brazil","Santa Catarina","Rio do Sul","Alto Matador, Rio do Sul","-49.563988","-27.247405",NA,NA,"350","350","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=374156' target='other'> <mi>dwc_moreinfo</mi></a>","NY00402798","NY00402798_01","Magnoliophyta","Lamiales","6381","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-09-29 11:56:00-03","NY","NYBG","402803","PreservedSpecimen","Plantae","Bignoniaceae","Handroanthus","heptaphyllus","Handroanthus heptaphyllus",NA,NA,"D. Coêlho","1912","06",NA,"Brazil","Rio de Janeiro","Rio de Janeiro","Estado da Guanabara, encosta do Corcovado.","-43.2075","-22.9031",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=374164' target='other'> <mi>dwc_moreinfo</mi></a>","NY00402803","NY00402803_01","Magnoliophyta","Lamiales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","402807","PreservedSpecimen","Plantae","Bignoniaceae","Handroanthus","heptaphyllus","Handroanthus heptaphyllus","(Mart.) Mattos",NA,"E. de Souza Ferreira da Rocha","1982","04","19","Brazil","Rio de Janeiro","Rio de Janeiro","Alto da Boa Vista, Estr. da Vista Chinesa, km 2.","-43.272486","-22.971682",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=374144' target='other'> <mi>dwc_moreinfo</mi></a>","NY00402807","NY00402807_01","Magnoliophyta","Lamiales","919","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-09-29 11:56:00-03","NY","NYBG","402801","PreservedSpecimen","Plantae","Bignoniaceae","Handroanthus","heptaphyllus","Handroanthus heptaphyllus",NA,NA,"R. M. Klein","1964","08","31","Brazil","Santa Catarina","Itapiranga","Conceiçao, Itapiranga.","-53.7119","-27.1694",NA,NA,"500","500","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=374159' target='other'> <mi>dwc_moreinfo</mi></a>","NY00402801","NY00402801_01 NY00402801_02","Magnoliophyta","Lamiales","5695","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","03147723","PreservedSpecimen","Plantae","Bignoniaceae","Handroanthus","heptaphyllus","Handroanthus heptaphyllus","(Mart.) Mattos",NA,"V. C. Souza","1994","03","09","Brazil","Bahia",NA,"Caetité. 31-33 Km da cidade em direçao a Paramirim.","-42.3761","-13.7806",NA,NA,"980","980","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3391115' target='other'> <mi>dwc_moreinfo</mi></a>","NY03147723","NY03147723_01","Magnoliophyta","Lamiales","5410","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-09-29 11:56:00-03","NY","NYBG","402802","PreservedSpecimen","Plantae","Bignoniaceae","Handroanthus","heptaphyllus","Handroanthus heptaphyllus",NA,NA,"I. A. Silva","1979","08","29","Brazil","Espírito Santo","Linhares","Reserva Floresta da CVRD. Próxima ao Córrego Rancho Alto e viveiro de Essencias Nativas.","-40.0719","-19.3911",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=374145' target='other'> <mi>dwc_moreinfo</mi></a>","NY00402802","NY00402802_01","Magnoliophyta","Lamiales","66","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
