"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","459748","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Beilschmiedia","emarginata","Beilschmiedia emarginata","(Meisn.) Kosterm.","H. H. van der Werff","G. G. Hatschbach","16310","1967","04","13","South America","Brazil","Paraná","Guaraqueçaba","Serrinha","-48.3289","-25.3069","100","100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=539860' target='other'> <mi>dwc_moreinfo</mi></a>","NY00459748","NY00459748_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","459749","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Beilschmiedia","emarginata","Beilschmiedia emarginata","(Meisn.) Kosterm.","B. Coe-Teixeira","M. Kuhlmann","3885","1955","12","09","South America","Brazil","São Paulo","Sao Paulo","Nativa no Jadim Botanico","-46.618358","-23.646109",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=539861' target='other'> <mi>dwc_moreinfo</mi></a>","NY00459749","NY00459749_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01873608","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Beilschmiedia","emarginata","Beilschmiedia emarginata","(Meisn.) Kosterm.","P. L. R. de Moraes","A. M. Amorim","6723","2007","01","20","South America","Brazil","Bahia","Arataca","Serra do Peito-de-Moça. Estrada que liga Arataca a Una, ramal ca. 22,4 km de Arataca, com entrada no Assentamento Santo Antônio. RPPN Caminho das Pedras.","-39.3417","-15.1736","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1487492' target='other'> <mi>dwc_moreinfo</mi></a>","NY01873608","NY01873608_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","355041","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Cryptocarya","emarginata","Cryptocarya emarginata","Meisn.",NA,"L. Riedel","1585","1833","10",NA,"South America","Brazil",NA,NA,"In sylvis subhumidis prope Lorena.",NA,NA,NA,NA,"sheet","Com. ex Hb. Horti Imp. Petrop. 1862! <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=248185' target='other'> <mi>dwc_moreinfo</mi></a>","NY00355041","NY00355041_01 NY00355041_02","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-06-29 11:30:59-03","UFRJ","RFA","31326","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Beilschmiedia","emarginata","Beilschmiedia emarginata","(Meisn.) Kosterm.","C.M. Oliveira","C.M. Vieira; M.A. Louzada; I. Aximoff; J.C. Gomes","1485","2003","02","19",NA,"Brasil","Rio de Janeiro","Silva Jardim","REBIO Poço das Antas, proximidades da trilha para a Pelonha. Parcela A.; Ind.: 71","-42.3917007446289","-22.6508007049561",NA,NA,NA,"Altura: 16 m; CAP: 61 cm","RFA43125",NA,NA,"29995","auto",NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-11-04 11:11:50-03","ESALQ","ESA","104263","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Lauraceae","Beilschmiedia","emarginata","Beilschmiedia emarginata",NA,"Baitello, J.B.","Aguiar, O.T.","1081.0","2002","03","13",NA,"Brasil","São Paulo","São Miguel Arcanjo",NA,"-47.9900016784668","-23.8700008392334",NA,NA,NA,NA,"ESA104263","ESA104263",NA,"27904","auto","2002","03","19",NA,NA,NA,NA,NA
"7","2015-07-02 14:02:27-03","JBP","HPL","5142","S","Plantae",NA,NA,"Lauraceae","Beilschmiedia","emarginata","Beilschmiedia emarginata","(Schwacke & Mez) Kosterm.","J.B. Baitello","H. Lorenzi","5518","2005","08","24",NA,"Brasil","MG","Carangola","Coletada na fazenda Santa Rita, em mata atlântica.","-42.0294","-20.7331",NA,NA,NA,NA,NA,NA,NA,"21913","auto",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-01 16:32:18-03","UNICAMP","UEC","200220","S","Plantae","Magnoliopsida",NA,"Lauraceae","Beilschmiedia","emarginata","Beilschmiedia emarginata","(Meisn.) Kosterm.",NA,"Padgurschi, MCG; Belinello, R","M694","2009","03","27",NA,"Brazil","São Paulo","São Luiz do Paraitinga","Parque Estadual da Serra do Mar","-45.183333","-23.4","990","1045",NA,"Parcela M - Projeto Biota-FAPESP. Árvore com 11 metros de altura. Frequência da espécie na parcela: n=1","UEC177718",NA,NA,NA,NA,NA,NA,NA,"-45.183333","-23.4",NA,NA,NA
"9","2021-03-01 16:32:18-03","UNICAMP","UEC","166672","S","Plantae","Magnoliopsida",NA,"Lauraceae","Beilschmiedia","emarginata","Beilschmiedia emarginata","(Meisn.) Kosterm.","Barbosa, TDM","Padgurschi, MCG; Tamashiro, JY; Belinello, R","1024","2008",NA,NA,NA,"Brazil","São Paulo","São Luiz do Paraitinga","PESM - Núcleo Santa Virgínia - Parcela K, Floresta Ombrófila Densa Montana.","-45.068056","-23.325556","1054","1093",NA,"K1151 Árvore, ca. 13 m, com flores e frutos. Abundância:1 ind.ha-1.","UEC039810","UEC039810",NA,NA,NA,"2009",NA,NA,"-45.068056","-23.325556",NA,NA,NA
"10","2021-03-01 16:32:18-03","UNICAMP","UEC","155259","S","Plantae","Magnoliopsida",NA,"Lauraceae","Beilschmiedia","emarginata","Beilschmiedia emarginata","(Meisn.) Kosterm.","Baitello, JB","Santos, K","2765","2000","07","06",NA,"Brazil","São Paulo","Campinas","Campinas/Itatiba, Mata Fazenda Malabar.","-46.883333","-22.916667",NA,NA,NA,"Árvore zoocórica. Folhas opostas a subopostas; ápice emarginado. Altura total: 10m.; altura do fuste: 6m. PAP: 52cm.","UEC070647","UEC070647",NA,NA,NA,"2001",NA,NA,"-46.883333","-22.916667",NA,NA,NA
