"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","infraspecificEpithet","typeStatus","coordinatePrecision","geoFlag","class","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","595073","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bauhinia","smilacina","Bauhinia smilacina","(Schott) Steud.","H. C. de Lima","2274","1984","10","22","South America","Brazil","Rio de Janeiro","Magé","Paraiso, área do Centro de Primatología do RJ","-43.0406","-22.6531","200","200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=597115' target='other'> <mi>dwc_moreinfo</mi></a>","NY00595073","NY00595073_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","583692","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bauhinia","smilacina","Bauhinia smilacina","(Schott) Steud.","A. M. V. de Carvalho","3420","1991","07","01","South America","Brazil","Bahia","Uruçuca","Distrito de Serra Grande. 7.3 km na estrada Serra Grande/Itacaré, Fazenda Lagoa do Conjunto Fazenda Santa Cruz","-39.0617","-14.4231",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=597111' target='other'> <mi>dwc_moreinfo</mi></a>","NY00583692","NY00583692_01","A. M. Amorim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","583690","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bauhinia","smilacina","Bauhinia smilacina","(Schott) Steud.","A. M. V. de Carvalho","3420","1991","07","01","South America","Brazil","Bahia","Uruçuca","Distrito de Serra Grande. 7.3 km na estrada Serra Grande/Itacaré, Fazenda Lagoa do Conjunto Fazenda Santa Cruz","-39.0617","-14.4231",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=597110' target='other'> <mi>dwc_moreinfo</mi></a>","NY00583690","NY00583690_01","A. M. Amorim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1099747","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bauhinia","smilacina","Bauhinia smilacina","(Schott) Steud.","E. de Oliveira","4184","1968","03","20","South America","Brazil",NA,NA,"Rio Jarí, margem direita, entre S. Melitão e Monte Dourado","-52.5338101","-0.86071",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1372360' target='other'> <mi>dwc_moreinfo</mi></a>","NY01099747","NY01099747_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1099745","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bauhinia","smilacina","Bauhinia smilacina","(Schott) Steud.","S. A. Mori","17622","1985","01","01","South America","Brazil","Amapá","Macapá","Riozinho, 122 km NW of Porto Grande on the highway Perimetral Norte (BR210).","-53.25","1.35",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1372379' target='other'> <mi>dwc_moreinfo</mi></a>","NY01099745","NY01099745_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-09-27 02:07:00-03","NY","NYBG","595071","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bauhinia","smilacina","Bauhinia smilacina",NA,"J. Lanjouw","2078","1949","02","14","South America","Suriname",NA,NA,"Ad ripas fluv. Marowijne. Above base camp",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=597113' target='other'> <mi>dwc_moreinfo</mi></a>","NY00595071","NY00595071_01","R. P. Wunderlin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","595072","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bauhinia","smilacina","Bauhinia smilacina","(Schott) Steud.","R. A. A. Oldeman","2567","1967","12","06","South America","French Guiana",NA,NA,"Rives de la Riviere Camopi (affluent de l'Oyapock) a Saut Tampac",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=597114' target='other'> <mi>dwc_moreinfo</mi></a>","NY00595072","NY00595072_01","R. P. Wunderlin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1099746","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bauhinia","smilacina","Bauhinia smilacina","(Schott) Steud.","H. S. Irwin","48740",NA,NA,NA,"South America","Brazil","Amapá",NA,NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1372509' target='other'> <mi>dwc_moreinfo</mi></a>","NY01099746","NY01099746_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","583693","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bauhinia","smilacina","Bauhinia smilacina","(Schott) Steud.","S. A. Mori","11897","1979","06","02","South America","Brazil","Bahia","Una","Estrada que liga Sao José com Una, a 17 km da BR-101. Cerca de 45 km ao S de Itabuna","-39.250406","-15.1466593",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=597112' target='other'> <mi>dwc_moreinfo</mi></a>","NY00583693","NY00583693_01","A. M. S. da F. Vaz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","583691","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bauhinia","smilacina","Bauhinia smilacina maximiliani","(Benth.) Wunderlin","A. M. V. de Carvalho","3505","1991","09","11","South America","Brazil","Bahia","Uruçuca","Distrito de Serra Grande. 7.3 km na estrada Serra Grande/Itacaré, Fazenda Lagoa do Conjunto Fazenda Santa Cruz","-39.0617","-14.4231",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=98378' target='other'> <mi>dwc_moreinfo</mi></a>","NY00583691","NY00583691_01","A. M. Amorim","maximiliani",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
