"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","typeStatus","stateProvince","phylum","order","scientificNameAuthorship","identifiedBy","locality","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","coordinatePrecision","geoFlag","yearIdentified","verbatimLongitude","verbatimLatitude","infraspecificEpithet","class","monthIdentified","dayIdentified","relationshipType","relatedCatalogItem","individualCount","minimumDepthInMeters","maximumDepthInMeters","fieldNumber"
"1","2020-09-23 10:42:49-03","E","E","396968","PreservedSpecimen","Plantae","Ranunculaceae","Clematis","campestris","Clematis campestris","Balls, Edward Kent","6226","1939","03","14","W. Tropical South America","BO","herbarium specimen of unspecif","BGBASE:441675","<a href=http://data.rbge.org.uk/herb/E00396968 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00396968",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:42:49-03","E","E","373193","PreservedSpecimen","Plantae","Ranunculaceae","Clematis","campestris","Clematis campestris","Bang, Miguel","988","1905","03","05","W. Tropical South America","BO","herbarium specimen of unspecif","BGBASE:427844","<a href=http://data.rbge.org.uk/herb/E00373193 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00373193","unspecified kind of","Departamento Cochabamba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","649283","PreservedSpecimen","Plantae","Ranunculaceae","Clematis","campestris","Clematis campestris","S. A. Pierotti","11528","1942","01","08","South America","Argentina","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=489268' target='other'> <mi>dwc_moreinfo</mi></a>","NY00649283",NA,"Catamarca","Magnoliophyta","Ranunculales","A.St.-Hil.","N. P. Moreno","Aluilan, Sta. Rosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","309884","PreservedSpecimen","Plantae","Ranunculaceae","Clematis","campestris","Clematis campestris","M. H. Nee","49019","1998","04","16","South America","Bolivia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=489262' target='other'> <mi>dwc_moreinfo</mi></a>","NY00309884",NA,"Santa Cruz","Magnoliophyta","Ranunculales","A.St.-Hil.","M. H. Nee","Achiras Camping Resort and road to Banegas before crossing Río Paredones.","Florida","-63.82","-18.15","1330","1330",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","649285","PreservedSpecimen","Plantae","Ranunculaceae","Clematis","campestris","Clematis campestris","L. Scur","248","1999","12","01","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=489264' target='other'> <mi>dwc_moreinfo</mi></a>","NY00649285",NA,"Rio Grande do Sul","Magnoliophyta","Ranunculales","A.St.-Hil.","S. F. Smith","Fazenda Souza","Caxias do Sul","-51.1792","-29.1683","780","780","NY00649285_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","822878","PreservedSpecimen","Plantae","Ranunculaceae","Clematis","campestris","Clematis campestris","J. C. Lindeman","3003","1966","10","14","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=929281' target='other'> <mi>dwc_moreinfo</mi></a>","NY00822878",NA,"Paraná","Magnoliophyta","Ranunculales","A.St.-Hil.","A. Lourteig","On bank of Rio Taquara, 5 km NE of Castrolanda.",NA,NA,NA,NA,NA,"NY00822878_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00649281","PreservedSpecimen","Plantae","Ranunculaceae","Clematis","campestris","Clematis campestris","W. R. Anderson","9622","1973","05","02","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=489267' target='other'> <mi>dwc_moreinfo</mi></a>","NY00649281",NA,"Goiás","Magnoliophyta","Ranunculales","A.St.-Hil.","J. A. Kallunki","Serra do Caiapó. Ca. 12 km (straight line) S of Caiapônia.","Caiapônia","-51.8102989196777","-16.9566993713379","840","840","NY00649281_01","77016","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-10-19 09:09:00-02","NY","NYBG","649282","PreservedSpecimen","Plantae","Ranunculaceae","Clematis","campestris","Clematis campestris","A. Weberbauer","7452","1925","03","22","South America","Peru","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=489270' target='other'> <mi>dwc_moreinfo</mi></a>","NY00649282",NA,"Moquegua","Magnoliophyta","Ranunculales",NA,"N. P. Moreno",NA,NA,NA,NA,"1400","1400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","649280","PreservedSpecimen","Plantae","Ranunculaceae","Clematis","campestris","Clematis campestris","M. H. Nee","40519","1991","05","22","South America","Bolivia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=489269' target='other'> <mi>dwc_moreinfo</mi></a>","NY00649280",NA,"Santa Cruz","Magnoliophyta","Ranunculales","A.St.-Hil.","M. H. Nee","Prov. Andres Ibanez, 3 km NW of Lomas de Arena",NA,"-63.17","-17.92","420","420",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","821922","PreservedSpecimen","Plantae","Ranunculaceae","Clematis","campestris","Clematis campestris","P. Fiaschi","2307","2004","06","25","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=908698' target='other'> <mi>dwc_moreinfo</mi></a>","NY00821922",NA,"Bahia","Magnoliophyta","Ranunculales","A.St.-Hil.","J. A. Kallunki","Estrada de Valença para Guaibim, ca. 2 km. Ramal à esq., 8 km. Ramal vicinal à esq., ca. 1 km RPPN Água Branca","Valença","-39.0902778","-13.3288889",NA,NA,"NY00821922_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
