"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","county","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","infraspecificEpithet","fieldNumber","individualCount","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","2609205","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Senegalia","parviceps","Senegalia parviceps","(Speg.) Seigler & Ebinger","D. S. Seigler","M. Rossato","5088","1989","01","04","South America","Brazil","Rio Grande do Sul","Paverama","-51.727409","-29.575542","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2916808' target='other'> <mi>dwc_moreinfo</mi></a>","NY02609205","NY02609205_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","2609206","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Senegalia","parviceps","Senegalia parviceps","(Speg.) Seigler & Ebinger","D. S. Seigler","A. Sehnem","12726","1972","01","06","South America","Brazil","Rio Grande do Sul","Reserva do Turvo-Ten Portela","-53.7581","-27.3711","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2916815' target='other'> <mi>dwc_moreinfo</mi></a>","NY02609206","NY02609206_01","Tenente Portela",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","391247","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Senegalia","parviceps","Senegalia parviceps","(Speg.) Seigler & Ebinger",NA,"G. G. Hatschbach","54008","1990","11","15","South America","Brazil","Goiás","Rio Bezerra","-46.7717","-13.0369","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=745834' target='other'> <mi>dwc_moreinfo</mi></a>","NY00391247","NY00391247_01","Campos Belos","600","600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","886220","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Senegalia","parviceps","Senegalia parviceps","(Speg.) Seigler & Ebinger","D. S. Seigler","R. Reitz","2223","1946","12","23","South America","Brazil","Santa Catarina",NA,"-49.2914","-28.3592","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1014684' target='other'> <mi>dwc_moreinfo</mi></a>","NY00886220","NY00886220_01","Orleans","95","95",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","391250","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Senegalia","parviceps","Senegalia parviceps","(Speg.) Seigler & Ebinger","D. S. Seigler","C. Kozera","35","1996","01","08","South America","Brazil","Paraná","Santana","-51.3467","-26.0175","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=745835' target='other'> <mi>dwc_moreinfo</mi></a>","NY00391250","NY00391250_01","Cruz Machado",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","441040","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Senegalia","parviceps","Senegalia parviceps","(Speg.) Seigler & Ebinger","D. S. Seigler; J. E. Ebinger","M. H. Nee","48107","1998","01","24","South America","Bolivia","Santa Cruz","Along road from La Mora to San Joaquín, 5.3 km E of La Mora and turnoff from highway from Santa Cruz to Abapó.","-63.17","-18.47","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=98060' target='other'> <mi>dwc_moreinfo</mi></a>","NY00441040","NY00441040_01","Cordillera","500","500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","886219","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Senegalia","parviceps","Senegalia parviceps","(Speg.) Seigler & Ebinger","D. S. Seigler","R. Reitz","8027","1958","12","16","South America","Brazil","Santa Catarina","Rio do Meio.","-49.3967","-28.3931","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1014682' target='other'> <mi>dwc_moreinfo</mi></a>","NY00886219","NY00886219_01","Lauro Muller","350","350",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","391249","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Senegalia","parviceps","Senegalia parviceps","(Speg.) Seigler & Ebinger","D. S. Seigler","P. I. Oliveira","199","1979","12","20","South America","Brazil","Paraná","Volta Grande","-49.7156","-25.7697","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=745825' target='other'> <mi>dwc_moreinfo</mi></a>","NY00391249","NY00391249_01","Lapa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","886224","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Senegalia","parviceps","Senegalia parviceps","(Speg.) Seigler & Ebinger","D. S. Seigler","J. C. Lindeman","5309","1967","05","15","South America","Brazil","Paraná","Midway between Cava Funda and Fazenda S. Domingos.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1014699' target='other'> <mi>dwc_moreinfo</mi></a>","NY00886224","NY00886224_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","391251","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Senegalia","parviceps","Senegalia parviceps","(Speg.) Seigler & Ebinger",NA,"F. J. Fernández Casas","FC5861","1982","02","03","South America","Paraguay","Canindeyú","Cerca de General Bernardino Caballero",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=745826' target='other'> <mi>dwc_moreinfo</mi></a>","NY00391251","NY00391251_01",NA,"450","450",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","2609198","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Senegalia","parviceps","Senegalia parviceps","(Speg.) Seigler & Ebinger","D. S. Seigler","G. G. Hatschbach","55115","1991","02","13","South America","Brazil","Minas Gerais","Espinosa, arredores",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2916785' target='other'> <mi>dwc_moreinfo</mi></a>","NY02609198","NY02609198_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","391246","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Senegalia","parviceps","Senegalia parviceps","(Speg.) Seigler & Ebinger",NA,"G. G. Hatschbach","60341","1994","11","11","South America","Brazil","Tocantins","Rodovia Campos Belos a Taguatinga, 5km S de Novo Alegre","-46.9381","-12.9317","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=745824' target='other'> <mi>dwc_moreinfo</mi></a>","NY00391246","NY00391246_01","Arraias",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","2609187","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Senegalia","parviceps","Senegalia parviceps","(Speg.) Seigler & Ebinger","D. S. Seigler","J. C. Lindeman","4491","1967","01","25","South America","Brazil","Paraná","Rio da Areia between Cruzeiro d'Oeste and Tuneiras d'Oeste.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2916758' target='other'> <mi>dwc_moreinfo</mi></a>","NY02609187","NY02609187_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","2609201","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Senegalia","parviceps","Senegalia parviceps","(Speg.) Seigler & Ebinger","D. S. Seigler","H. S. Irwin","17112","1966","06","13","South America","Brazil","Mato Grosso","Ca. 25 km. S. of Xavantina. Drainage of the Upper Rio Araguaia.","-52.32","-14.87","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2916791' target='other'> <mi>dwc_moreinfo</mi></a>","NY02609201","NY02609201_01",NA,"400","400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","391242","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Senegalia","parviceps","Senegalia parviceps","(Speg.) Seigler & Ebinger",NA,"G. G. Hatschbach","15873","1967","01","24","South America","Brazil","Paraná","Sete Quedas","-54.2556","-24.08","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=745823' target='other'> <mi>dwc_moreinfo</mi></a>","NY00391242","NY00391242_01","Guairá",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
