"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","geoFlag","recordNumber","continentOcean","preparationType","previousCatalogNumber","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","typeStatus","verbatimLongitude","verbatimLatitude","class","fieldNumber","individualCount","sex"
"1","2019-06-10 10:10:34-03","FZB-BH","CVJBFZB","2539","S","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Anemopaegma","arvense","Anemopaegma arvense","(Vell.) Stellfeld ex de Souza","Carlos A. Ferreira Jr.","2012","04","04","Lucas Assis; Amanda; Carlos Alberto F. Jr.; Kelen; Marcelino Geraldo","2012","04","04","Brasil","Minas Gerais","Confins","Área de espansão do Aeroporto de Confins","-43.9827995300293","-19.6324996948242","6260","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:36:29-03","E","E","202935","PreservedSpecimen","Plantae",NA,NA,"Bignoniaceae","Anemopaegma","arvense","Anemopaegma arvense",NA,NA,NA,NA,NA,"De Carvalho, V.M.; Farias, R.; Milhomens Fonseca, L.C.; Potzernheim, M.L.; Proença, C.; Cardoso Rosa, L.O.G.; de Carvalho, A.M.; de Carvalho, J.A.","1998","09","11","BR",NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00202935 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"2056","E. Tropical South America","herbarium specimen of unspecif","BGBASE:217700","E00202935",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:36:29-03","E","E","206990","PreservedSpecimen","Plantae",NA,NA,"Bignoniaceae","Anemopaegma","arvense","Anemopaegma arvense",NA,NA,NA,NA,NA,"Proença, C.","1997","11","15","BR",NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00206990 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"1886","E. Tropical South America","herbarium specimen of unspecif","BGBASE:217746","E00206990",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","930781","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Anemopaegma","arvense","Anemopaegma arvense","(Vell.) Stellfeld ex de Souza",NA,NA,NA,NA,"M. G. da Silva","1979","02","03","Brazil","Mato Grosso","Várzea Grande","entroncamento das rodovias, Cuiabá Santarém e Porto Velho, arredores do aeroporto.","-56.195","-15.6489",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=955891' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"4420","South America","sheet",NA,"NY00930781","NY00930781_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","930779","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Anemopaegma","arvense","Anemopaegma arvense","(Vell.) Stellfeld ex de Souza",NA,NA,NA,NA,"C. E. O. Kuntze","1892","07",NA,"Brazil","Mato Grosso",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=955886' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"s.n.","South America","sheet",NA,"NY00930779","NY00930779_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-09-29 21:58:00-03","NY","NYBG","930611","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Anemopaegma","arvense","Anemopaegma arvense",NA,"A. H. Gentry",NA,NA,NA,"R. Goodland","1965","11","30","Brazil","Minas Gerais","Paraopeba","Paraopeba","-44.4042","-19.2744",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1006151' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"252","South America","sheet",NA,"NY00930611","NY00930611_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","930780","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Anemopaegma","arvense","Anemopaegma arvense","(Vell.) Stellfeld ex de Souza",NA,NA,NA,NA,"C. L. Collenette","1927","09",NA,"Brazil","Mato Grosso","Cuiabá","Burity, NE of Cuyabá","-55.77825","-15.432",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=955887' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"178","South America","sheet",NA,"NY00930780","NY00930780_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-09-29 21:58:00-03","NY","NYBG","930600","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Anemopaegma","arvense","Anemopaegma arvense",NA,NA,NA,NA,NA,"A. H. Gentry","1978","01","23","Brazil","Distrito Federal","Brasília","Campus of Universidad de Brasilia","-47.9294","-15.7797",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1006110' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"21438","South America","sheet",NA,"NY00930600","NY00930600_01","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-09-29 18:18:00-03","NY","NYBG","402992","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Anemopaegma","arvense","Anemopaegma arvense",NA,"S. M. Silva",NA,NA,NA,"D. J. Carriao","1994","10","15","Brazil","Paraná","Jaguariaíva","Parque Estadual de Cerrado, Jaguariaiva/PR","-49.68","-24.23",NA,"A. Uhlmann (59) <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=745332' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"10","South America","sheet",NA,"NY00402992","NY00402992_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","930626","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Anemopaegma","arvense","Anemopaegma arvense","(Vell.) Stellfeld ex de Souza","A. H. Gentry",NA,NA,NA,"B. Maguire","1963","09","25","Brazil","Mato Grosso",NA,"350-440 km east of Vilhena","-57.2296078","-12.744153",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1006494' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"56838","South America","sheet",NA,"NY00930626","NY00930626_01","670","770",NA,NA,NA,NA,NA,NA,NA,NA
