"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","class","relatedCatalogItem","identifiedBy","county","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","fieldNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","02699075","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Annonaceae","Trigynaea","axilliflora","Trigynaea axilliflora","D.M.Johnson & N.A.Murray","P. J. M. Maas","8817","1999","02","05","South America","Brazil","Rio de Janeiro","Reserva Florestal da Vista Chinesa","-43.3","-22.95","540","540","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2982666' target='other'> <mi>dwc_moreinfo</mi></a>","NY02699075","NY02699075_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 09:43:08-03","NBC","NL-BOTANY","U.1080927","PreservedSpecimen","Plantae",NA,"Magnoliales","Annonaceae","Trigynaea","axilliflora","Trigynaea axilliflora","D.M.Johnson & N.A.Murray","Maas PJM",NA,"1999","02","05","Southern America","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1080927 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1080927","NL-U1080927","Magnoliopsidae","U 0132649",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 09:43:08-03","NBC","NL-BOTANY","L 0298145","PreservedSpecimen","Plantae",NA,"Magnoliales","Annonaceae","Trigynaea","axilliflora","Trigynaea axilliflora","D.M.Johnson & N.A.Murray","Maas PJM",NA,"1999","02","05","Southern America","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200298145 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L0298145",NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 09:43:08-03","NBC","NL-BOTANY","U.1080928","PreservedSpecimen","Plantae",NA,"Magnoliales","Annonaceae","Trigynaea","axilliflora","Trigynaea axilliflora","D.M.Johnson & N.A.Murray","Maas PJM",NA,"1999","02","05","Southern America","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1080928 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1080928","NL-U1080928","Magnoliopsidae","U 0132648",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-11-01 15:33:01-03","PUC-RIO","FCAB","7703","PreservedSpecimen","Plantae",NA,"Angiospermae","Annonaceae","Trigynaea","axilliflora","Trigynaea axilliflora","D.M.Johnson & N.A.Murray","J.M. Freire; R.R. Oliveira; B.L. Rosendo","463","2009","08","13",NA,"Brasil","Rio de Janeiro","Maciço da Pedra Branca 6.7","-75.026194","-66.473611","180","180",NA,"Árvore com 16 m de altura, com 61 cm de CAP. Espécie endêmica do Rio de Janeiro.","FCAB007703",NA,NA,NA,"A. Lobão","Camorim","-75.026194","-66.473611",NA,NA,NA,NA,NA
"6","2021-03-03 13:56:07-03","UFF","NIT","NIT1218","PreservedSpecimen","Plantae",NA,NA,"Annonaceae","Trigynaea","axilliflora","Trigynaea axilliflora","D.M.Johnson & N.A.Murray","J. Pires; A. Pintor & A. Tavares",NA,"2006","07","24",NA,"Brasil","Rio de Janeiro",NA,"-41.9449996948242","-22.5268993377686",NA,NA,NA,NA,"NIT00001227",NA,NA,NA,NA,"Rio das Ostras",NA,NA,"17620","auto",NA,NA,NA
"7","2021-03-03 13:56:07-03","UFF","NIT","NIT1222","PreservedSpecimen","Plantae",NA,NA,"Annonaceae","Trigynaea","axilliflora","Trigynaea axilliflora","D.M.Johnson & N.A.Murray","R. Marquete; M. Milward, A. joffily, R. Bacelar, C. E. S. Santos & J. S. Teixeira","2981",NA,NA,NA,NA,"Brasil","Rio de Janeiro",NA,"-43.2075004577637","-22.9027996063232",NA,NA,NA,NA,"NIT00001231",NA,NA,NA,NA,"Rio de Janeiro",NA,NA,"57442","auto",NA,NA,NA
"8","2019-10-07 09:23:19-03","UEFS","HUEFS","82346","PreservedSpecimen","Plantae","Angiospermae","Magnoliales","Annonaceae","Trigynaea","axilliflora","Trigynaea axilliflora","D.M.Johnson & N.A.Murray","Barros, R.","1525","2002","05","22",NA,"Brasil","Piauí","Baixão da volta.","-43.788056","-9.017222","259","259",NA,"Caatinga.","HUEFS0082346","HUEFS0082346","Magnolianae",NA,"A.Lobão","Guariba","43W47'17''","9S1'2''",NA,NA,"2005","08",NA
"9","2019-10-07 09:23:19-03","UEFS","HUEFS","67194","PreservedSpecimen","Plantae","Angiospermae","Magnoliales","Annonaceae","Trigynaea","axilliflora","Trigynaea axilliflora","D.M.Johnson & N.A.Murray","Barros, R.","TEPB17779","2002","05","22",NA,"Brasil","Piauí","Baixão da Volta",NA,NA,NA,NA,NA,"Caatinga","HUEFS0067194","HUEFS0067194","Magnolianae",NA,"A.Lobão","Guariba",NA,NA,NA,NA,"2005","08",NA
"10","2018-05-14 16:12:04-03","F","FMNH-SEEDPLANTS","V0222291F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Annonaceae","Trigynaea","axilliflora","Trigynaea axilliflora",NA,"P. J. M. Maas","8817","1999","2","5","South America","Brazil","Rio de Janeiro",NA,"-42.5","-22",NA,NA,NA,NA,"V0222291F","V0222291F_01 V0222291F_02","Dicotyledoneae",NA,"RRC ID Flag",NA,NA,NA,NA,NA,NA,NA,"8817"
