"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","typeStatus","coordinatePrecision","geoFlag","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","class","dayIdentified","relatedCatalogItem","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","1280540","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Siphanthera","cordata","Siphanthera cordata","Pohl ex DC.","F. Almeda; O. Robinson","G. G. Hatschbach","31216","1973","02","04","South America","Brazil","Minas Gerais","Três Corações","Rod. 3 Corações - S. Tomé das Letras.","-45.2531","-21.6969","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1611470' target='other'> <mi>dwc_moreinfo</mi></a>","NY01280540","NY01280540_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1280523","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Siphanthera","cordata","Siphanthera cordata","Pohl ex DC.","F. Almeda; O. Robinson","W. R. Anderson","10390","1973","05","16","South America","Brazil","Goiás","Cocalzinho de Goiás","Serra dos Pirineus, ca. 15 km (straight line) N of Corumbá de Goiás","-48.80861","-15.7880556","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1611151' target='other'> <mi>dwc_moreinfo</mi></a>","NY01280523","NY01280523_01","1230","1230",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","3909974","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Siphanthera","cordata","Siphanthera cordata","Pohl ex DC.",NA,"F. Almeda","7718","1998","06","24","South America","Brazil","Minas Gerais","Carrancas","Estrada para Cachoeira da Toca, beira da estrada","-44.65","-21.5","Sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4451137' target='other'> <mi>dwc_moreinfo</mi></a>","NY03909974",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1280539","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Siphanthera","cordata","Siphanthera cordata","Pohl ex DC.","F. Almeda; O. Robinson","E. P. Heringer","8196-390","1961","04","11","South America","Brazil","Distrito Federal","Brasília","Vargem Bonita.","-47.9294","-15.7797","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1611468' target='other'> <mi>dwc_moreinfo</mi></a>","NY01280539","NY01280539_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","02060181","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Siphanthera","cordata","Siphanthera cordata","Pohl ex DC.",NA,"J. H. Kirkbride Jr.","4722","1982","04","14","South America","Brazil","Distrito Federal",NA,"Ca. 1.5 km W de antenas da Radiobrás","-48.133333","-15.6","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2506596' target='other'> <mi>dwc_moreinfo</mi></a>","NY02060181","NY02060181_01","1280.00","1280.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1280537","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Siphanthera","cordata","Siphanthera cordata","Pohl ex DC.","F. Almeda; O. Robinson","H. S. Irwin","5390","1964","08","21","South America","Brazil","Distrito Federal","Brasília","Ca. 35 km E. of Brasília","-47.9294","-15.7797","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1611465' target='other'> <mi>dwc_moreinfo</mi></a>","NY01280537","NY01280537_01","700","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","3909967","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Siphanthera","cordata","Siphanthera cordata","Pohl ex DC.",NA,"F. Almeda","7814","1998","06","07","South America","Brazil","Minas Gerais",NA,"Estrada Diamantine-Gouveia, ca. 6km da cidade de Gouveia",NA,NA,"Sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4451210' target='other'> <mi>dwc_moreinfo</mi></a>","NY03909967",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","3910004","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Siphanthera","cordata","Siphanthera cordata","Pohl ex DC.",NA,"F. Almeda","7857","1998","06","16","South America","Brazil","Goiás","Alto Paraiso","Chapada dos Veadeiros, ca. 11km da cidade","-47.6","-14.15","Sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4451245' target='other'> <mi>dwc_moreinfo</mi></a>","NY03910004",NA,"1115","1115",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1280538","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Siphanthera","cordata","Siphanthera cordata","Pohl ex DC.","F. Almeda; O. Robinson","F. C. Hoehne","3753","1920","03","31","South America","Brazil","Minas Gerais","Poços de Caldas","Poços de Caldas","-46.5614","-21.7881","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1611466' target='other'> <mi>dwc_moreinfo</mi></a>","NY01280538","NY01280538_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1280529","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Siphanthera","cordata","Siphanthera cordata","Pohl ex DC.","F. Almeda; O. Robinson","A. C. Brade","13752","1934","06",NA,"South America","Brazil","Minas Gerais","Diamantina","Cons. Matta.","-43.6003","-18.2494","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1611448' target='other'> <mi>dwc_moreinfo</mi></a>","NY01280529","NY01280529_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
