"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","class","scientificNameAuthorship","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","relatedCatalogItem"
"1","2016-09-29 13:54:00-03","NY","NYBG","227609","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Violaceae","Rinorea","maximilliani","Rinorea maximilliani","J. A. Kallunki","J. A. Kallunki","695","1995","04","19","South America","Brazil","Espírito Santo","Linhares","Patch of disturbed forest on Fazenda Santo Antonio, on dirt road turning ± S at 18 km from bridge at W edge of Linhares on road to Bananal.","-40.0722","-19.3911","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=485096' target='other'> <mi>dwc_moreinfo</mi></a>","NY00227609",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-02-25 10:12:55-03","CVRD","CVRD","12769","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Violaceae","Rinorea","maximiliani","Rinorea maximiliani","Geovane S. Siqueira","Folli, D.A.","6486","2009","12","01","América do Sul","BRASIL","ES","Linhares",NA,"-40.0722007751465","-19.3910999298096",NA,"RFL 089/86, bloco A Trat 1 <ll>dwc_commonname:</ll> Capitão preto","CVRD012769","Magnoliopsida","(Eichler) Kuntze","2016","06","14","48094","auto",NA,NA,NA,NA,NA,NA
"3","2021-02-25 10:12:55-03","CVRD","CVRD","13089","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Violaceae","Rinorea","maximiliani","Rinorea maximiliani","Geovane S. Siqueira","Folli, D.A.","6651","2010","08","10","América do Sul","BRASIL","ES","Linhares",NA,"-40.071762","-19.463513",NA,"<ll>dwc_commonname:</ll> Capitão preto","CVRD013089","Magnoliopsida","(Eichler) Kuntze","2016","06","14",NA,NA,"-40,071762","-19,463513","29","29",NA,NA
"4","2021-02-25 10:12:55-03","CVRD","CVRD","9494","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Violaceae","Rinorea","maximiliani","Rinorea maximiliani","Geovane S. Siqueira","Folli, D.A.","5216","2006","04","17","América do Sul","BRASIL","ES","Linhares",NA,"-40.0722007751465","-19.3910999298096",NA,"<ll>dwc_commonname:</ll> Capitão preto","CVRD009494","Magnoliopsida","(Eichler) Kuntze","2016","06","14","48094","auto",NA,NA,NA,NA,"CVRD009494",NA
"5","2021-02-25 10:12:55-03","CVRD","CVRD","15702","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Violaceae","Rinorea","maximiliani","Rinorea maximiliani","Domingos A. Folli","Folli, D.A.","7540","2017","01","17","América do Sul","BRASIL","ES","Linhares",NA,"-40.0722007751465","-19.3910999298096",NA,"<ll>dwc_commonname:</ll> Capitão preto","CVRD015702","Magnoliopsida","(Eichler) Kuntze","2017","01","17","48094","auto","-40.114.963","-19.557.794","22","22","CVRD015702_v1 CVRD015702_v2",NA
"6","2021-02-25 10:12:55-03","CVRD","CVRD","14812","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Violaceae","Rinorea","maximiliani","Rinorea maximiliani",NA,"Biral, L.","992","2014","02","20","América do Sul","BRASIL","ES","Linhares",NA,"-40.0722007751465","-19.3910999298096",NA,"<ll>dwc_commonname:</ll> Capitão preto","CVRD014812","Magnoliopsida","(Eichler) Kuntze",NA,NA,NA,"48094","auto",NA,NA,NA,NA,NA,NA
"7","2021-02-25 10:12:55-03","CVRD","CVRD","10714","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Violaceae","Rinorea","maximiliani","Rinorea maximiliani","Geovane S. Siqueira","Folli, D.A.","5863","2008","02","13","América do Sul","BRASIL","ES","Linhares",NA,"-40.0722007751465","-19.3910999298096",NA,"Área da RFL-89/86 <ll>dwc_commonname:</ll> Capitão preto","CVRD010714","Magnoliopsida","(Eichler) Kuntze","2016","06","14","48094","auto",NA,NA,NA,NA,NA,NA
"8","2021-02-25 10:12:55-03","CVRD","CVRD","5860","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Violaceae","Rinorea","maximiliani","Rinorea maximiliani","Geovane S. Siqueira","Folli, D.A.","3108","1998","01","30","América do Sul","BRASIL","ES","Linhares","Área da RFl 89","-40.0722007751465","-19.3910999298096",NA,"<ll>dwc_commonname:</ll> Capitão preto","CVRD005860","Magnoliopsida","(Eichler) Kuntze","2016","06","14","48094","auto",NA,NA,NA,NA,NA,NA
"9","2020-07-23 12:24:29-03","CEPLAC","CEPEC","22574","PreservedSpecimen","Plantae",NA,NA,"Violaceae","Rinorea","maximiliani","Rinorea maximiliani","P. Fiaschi","T. S. dos Santos","3511","1980","01","25",NA,"Brasil","Bahia","JEQUIÉ","Chácara Previsão, a 4Km de Jequié.","-40.0835990905762","-13.8575000762939",NA,NA,NA,NA,NA,NA,NA,NA,"49443","auto",NA,NA,NA,NA,NA,"30/12/2000"
"10","2017-09-11 17:14:17-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Violaceae","Alsodeia","maximiliani","Alsodeia maximiliani",NA,"Wied-Neuwied, MAP Prince; Wied-Neuwied, MAP Prince","s.n.",NA,NA,NA,"Southern America","Brazil","Bahia",NA,NA,NA,NA,NA,"Dryas; HABITAT: Dryas",NA,NA,"Eichler",NA,NA,NA,NA,NA,NA,NA,NA,NA,"P13P1N0077",NA
