"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","class","order","continentOcean","phylum","individualCount","typeStatus","eventTime"
"1","2021-04-05 14:33:47-03","UNESC","CRI","9641","PreservedSpecimen","Plantae","Myrtaceae","Myrciaria","plinioides","Myrciaria plinioides","D.Legrand","A. A. de Oliveira","2010","01","25","M. Verdi; A.L. Tomazi & G. Klemz","2956","2009","11","05","Brasil","Santa Catarina","Siderópolis","São Bento.","-49.59","-28.62","49º35'24''W","28º37'12''S","50","50","Floresta Ombrófila Densa","CRI005313","CRI005313",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-01-20 14:40:39-03","UPM","MACK","1308","PreservedSpecimen","Plantae","Melastomataceae","Myrciaria","plinioides","Myrciaria plinioides","D.Legrand","A. A. de Oliveira","2010","01","25","M. Verdi; et al.","2956","2009","11","05","Brasil","SC","Siderópolis","Barragem do Rio São Bento, floresta ombrófila densa.","-49.4244003295898","-28.5977993011475","S","W",NA,NA,NA,NA,NA,"23427","auto",NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 10:07:23-03","NBC","NL-BOTANY","L.2528110","PreservedSpecimen","Plantae","Myrtaceae","Myrciaria","plinioides","Myrciaria plinioides","D.Legrand",NA,NA,NA,NA,"Reitz R; Klein RM",NA,"1958","10","18","Brazil",NA,NA,"Santa Catarina - Barsil. Matador, Rio do Sul. Mata de varzea. Arvoreta.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2528110 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2528110","NL-L2528110",NA,NA,"Magnoliopsidae","Myrtales","Southern America",NA,NA,NA,NA
"4","2020-02-08 10:07:23-03","NBC","NL-BOTANY","L.2528111","PreservedSpecimen","Plantae","Myrtaceae","Myrciaria","plinioides","Myrciaria plinioides","D.Legrand",NA,NA,NA,NA,"Reitz R; Klein RM",NA,"1959","12","12","Brazil",NA,NA,"Santa Catarina - Brasil. Garapuvu, Vista Alegre, Somobrio. Mata. Arvoreta.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2528111 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2528111","NL-L2528111",NA,NA,"Magnoliopsidae","Myrtales","Southern America",NA,NA,NA,NA
"5","2015-07-02 14:03:22-03","JBP","HPL","10747","S","Plantae","Myrtaceae","Myrciaria","plinioides","Myrciaria plinioides",NA,NA,NA,NA,NA,"R. Tsuji","2497","2008","03","10","Brasil",NA,"Porto Alegre","Coletado e cultivado no Parque Zoobotânico.","-51.23","-30.0331",NA,NA,NA,NA,NA,NA,NA,"29946","auto",NA,NA,NA,NA,NA,NA,NA
"6","2015-07-02 14:03:22-03","JBP","HPL","11146","S","Plantae","Myrtaceae","Myrciaria","plinioides","Myrciaria plinioides",NA,"H. Lorenzi","2007","11","26","H. Lorenzi","6432","2007","11","26","Brasil","RS","Porto Alegre","Coletada e cultivada no Parque Zoobotânico","-51.23","-30.0331",NA,NA,NA,NA,NA,NA,NA,"29946","auto",NA,NA,NA,NA,NA,NA,NA
"7","2019-08-27 13:31:34-03","IAP","PACA-AGP","73806","PreservedSpecimen","Plantae","Myrtaceae","Myrciaria","plinioides","Myrciaria plinioides","D. Legrand","M. Sobral",NA,NA,NA,"L. Sevegnani",NA,"1993","06","26","Brasil","RS","Maquiné","Est. Exp. Fitotécnica","-50.2071990966797","-29.6749992370605",NA,NA,NA,NA,"2 m de altura Habitat: em mata secundária Hábito: árvore","PACA073806",NA,"28094","auto","Magnoliatae","Myrtales",NA,"Magnoliophyta",NA,NA,NA
"8","2019-08-27 13:31:34-03","IAP","PACA-AGP","109973","PreservedSpecimen","Plantae","Myrtaceae","Myrciaria","plinioides","Myrciaria plinioides","D. Legrand","M. Sobral","2010","01","25","M. Verdi","3031","2009","11","07","Brasil","SC","Nova Veneza","São Bonifácio.","-49.588611","-28.708056","49°35'19W","28°42'29S","124","124","FURB 17834 Habitat: interior do fragmento Fenofase: flor branca Hábito: arbustiva Ecossistema: floresta ombrófila densa","PACA109973",NA,NA,NA,"Magnoliatae","Myrtales",NA,"Magnoliophyta",NA,NA,NA
"9","2019-08-27 13:31:34-03","IAP","PACA-AGP","115507","PreservedSpecimen","Plantae","Myrtaceae","Myrciaria","plinioides","Myrciaria plinioides","D. Legrand","Graeff, V. & Mottin, I.G.","2014","12","11","Graeff, V.","6","2014","11","13","Brasil","RS","São Leopoldo","Parque Natural Municipal Imperatriz Leopoldina","-51.119244","-29.751808","51º07'9.28W","29º45'6.51S",NA,NA,"Habitat: mata ciliar","PACA115507",NA,NA,NA,"Magnoliatae","Myrtales",NA,"Magnoliophyta",NA,NA,NA
"10","2019-08-27 13:31:34-03","IAP","PACA-AGP","117952","PreservedSpecimen","Plantae","Myrtaceae","Myrciaria","plinioides","Myrciaria plinioides","D. Legrand","Lippert, A. P. U.",NA,NA,NA,"Lippert, A. P. U.",NA,"2016","02","16","Brasil","RS","Campo Bom",NA,"-51.011944","-29.6725","51º00'43''W","29º40'21''S",NA,NA,"Habitat: interior florestal","PACA117952",NA,NA,NA,"Magnoliatae","Myrtales",NA,"Magnoliophyta",NA,NA,NA
