"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","year","month","day","continentOcean","country","locality","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordNumber","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","phylum","minimumElevationInMeters","individualCount","verbatimLongitude","verbatimLatitude","maximumElevationInMeters","preparationType"
"1","2020-02-08 09:32:00-03","NBC","NL-BOTANY","WAG.1826453","PreservedSpecimen","Plantae","Magnoliopsidae","Lamiales","Gesneriaceae","Rechsteineria","lineata","Rechsteineria lineata","Hjelmq.","Kummrow R","1975","11","03","Southern America","Brazil","Rio Tibagi Rod. do Café (mun. Ponta Grossa) Paraná.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1826453 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1826453","NL-WAG1826453",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2015-07-02 14:02:15-03","JBP","HPL","3181","S","Plantae",NA,NA,"Gesneriaceae","Sinningia","lineata","Sinningia lineata","(Hjelm.) A. Chautems","E.R. Salviani & H. Lorenzi","1999","11","06",NA,"Brasil","Próximo a cachoeira, na estrada que da acesso a Usina.",NA,NA,NA,"E.R. Salviani & H. Lorenzi","1999","11","06","585","PR","Erval Velho",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2015-07-02 14:02:15-03","JBP","HPL","3182","S","Plantae",NA,NA,"Gesneriaceae","Sinningia","lineata","Sinningia lineata","(Hjelm) A. Chautems","H. Lorenzi","2000","10","05",NA,"Brasil","Coletada no Instituto Plantarum.",NA,NA,NA,"H. Lorenzi","2000","10","05","2397","SP","Nova Odessa","-47.29","-22.77","8440","auto",NA,NA,NA,NA,NA,NA,NA
"4","2019-08-27 13:33:08-03","IAP","PACA-AGP","85591","PreservedSpecimen","Plantae","Magnoliatae","Scrophulariales","Gesneriaceae","Sinningia","lineata","Sinningia lineata","(Hjelmq.) Chautems","J. Spanholi","2000","06","09",NA,"Brasil","Encosta do Rio Mameleiro",NA,"PACA085591",NA,"N. Silveira",NA,NA,NA,NA,"RS","Barracão","-51.4606018066406","-27.6716995239258","28327","auto","Magnoliophyta",NA,NA,NA,NA,NA,NA
"5","2019-08-27 13:33:08-03","IAP","PACA-AGP","72336","PreservedSpecimen","Plantae","Magnoliatae","Scrophulariales","Gesneriaceae","Sinningia","lineata","Sinningia lineata","(Hjelmq.) Chautems","Sehnem, A.","1970","01","18",NA,"Brasil","Beno Geib.","Gesneriaceae. Habitat: ad rupem declivo in silva","PACA072336",NA,"G. E. Ferreira","2011","06",NA,"10775","RS","Herval Seco","-53.5041999816895","-27.5492000579834","26304","auto","Magnoliophyta",NA,NA,NA,NA,NA,NA
"6","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0029847","PreservedSpecimen","Plantae",NA,"Lamiales","Gesneriaceae","Sinningia","lineata","Sinningia lineata","(Hjelmq.) Chautems","G. Hatschbach; A C. Cervi & E. Barbosa","2004","10","21",NA,"Brazil","Rod. BR-116, descida ao Rio Pelotas (Mun. Vacaria).","Tuberosa , flor vermelha.",NA,NA,"A. Chautems",NA,NA,NA,"78338","Rio Grande do Sul",NA,"-50.930368","-28.510138",NA,NA,"Magnoliophyta","750",NA,NA,NA,NA,NA
"7","2020-12-21 16:29:12-03","MBM","MBM","251163","PreservedSpecimen","Plantae",NA,NA,"Gesneriaceae","Sinningia","lineata","Sinningia lineata","(Hjelmq.) Chautems","Spanholi, J.","2000","06","09","Southern America","Brazil","Rio Marmeleiro",NA,"MBM251163","MBM251163","Silveira, N.",NA,NA,NA,"s.n.","Rio Grande do Sul","Barracão","-51.4606018066406","-27.6716995239258","28327","auto",NA,NA,NA,NA,NA,NA,NA
"8","2020-12-21 16:29:12-03","MBM","MBM","298396","PreservedSpecimen","Plantae",NA,NA,"Gesneriaceae","Sinningia","lineata","Sinningia lineata","(Hjelmq.) Chautems","Hatschbach, G.; Cervi, A.C.; Barboza, E.; Cervi, A.C.; Barboza, E.","2004","10","21","Southern America","Brazil","Rod. BR-116, descida ao Rio Pelotas",NA,"MBM298396","MBM298396","Chautems, A.",NA,NA,NA,"78338","Rio Grande do Sul","Vacaria","-50.9338989257812","-28.5121994018555","63451","auto",NA,NA,NA,NA,NA,NA,NA
"9","2020-12-21 16:29:12-03","MBM","MBM","169420","PreservedSpecimen","Plantae",NA,NA,"Gesneriaceae","Sinningia","lineata","Sinningia lineata","(Hjelmq.) Chautems","Hatschbach, G.; Silva, J.M.; Silva, J.M.",NA,NA,NA,"Southern America","Brazil","Rod. SC-303, Rio do Peixe",NA,"MBM169420","MBM169420","Chautems, A.",NA,NA,NA,"61088","Santa Catarina","Lacerdópolis","-51.5558013916016","-27.2600002288818","10351","auto",NA,NA,NA,NA,NA,NA,NA
"10","2015-12-12 15:07:00-02","MO","MOBOT","2459042","PreservedSpecimen","Plantae",NA,NA,"Gesneriaceae","Sinningia","lineata","Sinningia lineata","(Hjelmq.) Chautems","N.J.S. Silveira","1988","10","20","South America","Brazil","Barracão. a 10 km da cidade, na estrada para o Rio Pelotas",NA,NA,NA,NA,NA,NA,NA,"Silveira 6075","Rio Grande do Sul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
