"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","year","month","day","continentOcean","country","locality","occurrenceRemarks","barcode","imagecode","phylum","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordNumber","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","geoFlag","verbatimLongitude","verbatimLatitude","typeStatus","individualCount","preparationType"
"1","2020-02-08 10:20:32-03","NBC","NL-BOTANY","U.1521936","PreservedSpecimen","Plantae","Magnoliopsidae","Poales","Gramineae","Thrasyopsis","rawitscheri","Thrasyopsis rawitscheri","Parodi","Valls JFM; Arzivenco L","1970","12","30","Southern America","Brazil","Vacaria, BR_116, km 205,2, Forma densa colonia de mais de 10m de diametro no barranco a direita de quem parte de vacaria.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1521936 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1521936","NL-U1521936",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-16 17:54:38-03","UCS","HUCS","35511","PreservedSpecimen","Plantae",NA,"Poales","Poaceae","Paspalum","rawitscheri","Paspalum rawitscheri","(Parodi) Chase ex G.H. Rua & Valls","Wasum, R.A.","2009","10","08",NA,"Brasil","Vila Oliva","no interior da capoeira",NA,NA,"Angiospermae","Gaio, J.","2015","03","10","4563","Rio Grande do Sul","Caxias do Sul","-51.1794013977051","-29.1681003570557","49662","780","780","auto",NA,NA,NA,NA,NA
"3","2021-03-16 17:54:38-03","UCS","HUCS","35970","PreservedSpecimen","Plantae",NA,"Poales","Poaceae","Paspalum","rawitscheri","Paspalum rawitscheri","(Parodi) Chase ex G.H. Rua & Valls","Tonet, G.","2009","10","20",NA,"Brasil","Vila Oliva","no campo",NA,NA,"Angiospermae","Gaio, J.","2015","03","10","01","Rio Grande do Sul","Caxias do Sul","-51.1794013977051","-29.1681003570557","49662",NA,NA,"auto",NA,NA,NA,NA,NA
"4","2021-03-16 17:54:43-03","UCS","HUCS","35120","PreservedSpecimen","Plantae",NA,"Poales","Poaceae","Thrasyopsis","juergensii","Thrasyopsis juergensii","Hack.","Setubal, R.","2006","10","08",NA,"Brasil","Morro São Pedro","erva em campo rupestre de topo de morro",NA,NA,"Angiospermae","Setubal, R.",NA,NA,NA,"76","Rio Grande do Sul","Porto Alegre","-51.107778","-30.180556",NA,"160","160",NA,"-51.107778","-30.180556",NA,NA,NA
"5","2020-11-20 16:47:44-03","UFSM","SMDB","16908","S","Plantae",NA,NA,"Poaceae","Paspalum","rawitscheri","Paspalum rawitscheri","(Parodi) Chase ex G.H. Rua & Valls","Essi, L","2016","10","04",NA,"Brasil","distrito de Santo Antão, Morro Pedra do Lagarto","Espécie ameaçada de extinção. Coleta para estudo de variabilidade genética. Coordenadas da população: S29° 37#?# 37,5#?# W 053° 52#?# 27, 1#?#. Material testemunho de Dissertação da aluna Jéssica Mena Barreto de Freitas. Orientadora: Solange Tedesco","SMDB016908",NA,NA,"Essi, L","2016","10","04","749","Rio Grande do Sul","Santa Maria","-53.874194","-29.627083",NA,NA,NA,NA,"-53.874194","-29.627083",NA,NA,NA
"6","2020-11-20 16:47:44-03","UFSM","SMDB","16909","S","Plantae",NA,NA,"Poaceae","Paspalum","rawitscheri","Paspalum rawitscheri","(Parodi) Chase ex G.H. Rua & Valls","Essi, L; Freitas, JMB","2016","10","14",NA,"Brasil","distrito de Santo Antão, Morro Pedra do Lagarto","Espécie ameaçada de extinção. Coleta para estudo de variabilidade genética. Encontrada nos afloramentos rochosos da face sul da propriedade. Coordenadas da população: S29° 37#?# 51,3#?# W 053° 52#?# 30.7#?# Elevação 222m. Material testemunho de Dissertação d","SMDB016909",NA,NA,"Essi, L","2016","10","14","757","Rio Grande do Sul","Santa Maria","-53.874222","-29.627083",NA,NA,NA,NA,"-53.874222","-29.627083",NA,NA,NA
"7","2020-11-20 16:47:44-03","UFSM","SMDB","16911","S","Plantae",NA,NA,"Poaceae","Paspalum","rawitscheri","Paspalum rawitscheri","(Parodi) Chase ex G.H. Rua & Valls","Silva, LN da","2014","06","29",NA,"Brasil","Estrada entre Piratini e Pinheiro Machado., Topo de morro, com intenso afloramento rochoso, vegetando na encosta do morro, entre rochas","Espécie ameaçada de extinção. Coordenadas: S31°28'26.2 W053°11'22.9. Material testemunho de Dissertação da aluna Jéssica M. B. Freitas. Orientadora: Solange Tedesco","SMDB016911",NA,NA,"Silva, LN da","2014","10","29","675","Rio Grande do Sul","Piratini","-53.189694","-31.473944",NA,NA,NA,NA,"-53.189694","-31.473944",NA,NA,NA
"8","2020-11-20 16:47:44-03","UFSM","SMDB","16884","S","Plantae",NA,NA,"Poaceae","Paspalum","rawitscheri","Paspalum rawitscheri","(Parodi) Chase ex G.H. Rua & Valls","Essi, L; Scherer, HJ; Schafer, J; Menezes, HF","2014","10","15",NA,"Brasil","Em afloramento arenítico próximo ao Morro Pedra do","Paspalum rawitscheri (Parodi) Chase ex G.H. Rua & Valls; S 29°37'52,53 O 53°52'32,35; alt. 268m; junto de bromélias e pteridófitas; material coletado também em sílica gel; Testemunho de TCC de Hulia J. Scherer; espécie ameaçada de extinção, incluíd","SMDB016884",NA,NA,"Essi, L","2014","10","15","799","Rio Grande do Sul","Santa Maria","-53.875653","-29.631258",NA,NA,NA,NA,"-53.875653","-29.631258",NA,NA,NA
"9","2019-11-25 12:12:32-03","UFSM","SMDB","18198","S","Plantae",NA,NA,"Poaceae","Paspalum","rawitscheri","Paspalum rawitscheri","(Parodi) Chase ex G.H. Rua & Valls","Essi, L; Freitas, JMB; Büneker, H","2017","01","17",NA,"Brasil",NA,"Campo com alta declividade, junto a bromélias, polygaláceas e Thritrinax brasiliensis","SMDB018198",NA,NA,"Essi, L","2017","01","17","1049","Rio Grande do Sul","São Martinho da Serra","-53.8546981811523","-29.5377998352051","24165",NA,NA,"auto",NA,NA,NA,NA,NA
"10","2017-11-24 14:12:10-02","UFLA","ESAL","771","S","Plantae",NA,NA,"Poaceae","Thrasyopsis","juergensii","Thrasyopsis juergensii","(Hack.) Soderstr. & A.G.Burm.","Valls, J",NA,NA,NA,NA,"Brasil",NA,"; ; ;",NA,NA,NA,"J. Valls",NA,NA,NA,"1.351","Rio Grande do Sul","Vacaria","-50.9338989257812","-28.5121994018555","63451",NA,NA,"auto",NA,NA,NA,NA,NA
