"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","typeStatus","class","yearIdentified","monthIdentified","dayIdentified","fieldNumber","individualCount","infraspecificEpithet"
"1","2021-03-15 16:37:00-03","NY","NYBG","503285","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Xyridaceae","Xyris","rigida","Xyris rigida","Kunth","L. B. Smith","G. G. Hatschbach","28473","1971","12","13","South America","Brazil","Paraná","Piraquara","Maria Antonieta","-49.159367","-25.441889","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=635196' target='other'> <mi>dwc_moreinfo</mi></a>","NY00503285","NY00503285_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","503286","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Xyridaceae","Xyris","rigida","Xyris rigida","Kunth","B. Rambo","B. Rambo","36669","1948","02","03","South America","Brazil","Rio Grande do Sul",NA,"Cambará, Sao Francisco de Paula","-50.143208","-29.047894","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=635195' target='other'> <mi>dwc_moreinfo</mi></a>","NY00503286","NY00503286_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-04 11:21:00-03","ESALQ","ESA","76099","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Xyridaceae","Xyris","rigida","Xyris rigida","Kunth","M.G.L.Wanderley, V/2001","Meireles, L.D.; Gonçalves, A.P.S.; Soares Jr., F.J.; Meneghetti, G.I.P.; Rodrigues, R.R.; Souza, V.C.; Tamashiro, J.Y.; Gandolfi, S.; Souza, J.P.; Ivanauskas, N.M.; Furlan, E.","148.0","2001","04","13",NA,"Brasil","São Paulo","São Paulo","Parque Estadual da Serra do Mar, Núcleo Curucutu. Floresta ribeirinha ao longo do Rio Mambu","-464.631","-23.592",NA,"Erva, flores amarelas.","ESA076099","ESA076099","-464,631","-23,592","750","750",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-04 11:21:00-03","ESALQ","ESA","63742","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Xyridaceae","Xyris","rigida","Xyris rigida","Kunth",NA,"Scaramuzza, C.A.M. ; Souza, V.C.",NA,"1993","01","01",NA,"Brasil","São Paulo","Itararé",NA,"-49.3400001525879","-24.1100006103516",NA,NA,"ESA063742","ESA063742",NA,NA,NA,NA,"27729","auto",NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-11-04 11:21:00-03","ESALQ","ESA","9653","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Xyridaceae","Xyris","rigida","Xyris rigida","Kunth","Wanderley, M.G.L.","Souza, V.C. et al.","2479.0","1993","02","20",NA,"Brasil","São Paulo","Itararé",NA,"-49.3400001525879","-24.1100006103516",NA,NA,"ESA009653","ESA009653",NA,NA,NA,NA,"27729","auto",NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-11-19 10:25:41-03","CPAP","CPAP","9606","PreserverdSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","rigida","Xyris rigida","Kunth",NA,"Pott, A.","6146","1992","01","14",NA,"Brasil","PR","Colombo","Centro Nacional de Pesquisa de Florestas, Embrapa, Km 111 estrada da Ribeira - próximo posto da policia florestal","-49.233333","-25.333333",NA,"Erva cespitosa, touceiras densas de10-30cm diâmetro. FLOR: amarela. FRUTO: . INTERESSE: Levantamento florístico. FREQUÊNCIA: Esparsa. AMBIENTE: Brejo (área úmida). SUBSTRATO: solo argiloso podzólico vermelho-amarelo. RELEVO: plano deprimido.",NA,NA,"49°14' W","25°20' S","920","920",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-02-02 14:39:17-02","BGBM","B","B 10 0242222","S","Plantae",NA,NA,"Xyridaceae","Xyris","rigida","Xyris rigida","Kunth",NA,"P. K. H. Dusén","8925","1909","11","13","Middle and South America","Brazil",NA,NA,"Paraná.",NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B100242222 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100242222","B100242222",NA,NA,NA,NA,NA,NA,"isotype",NA,NA,NA,NA,NA,NA,NA
"8","2016-02-02 14:39:17-02","BGBM","B","B 10 0242223","S","Plantae",NA,NA,"Xyridaceae","Xyris","rigida","Xyris rigida","Kunth",NA,"F. Sellow","5069","1836",NA,NA,"Middle and South America","Brazil",NA,NA,"Brasilia meridionalis, S. Paulo.",NA,NA,NA,"Ex reliquiis Sellowianis, Humboldt ded. 1836 <a href=http://herbarium.bgbm.org/object/B100242223 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100242223","B100242223",NA,NA,NA,NA,NA,NA,"holotype",NA,NA,NA,NA,NA,NA,NA
"9","2019-08-27 13:26:43-03","IAP","PACA-AGP","49398","PreservedSpecimen","Plantae","Magnoliophyta","Commelinales","Xyridaceae","Xyris","rigida","Xyris rigida","Kunth","Emrich-Rambo","Rambo, B.",NA,"1950","12","18",NA,"Brasil","RS","São Francisco de Paula","Taimbesinho","-50.5835990905762","-29.4480991363525",NA,"SEM MATERIAL Habitat: in paludosis alte graminosis Fenofase: fruto","PACA049398",NA,NA,NA,NA,NA,"76715","auto",NA,"Liliopsida","1954","09","29",NA,NA,NA
"10","2019-08-27 13:26:43-03","IAP","PACA-AGP","51542","PreservedSpecimen","Plantae","Magnoliophyta","Commelinales","Xyridaceae","Xyris","rigida","Xyris rigida","Kunth","Emrich-Rambo","Rambo, B.",NA,"1951","12","26",NA,"Brasil","RS","Vacaria","Passo do Socorro","-50.9338989257812","-28.5121994018555",NA,"SEM MATERIAL Habitat: in paludosis Fenofase: flor e fruto","PACA051542",NA,NA,NA,NA,NA,"63451","auto",NA,"Liliopsida","1954","09","29",NA,NA,NA
