"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","imagecode","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount","typeStatus"
"1","2020-09-23 10:39:03-03","E","E","84295","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","tortuosum","Erythroxylum tortuosum","Proenca, C. & Moretto, G.L.","1361","1996","01","06","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:93286","<a href=http://data.rbge.org.uk/herb/E00084295 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00084295",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00997406","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","tortuosum","Erythroxylum tortuosum","E. P. Heringer","4393","1980","04","15","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1178002' target='other'> <mi>dwc_moreinfo</mi></a>","NY00997406","Magnoliophyta","Malpighiales","Mart.","T. C. Plowman","Distrito Federal","Brasília","Bacia do Rio São Bartolomeu.","-47.9294","-15.7797","NY00997406_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","393394","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","tortuosum","Erythroxylum tortuosum","I. Silberbauer-Gottsberger","2100","1972","10","19","South America","Brazil","sheet",NA,"No.: 225R-191072 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=354223' target='other'> <mi>dwc_moreinfo</mi></a>","NY00393394","Magnoliophyta","Malpighiales","Mart.","A. Amaral","São Paulo","Botucatu","18 km north of BOTUCATU, (14 km east of SAO MANUEL). Along the Sao Manuel-Piracicaba highway. Near ex-RR station, 13 de Maio","-48.42","-22.75","NY00393394_01","550","550",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00997399","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","tortuosum","Erythroxylum tortuosum","H. S. Irwin","5585","1964","08","26","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1177958' target='other'> <mi>dwc_moreinfo</mi></a>","NY00997399","Magnoliophyta","Malpighiales","Mart.",NA,"Distrito Federal","Brasília","20 km. S. of Brasília on road to Belo Horizonte.","-47.98","-16.03","NY00997399_01","700","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00997411","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","tortuosum","Erythroxylum tortuosum","FEEP","255","1992","08","28","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1178020' target='other'> <mi>dwc_moreinfo</mi></a>","NY00997411","Magnoliophyta","Malpighiales","Mart.",NA,"Minas Gerais","Uberlândia","Estação Ecológica do Panga.","-48.2769","-18.9186","NY00997411_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1182895","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","tortuosum","Erythroxylum tortuosum","P. G. Delprete","9136","2004","11","06","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1411150' target='other'> <mi>dwc_moreinfo</mi></a>","NY01182895","Magnoliophyta","Malpighiales","Mart.","J. L. da Costa Lima","Goiás","Pirenópolis","Serra dos Pireneus. Sítio Vereda do Cristal. Área de cerrado perto do Chalé de propriedade de Fernando Madueño.","-48.8892","-15.8247","NY01182895_01","1020","1020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","393396","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","tortuosum","Erythroxylum tortuosum","L. Riedel","1913",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=354221' target='other'> <mi>dwc_moreinfo</mi></a>","NY00393396","Magnoliophyta","Malpighiales","Mart.","T. C. Plowman",NA,NA,"Brasilia",NA,NA,"NY00393396_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00997330","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","tortuosum","Erythroxylum tortuosum","FEEP","412","1992","11","20","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1155136' target='other'> <mi>dwc_moreinfo</mi></a>","NY00997330","Magnoliophyta","Malpighiales","Mart.","J. L. da Costa Lima","Minas Gerais","Uberlândia","Estação Ecológica do Panga.","-48.2769","-18.9186","NY00997330_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00997401","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","tortuosum","Erythroxylum tortuosum","H. S. Irwin","5587","1964","08","26","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1177975' target='other'> <mi>dwc_moreinfo</mi></a>","NY00997401","Magnoliophyta","Malpighiales","Mart.",NA,"Distrito Federal","Brasília","20 km. S. of Brasília on road to Belo Horizonte.","-47.98","-16.03","NY00997401_01","700","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00997402","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","tortuosum","Erythroxylum tortuosum","H. S. Irwin","7063","1964","10","19","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1177978' target='other'> <mi>dwc_moreinfo</mi></a>","NY00997402","Magnoliophyta","Malpighiales","Mart.","T. C. Plowman","Goiás","Caiapônia","Ca. 35 km. E. of Caiapônia on road to Jataí. Serra do Caiapó.","-51.82","-17.22","NY00997402_01","800","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","393391","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","tortuosum","Erythroxylum tortuosum","G. T. Prance","18845","1973","10","12","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=354219' target='other'> <mi>dwc_moreinfo</mi></a>","NY00393391","Magnoliophyta","Malpighiales","Mart.","T. C. Plowman","Mato Grosso",NA,"Chapada dos Guimaraes, just above Cachoeira Furada, Reserve Buriti","-55.8147419","-15.45169","NY00393391_01","720","720",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","393397","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","tortuosum","Erythroxylum tortuosum","W. Hoehne","1860","1945","09","28","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=354222' target='other'> <mi>dwc_moreinfo</mi></a>","NY00393397","Magnoliophyta","Malpighiales","Mart.","T. C. Plowman","São Paulo","Caieiras","Caieiros","-46.74","-23.3603","NY00393397_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","00997412","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","tortuosum","Erythroxylum tortuosum","B. Maguire","56318","1963","08","25","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1178024' target='other'> <mi>dwc_moreinfo</mi></a>","NY00997412","Magnoliophyta","Malpighiales","Mart.","T. C. Plowman","Mato Grosso",NA,"15-120 km beyond Alto Araguaia, road to Cuiaba. Brasilia-Acre Highway.",NA,NA,"NY00997412_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","00997403","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","tortuosum","Erythroxylum tortuosum","W. R. Anderson","6273","1973","03","04","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1177981' target='other'> <mi>dwc_moreinfo</mi></a>","NY00997403","Magnoliophyta","Malpighiales","Mart.","T. C. Plowman","Goiás","Alto Paraíso de Goiás","Chapada dos Veadeiros, ca. 7 km by road N of Alto Paraíso","-47.56254","-14.07196","NY00997403_01","1500","1500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
