"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","geoFlag","continentOcean","locality","barcode","imagecode","fieldNumber","preparationType","occurrenceRemarks","verbatimLongitude","verbatimLatitude","class","order","individualCount","phylum","yearIdentified","monthIdentified","dayIdentified"
"1","2021-03-31 13:41:09-03","MN","R","24800","PreservedSpecimen","Plantae","Orchidaceae","Miltonia","cuneata","Miltonia cuneata","Lindl.","Brade, A.C.","Brade, A.C.","9420","1929","09","26","Brasil","Rio de Janeiro","Teresópolis","-42.9655990600586","-22.4122009277344","38539","1200","1200","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-07-05 11:14:18-03","FFCLRP","LBMBP","1172","S","Plantae","Orchidaceae","Miltonia","cuneata","Miltonia cuneata","Lindl.","E.R. Pansarin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-12-21 16:38:37-03","MBM","MBM","66591","PreservedSpecimen","Plantae","Orchidaceae","Miltonia","cuneata","Miltonia cuneata","Lindl.","Barros, F. de","Hatschbach, G.","42995","1980","05","04","Brazil","Paraná","Paranaguá","-48.5092010498047","-25.5200004577637","24916",NA,NA,"auto","Southern America","Morro Inglês","MBM066591","MBM066591",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2015-09-03 19:31:29-03","MNHN","RECOLNAT_MNHN_P","P00447544","PreservedSpecimen",NA,"Orchidaceae","Miltonia","cuneata","Miltonia cuneata","Lindl.",NA,"Glaziou, A.",NA,"1882","9","15","Brésil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rio de Janeiro","P00447544","P00447544_01","14292","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00447544' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2009-06-25 21:28:00-03","MO","MOBOT","2834048","PreservedSpecimen","Plantae","Orchidaceae","Miltonia","cuneata","Miltonia cuneata","Lindl.","G. Pabst, 2 May","Anonymous","Anonymous s.n.","1904","10","12","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-07-10 09:48:26-03","MBML","MBML-HERBARIO","22765",NA,"Plantae","Orchidaceae","Miltonia","cuneata","Miltonia cuneata","Lindl.","A. P. Fontana/12-05-2005","L. Kollmann; et al","7028","2004","09","05","Brasil","Espírito Santo","Castelo","-41.100556","-20.519167",NA,NA,NA,NA,NA,"Parque Estadual do Forno Grande","MBML022765","MBML022765",NA,NA,"Sépalas e pétalas amarelas, com manchas marrons. Labelo branco, colo lilás claro.","41W6'2","20S31'9",NA,NA,NA,NA,NA,NA,NA
"7","2020-07-10 09:48:26-03","MBML","MBML-HERBARIO","24108",NA,"Plantae","Orchidaceae","Miltonia","cuneata","Miltonia cuneata","Lindl.","A. P. Fontana/31-10-2004","A. P. Fontana; et al","978","2004","10","31","Brasil","Espírito Santo","Castelo","-41.100556","-20.519167",NA,NA,NA,NA,NA,"Parque Estadual do Forno Grande","MBML024108","MBML024108",NA,NA,"Pétalas e sepálas marrons com pintas brancas, labelo branco com ápice dos calos lilás e base amarela.","41W6'2","20S31'9",NA,NA,NA,NA,NA,NA,NA
"8","2020-09-12 05:00:02-03","US","US","2562801","PreservedSpecimen","Plantae","Orchidaceae","Miltonia","cuneata","Miltonia cuneata",NA,NA,"Collector unknown","s.n.","1939","9","10","Brazil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,"South America - Neotropics",NA,"US00434472","US00434472_01",NA,NA,NA,NA,NA,"Monocotyledonae","Orchidales","1",NA,NA,NA,NA
"9","2019-10-07 09:20:05-03","UEFS","HUEFS","130706","PreservedSpecimen","Plantae","Orchidaceae","Miltonia","cuneata","Miltonia cuneata","Lindl.",NA,"van den Berg, C.","1739","2005","09","10","Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,"planta cultivada, sem localidade","HUEFS0130706","HUEFS0130706",NA,NA,NA,NA,NA,"Lilianae","Asparagales",NA,"Angiospermae",NA,NA,NA
"10","2017-09-11 17:12:02-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Orchidaceae","Miltonia","cuneata","Miltonia cuneata","Lindl.",NA,"Pinel, N","s.n.",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"Southern America","Habitat in arboribus ad Morro Queimado prov. ignota",NA,"P03P6N0060",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2017-09-11 17:12:02-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Orchidaceae","Miltonia","cuneata","Miltonia cuneata","Lindl.",NA,"Glaziou, AFM","14292?",NA,NA,NA,"Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,"Southern America","in prov. Rio de Janeiro loco accurato haud indicato",NA,"P03P6N0060",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2017-09-11 17:12:02-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Orchidaceae","Miltonia","cuneata","Miltonia cuneata","Lindl.",NA,"Glaziou, AFM","14292",NA,NA,NA,"Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,"Southern America","in prov. Rio de Janeiro loco accurato haud indicato",NA,"P03P6N0060",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2017-09-11 17:12:02-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Orchidaceae","Miltonia","cuneata","Miltonia cuneata","Lindl.",NA,"Pinel, N","s.n.",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"Southern America","Habitat in arboribus ad Morro Queimado prov. ignota",NA,"P03P6N0060",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2019-11-21 10:12:52-03","IBt","SP","36294","S","Plantae","Orchidaceae","Anneliesia","cuneata","Anneliesia cuneata","(Lindl.) Senghas & Lückel","Mamede, MCH","Mazzini, E","2","1936","09","01","Brasil","Espírito Santo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2011","03",NA
