"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","imagecode","order","fieldNumber","preparationType"
"1","2019-02-15 11:33:21-02","IPA","IPA","57341","S","Plantae","Plantae","Arecaceae","Attalea","oleifera","Attalea oleifera","Barb. Rodr.","Noblick, L.R.; Medeiros-Costa; Medeiros-Costa","5133","1997","07","01","Southern America","Brasil","Paraíba","Areia","6-7 km SW of Areia on the Campo Grande/Areia road. Garden accession number 97265.","-35.757222","-6.971667","-35.757222","-6.971667","600","600","Palm solitary with 8-15m x 40cm trunk. Leaves 14-22 in crown, spirally arranged and strongly ascending and arching at tips. Staminate (male) inflorescence with 50 cm long by 6 x 5cm diam, peduncle and 155cm long rachis. Fruits brown","IPA0057341",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-02-15 11:33:21-02","IPA","IPA","59145","S","Plantae","Plantae","Arecaceae","Attalea","oleifera","Attalea oleifera","Barb. Rodr.","Noblick, L.R.; Medeiros-Costa; Medeiros-Costa","5133","1997","07","01","Southern America","Brasil","Paraíba","Areia","6-7 km SW of Areia on the Campo Grande/Areia road. Garden accession number 97265.","-35.757222","-6.971667","-35.757222","-6.971667","600","600","Palm solitary with 8-15m x 40cm trunk. Leaves 14-22 in crown, spirally arranged and strongly ascending and arching at tips. Staminate (male) inflorescence with 50 cm long by 6 x 5cm diam, peduncle and 155cm long rachis. Fruits brown","IPA0059145",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-02-15 11:33:21-02","IPA","IPA","14012","S","Plantae","Plantae","Arecaceae","Attalea","oleifera","Attalea oleifera","Barb. Rodr.","Medeiros-Costa","8","1966","09","23","Southern America","Brasil","Pernambuco","Condado","Engenho Macacos","-35.1058006286621","-7.5858302116394",NA,NA,NA,NA,NA,"IPA0014012","Medeiros-Costa","1966","11","11","9495","auto",NA,NA,NA,NA
"4","2020-07-02 18:51:26-03","UFJF","CESJ","34471 A","PreservedSpecimen","Plantae","Angiosperma","Arecaceae","Attalea","oleifera","Attalea oleifera","Barb. Rodr.","L.F.A. Fazza; R.M. Castro; R.C. Forzza; V.R. Almeida; L.S. Fernandes; M.C.M. Garcia","6","2001","09","02","América do Sul","Brasil","Minas Gerais","Descoberto","Reserva Biológica da Represa do Grama","-42.9674987792969","-21.4596996307373",NA,NA,NA,NA,"Planta com ca.13 m, folhas com ca. 6,40 m compr. e ca. 1,80m de largura de um foliolo ao outro na região mediana. 197 folíolos em cada folha. Bainha acinzentada na face externa. Ráquis da inflorescência com ca. 756 cm amarelo-esverdeado com frutos castan","CESJ34471A","M.O.D. Pivari","2002","05",NA,"11991","auto","CESJ34471A CESJ34471A_1 CESJ34471A_2",NA,NA,NA
"5","2019-11-21 14:31:02-03","UFJF","CESJ","37099","PreservedSpecimen","Plantae","Angiosperma","Arecaceae","Attalea","oleifera","Attalea oleifera","Barb. Rodr.","R.C. Forzza; V.R. Almeida; B.K.S. Franco","2092","2002","03","23","América do Sul","Brasil","Minas Gerais","Descoberto","Reserva Biológica da Represa do Grama","-42.9674987792969","-21.4596996307373",NA,NA,NA,NA,NA,"CESJ037099","M.O.D. Pivari","2002","05",NA,"11991","auto","CESJ037099 CESJ037099_1",NA,NA,NA
"6","2020-04-22 16:25:56-03","UFPB","JPB","26456","PreservedSpecimen","Plantae","Angiosperma","Arecaceae","Attalea","oleifera","Attalea oleifera","Barb.Rodr.","Cunha, E","68","2001","02","12","Southern America","Brasil","Paraíba","Areia","Mata do Pau-Ferro","-35.691389","-6.963333","-35.691389","-6.963333","618","618",NA,NA,"Barbosa, MR","2002",NA,NA,NA,NA,NA,"Monocotyledon",NA,NA
"7","2020-04-22 16:25:56-03","UFPB","JPB","40930","PreservedSpecimen","Plantae","Angiosperma","Arecaceae","Attalea","oleifera","Attalea oleifera","Barb.Rodr.","Almeida, ACC; Freitas, GB","182","2009","01","19","Southern America","Brasil","Paraíba","João Pessoa","Gramame, Parque Ecológica Augusto dos Anjos","-34.863056","-7.115","-34.863056","-7.115","47","47","; DESC: Árvore com ca de 9m, bráctea com face interna amarela e face externa castanha e com frestas. Inflorescência feminina com muitos aripuás.",NA,"Almeida, ACC","2009","01","19",NA,NA,NA,"Monocotyledon",NA,NA
"8","2020-09-25 10:57:40-03","UFPE","UFP-CARPOTECA","4","S","Plantae",NA,"Arecaceae","Attalea","oleifera","Attalea oleifera","Baub. Radr.","Silva, PG; Barbosa, D","s.n.","1998","03","05",NA,"Brasil","Pernambuco","Canindé do São Francisco","Brejo dos cavalos, Brejo",NA,NA,NA,NA,NA,NA,NA,NA,"Costa, JT",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-09-25 10:57:40-03","UFPE","UFP-CARPOTECA","302","S","Plantae",NA,"Arecaceae","Attalea","oleifera","Attalea oleifera","Baub. Radr.","Patriota","s.n.","2001","11","21",NA,"Brasil","Alagoas","Ibateguara","Floresta de terra baixa","-35.9393997192383","-8.97249984741211",NA,NA,NA,NA,NA,NA,"Oliveira, M","2001",NA,NA,"16798","auto",NA,NA,NA,NA
"10","2015-09-03 20:46:17-03","MNHN","RECOLNAT_MNHN_P","P01797322","PreservedSpecimen",NA,NA,"Arecaceae","Attalea","oleifera","Attalea oleifera","Barb.Rodr.","Glaziou, A.",NA,"1894","9","18",NA,"Brésil",NA,NA,"Serra dos Pyreneos",NA,NA,NA,NA,NA,NA,"Donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01797322' target='other'> <mi>dwc_moreinfo</mi></a>","P01797322",NA,NA,NA,NA,NA,NA,"P01797322_01 P01797322_02",NA,"22269","hb"
"11","2015-09-03 20:41:08-03","MNHN","RECOLNAT_MNHN_P","P01793809","PreservedSpecimen",NA,NA,"Arecaceae","Attalea","oleifera","Attalea oleifera","Barb.Rodr.","Glaziou, A.",NA,"1894","9","18",NA,"Brésil",NA,NA,"Serra dos Pyreneos",NA,NA,NA,NA,NA,NA,"Donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01793809' target='other'> <mi>dwc_moreinfo</mi></a>","P01793809",NA,NA,NA,NA,NA,NA,"P01793809_01 P01793809_02",NA,"22269","hb"
"12","2015-09-03 20:46:17-03","MNHN","RECOLNAT_MNHN_P","P01797321","PreservedSpecimen",NA,NA,"Arecaceae","Attalea","oleifera","Attalea oleifera","Barb.Rodr.","Glaziou, A.",NA,"1894","9","18",NA,"Brésil",NA,NA,"Serra dos Pyreneos",NA,NA,NA,NA,NA,NA,"Donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01797321' target='other'> <mi>dwc_moreinfo</mi></a>","P01797321",NA,NA,NA,NA,NA,NA,"P01797321_01 P01797321_02",NA,"22269","hb"
"13","2015-09-03 20:46:17-03","MNHN","RECOLNAT_MNHN_P","P01797328","PreservedSpecimen",NA,NA,"Arecaceae","Attalea","oleifera","Attalea oleifera","Barb.Rodr.","Glaziou, A.",NA,"1882","2","22",NA,"Brasil",NA,NA,"Brésil. RJ. Cult. Jardin public de Campos. Catolé. Alagoas et Pernambuco",NA,NA,NA,NA,NA,NA,"Herbier de A. Glaziou donné par Mme Simard, sa fille, en 1907. <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01797328' target='other'> <mi>dwc_moreinfo</mi></a>","P01797328",NA,NA,NA,NA,NA,NA,"P01797328_01",NA,"15556","hb"
"14","2015-09-03 20:46:17-03","MNHN","RECOLNAT_MNHN_P","P01797323","PreservedSpecimen",NA,NA,"Arecaceae","Attalea","oleifera","Attalea oleifera","Barb.Rodr.","Weddell, H.A.",NA,"1843","11","1",NA,"Brasil","Minas Gerais","Pitangui",NA,"-44.8903007507324","-19.6828002929688",NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01797323' target='other'> <mi>dwc_moreinfo</mi></a>","P01797323",NA,NA,NA,NA,"28574","auto","P01797323_01",NA,"1808","hb"
"15","2015-09-03 20:46:17-03","MNHN","RECOLNAT_MNHN_P","P01797325","PreservedSpecimen",NA,NA,"Arecaceae","Attalea","oleifera","Attalea oleifera","Barb.Rodr.","Glaziou, A.",NA,"1894","9","12",NA,"Brasil","Goiás","Pirenópolis","Meia Ponte, au Rio Vaga Lume. Goyaz","-48.9592018127441","-15.852499961853",NA,NA,NA,NA,"Herbier de A. Glaziou donné par Mme SIMARD, sa fille, en 1907. <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01797325' target='other'> <mi>dwc_moreinfo</mi></a>","P01797325",NA,NA,NA,NA,"40887","auto","P01797325_01",NA,"22270","hb"
"16","2020-12-11 11:43:25-03","UFMG","BHCB","199901","PreservedSpecimen","Plantae","Monocotyledon","Arecaceae","Attalea","oleifera","Attalea oleifera","Barb.Rodr.","Rezende, SG","7023","2018","03","07","Southern America","Brasil","Minas Gerais","Morro do Pilar",NA,"-43.408056","-19.364167","-43.408056","-19.364167","890","890","Árvore; Floresta Estacional Semidecidual em Estágio Médio de Regeneração","BHCB199901",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
